OLIGOTYPE	PHYLUM	NUM_BEST_HITS	BEST_PCT_ID	BEST_FULL_PCT_ID	HMTs	HOMD_SPECIES	STRAIN_CLONE	HOMD_REFSEQ_ID	GB_NCBI_ID	HOMD_STATUS
V1V3_095_Betaproteobacteria	Betaproteobacteria	3	100.0	100.0	HMT-669,HMT-956,HMT-737	Neisseria meningitidis,Neisseria cinerea,Neisseria polysaccharea	Strain: M8067,Strain: ATCC 14685,Strain: ATCC 43768	669_2273,956_1687,737_6167	AF382273,NR_121687,L06167	Named,Named,Named	
V1V3_096_Firmicutes	Firmicutes	2	99.609	99.609	HMT-755,HMT-755,HMT-021	Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis	Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124	755N000A,755_8839,021_8353	NR_042776,M58839,AY188353	Named,Named,Named	
V1V3_097_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-176	Actinomyces naeslundii	Strain: NCTC 10301	176_1062	X81062	Named	
V1V3_098_Gammaproteobacteria	Gammaproteobacteria	1	99.609	99.609	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_099_Firmicutes	Firmicutes	1	100.0	100.0	HMT-097	Stomatobaculum sp. HMT 097	Clone: DO016	097DO016	AF385510	Unnamed	
V1V3_100_Firmicutes	Firmicutes	2	100.0	100.0	HMT-107,HMT-082,HMT-082	Lachnoanaerobaculum umeaense,Lachnoanaerobaculum orale,Lachnoanaerobaculum orale	Strain: F0167,Clone: BE088,Strain: F0431	107F0167,082BE088,082F0431	tbd,AF385552,tbd	Named,Named,Named	
V1V3_101_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-170	Actinomyces sp. HMT 170	Clone: AP064	170AP064	AF287749	Unnamed	
V1V3_102_Gammaproteobacteria	Gammaproteobacteria	1	99.219	99.219	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_103_Firmicutes	Firmicutes	2	99.609	99.609	HMT-758,HMT-948	Streptococcus sanguinis,Streptococcus lactarius	Strain: ATCC 10556,Strain: MV1	758_3928,948_7425	AF003928,NR_117425	Named,Named	
V1V3_104_Fusobacteria	Fusobacteria	1	98.814	98.814	HMT-498	Leptotrichia sp. HMT 498	Clone: IK040	498IK040	AY349387	Unnamed	
V1V3_105_Firmicutes	Firmicutes	13	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-886,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 886,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: LGM 21535,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,886_9095,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AY099095,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named,Named	
V1V3_106_Epsilonproteobacteria	Epsilonproteobacteria	1	99.623	99.623	HMT-763	Campylobacter showae	Strain: CCUG 3054	763_6974	L06974	Named	
V1V3_107_Firmicutes	Firmicutes	1	99.219	99.219	HMT-678	Solobacterium moorei	Strain: AHP 13983	678_4915	AY044915	Named	
V1V3_108_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-181	Schaalia lingnae [Not Validly Published]	Strain: Hal-1065	181H1065	AF385521	Named	
V1V3_109_Actinobacteria	Actinobacteria	1	99.123	100.0	HMT-866,HMT-866	Actinomyces graevenitzii,Actinomyces graevenitzii	Strain: F0530,Strain: CCUG 27294	866F0530,866_2167	tbd,NR_042167	Named,Named	
V1V3_110_TM7	TM7	1	100.0	100.0	HMT-348	Saccharibacteria (TM7) [G-1] bacterium HMT 348	Clone: BN036	348BN036	GQ422738	Phylotype	
V1V3_111_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-311	Prevotella oris	Strain: ATCC 33573	311_6474	L16474	Named	
V1V3_112_Epsilonproteobacteria	Epsilonproteobacteria	1	100.0	100.0	HMT-763	Campylobacter showae	Strain: CCUG 3054	763_6974	L06974	Named	
V1V3_113_Firmicutes	Firmicutes	3	100.0	100.0	HMT-008,HMT-593,HMT-691	Mogibacterium vescum,Mogibacterium diversum,Mogibacterium neglectum	Strain: ATCC 700697,Strain: ATCC 700923,Strain: ATCC 700924	008_1702,593_7874,691_7875	AB021702,AB037874,AB037875	Named,Named,Named	
V1V3_114_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_115_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-666	Corynebacterium matruchotii	Strain: ChDC OS35	666_3287	AF543287	Named	
V1V3_116_Actinobacteria	Actinobacteria	2	100.0	100.0	HMT-688,HMT-171	Actinomyces viscosus,Actinomyces sp. HMT 171	Strain: NCTC 10951,Clone: BL008	688_2453,171BL008	X82453,AF385553	Named,Unnamed	
V1V3_117_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-325	Capnocytophaga granulosa	Strain: LMG 16022	325_1347	U41347	Named	
V1V3_118_Firmicutes	Firmicutes	1	100.0	100.0	HMT-112,HMT-112	Peptostreptococcus stomatis,Peptostreptococcus stomatis	Strain: A21H2,Clone: CK035	112A21H2,112CK035	GQ422715,AF287763	Named,Named	
V1V3_119_TM7	TM7	1	100.0	100.0	HMT-346	Saccharibacteria (TM7) [G-1] bacterium HMT 346	Clone: AH040	346AH040	AF125204	Phylotype	
V1V3_120_Actinobacteria	Actinobacteria	3	99.115	99.115	HMT-180,HMT-172,HMT-701	Schaalia sp. HMT 180,Schaalia sp. HMT 172,Schaalia odontolyticus	Strain: Hal-1083,Clone: CT047,Strain: NCTC 9935	180H1083,172CT047,701_0504	AF385522,AF385504,X80504	Unnamed,Unnamed,Named	
V1V3_121_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-329	Capnocytophaga leadbetteri	Clone: BM058	329BM058	AY005075	Named	
V1V3_122_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-183,HMT-183	Peptidiphaga sp. HMT 183,Peptidiphaga sp. HMT 183	Strain: P2P_19,Clone: EL030	183_7066,183_8311	AY207066,AY008311	Unnamed,Unnamed	
V1V3_123_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-473,HMT-473	Alloprevotella sp. HMT 473,Alloprevotella sp. HMT 473	Clone: IK062,Clone: HF050	473IK062,473HF050	AY349402,AY349399	Unnamed,Unnamed	
V1V3_124_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-248	Fusobacterium sp. HMT 248	Strain: Marseille-P2749	248N122A	LT576389	Unnamed	
V1V3_125_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-274,HMT-274	Bacteroidales [G-2] bacterium HMT 274,Bacteroidales [G-2] bacterium HMT 274	Clone: AU126,Clone: 071040_120	274AU126,274_8173	AY005072,JQ468173	Unnamed,Unnamed	
V1V3_126_Firmicutes	Firmicutes	1	99.609	99.609	HMT-626	Gemella haemolysans	Strain: ATCC 10379	626_4326	L14326	Named	
V1V3_127_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-473	Alloprevotella sp. HMT 473	Clone: HF050	473HF050	AY349399	Unnamed	
V1V3_128_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-866,HMT-866	Actinomyces graevenitzii,Actinomyces graevenitzii	Strain: F0530,Strain: CCUG 27294	866F0530,866_2167	tbd,NR_042167	Named,Named	
V1V3_129_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-775	Capnocytophaga sputigena	Strain: ATCC 33612	775_7609	X67609	Named	
V1V3_130_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-577,HMT-577	Eikenella corrodens,Eikenella corrodens	Strain: Moore D25,Strain: 1664276	577M-D25,577_0620	GQ422740,AF320620	Named,Named	
V1V3_131_Bacteroidetes	Bacteroidetes	1	98.605	98.605	HMT-714	Prevotella pallens	Strain: JCM 11140	714_3121	NR_113121	Named	
V1V3_132_TM7	TM7	1	100.0	100.0	HMT-347	Saccharibacteria (TM7) [G-1] bacterium HMT 347	Clone: BE109	347BE109	AY005446	Phylotype	
V1V3_133_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-893	Actinomyces oris	Strain: JCM 16131	893_5935	AB545935	Named	
V1V3_134_Firmicutes	Firmicutes	12	100.0	98.828	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_135_Gammaproteobacteria	Gammaproteobacteria	1	98.828	98.828	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_136_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-852	Actinomyces massiliensis	Strain: F0489	852F0489	tbd	Named	
V1V3_137_Firmicutes	Firmicutes	16	99.609	99.609	HMT-058,HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-061,HMT-707,HMT-070,HMT-070,HMT-677,HMT-734,HMT-423,HMT-064,HMT-431,HMT-638,HMT-398,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus sp. HMT 061,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus sp. HMT 064,Streptococcus infantis clade 431,Streptococcus infantis clade 638,Streptococcus oralis subsp. dentisani clade 398,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Clone: C3MLM097,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Clone: DN025,Strain: ATCC 35037,Strain: Hans 7A,Strain: Hans 12F,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C5MLM037,Clone: C4AKM023,Strain: ATCC 700779,Strain: SK34,Clone: P2PA_41,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,058_8632,071_8234,071_8631,071_7062,074-T4E3,061DN025,707_3932,070-7A,070-12F,677_3929,734_3930,423_8630,064_8609,431_8633,638_8315,398_5045,398_7051,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,AY278632,NR_118234,AY278631,AY207062,AF385526,AF432131,AF003932,AY005040,GQ422711,AF003929,AF003930,AY278630,AY278609,AY278633,AB008315,AY005045,AY207051,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Named,Lost,Lost,Named,Unnamed,Unnamed,Named,Named,Lost,Unnamed,Named,Named,Named,Named,Named,Named,Unnamed,Named	
V1V3_138_Firmicutes	Firmicutes	1	100.0	100.0	HMT-136	Selenomonas sp. HMT 136	Clone: DO042	136DO042	AF385514	Unnamed	
V1V3_139_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-284	Porphyromonas sp. HMT 284	Clone: EP003	284EP003	AY008313	Lost	
V1V3_140_Fusobacteria	Fusobacteria	1	99.605	99.605	HMT-212	Leptotrichia sp. HMT 212	Clone: BU064	212BU064	AY008309	Unnamed	
V1V3_141_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-666	Corynebacterium matruchotii	Strain: ChDC OS35	666_3287	AF543287	Named	
V1V3_142_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-595,HMT-595	Corynebacterium durum,Corynebacterium durum	Strain: F0235a,Strain: F0235b	595F235a,595F235b	tbd,tbd	Named,Named	
V1V3_143_Firmicutes	Firmicutes	1	99.609	99.609	HMT-780,HMT-780	Veillonella sp. HMT 780,Veillonella sp. HMT 780	Strain: F0009,Clone: HB016	780F0009,780_7189	GQ422743,DQ087189	Unnamed,Unnamed	
V1V3_144_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-337	Capnocytophaga gingivalis	Strain: S3	337-S3	AY005073	Named	
V1V3_145_Gammaproteobacteria	Gammaproteobacteria	1	100.0	100.0	HMT-851,HMT-851	Haemophilus haemolyticus,Haemophilus haemolyticus	Strain: F0397,Clone: ncd2361b09c1	851F0397,851N000A	HM596277,JF199888	Named,Named	
V1V3_146_TM7	TM7	1	100.0	100.0	HMT-870	Saccharibacteria (TM7) [G-6] bacterium HMT 870	Clone: 4W45	870_4W45	KM018322	Phylotype	
V1V3_147_Actinobacteria	Actinobacteria	1	99.559	100.0	HMT-739	Arachnia propionica	Strain: DSM 43307	739_5953	AJ315953	Named	
V1V3_148_Bacteroidetes	Bacteroidetes	1	99.07	99.07	HMT-930	Porphyromonas sp. HMT 930	Clone: 071041_260	930_8499	JQ468499	Phylotype	
V1V3_149_Firmicutes	Firmicutes	1	99.609	99.609	HMT-411,HMT-411,HMT-411	Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411	Clone: SJTU_F_10_28,Clone: C2MKM006,Clone: C4MKM110	411_9017,411_8629,411_8634	EF399017,AY278629,AY278634	Named,Named,Named	
V1V3_150_Firmicutes	Firmicutes	1	100.0	100.0	HMT-419	Stomatobaculum longum	Clone: C4ALM087	419_8618	AY278618	Named	
V1V3_151_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-213	Leptotrichia hongkongensis	Clone: DA069	213DA069	AF287811	Named	
V1V3_152_Gammaproteobacteria	Gammaproteobacteria	1	99.609	99.609	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_153_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-326	Capnocytophaga sp. HMT 326	Strain: F0382	326F0382	tbd	Unnamed	
V1V3_154_Actinobacteria	Actinobacteria	1	98.69	100.0	HMT-866,HMT-866	Actinomyces graevenitzii,Actinomyces graevenitzii	Strain: F0530,Strain: CCUG 27294	866F0530,866_2167	tbd,NR_042167	Named,Named	
V1V3_155_Betaproteobacteria	Betaproteobacteria	1	99.608	99.608	HMT-476	Neisseria subflava	Strain: U37	476_9291	AJ239291	Named	
V1V3_156_Firmicutes	Firmicutes	2	99.219	99.219	HMT-161,HMT-160	Veillonella parvula,Veillonella dispar	Clone: BU083,Strain: DSM 20735	161BU083,160Vdisp	AF366266,X84006	Named,Named	
V1V3_157_Betaproteobacteria	Betaproteobacteria	1	98.431	98.431	HMT-022	Lautropia mirabilis	Strain: Fredericksen	022_3223	X73223	Named	
V1V3_158_Firmicutes	Firmicutes	1	99.609	99.609	HMT-158,HMT-158	Veillonella rogosae,Veillonella rogosae	Strain: F0412,Clone: BI029	158F0412,158BI029	tbd,GQ422725	Named,Named	
V1V3_159_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-448,HMT-448	Actinomyces sp. HMT 448,Actinomyces sp. HMT 448	Strain: F0400,Clone: 071059_594	448F0400,448_3317	tbd,JQ473317	Unnamed,Unnamed	
V1V3_160_Actinobacteria	Actinobacteria	1	99.559	100.0	HMT-170	Actinomyces sp. HMT 170	Clone: AP064	170AP064	AF287749	Unnamed	
V1V3_161_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-392	Leptotrichia sp. HMT 392	Clone: P2PB_51	392_7053	AY207053	Phylotype	
V1V3_162_TM7	TM7	2	97.447	97.447	HMT-346,HMT-355	Saccharibacteria (TM7) [G-1] bacterium HMT 346,Saccharibacteria (TM7) [G-4] bacterium HMT 355	Clone: AH040,Clone: _F061	346AH040,355_F061	AF125204,AF125205	Phylotype,Phylotype	
V1V3_163_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-420	Fusobacterium nucleatum subsp. animalis	Clone: C4AKM033	420_8617	AY278617	Named	
V1V3_164_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-273	Porphyromonas endodontalis	Strain: ATCC 35406	273_6491	L16491	Named	
V1V3_165_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-666	Corynebacterium matruchotii	Strain: ChDC OS35	666_3287	AF543287	Named	
V1V3_166_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-206	Bergeyella sp. HMT 206	Clone: 3P2-77	206N109B	EF419382	Phylotype	
V1V3_167_Betaproteobacteria	Betaproteobacteria	1	99.608	99.608	HMT-101	Neisseria perflava	Strain: Branham 7078	101N065A	NR_117694	Named	
V1V3_168_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-572,HMT-572,HMT-572	Prevotella veroralis,Prevotella veroralis,Prevotella veroralis	Strain: JCM 6290,Clone: 071062_262,Strain: ATCC 33779	572_3124,572_4079,572_6473	NR_113124,JQ474079,L16473	Named,Named,Named	
V1V3_169_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-274,HMT-274	Bacteroidales [G-2] bacterium HMT 274,Bacteroidales [G-2] bacterium HMT 274	Clone: AU126,Clone: 071040_120	274AU126,274_8173	AY005072,JQ468173	Unnamed,Unnamed	
V1V3_170_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-572,HMT-572,HMT-572	Prevotella veroralis,Prevotella veroralis,Prevotella veroralis	Strain: JCM 6290,Clone: 071062_262,Strain: ATCC 33779	572_3124,572_4079,572_6473	NR_113124,JQ474079,L16473	Named,Named,Named	
V1V3_171_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-795	Prevotella shahii	Strain: JCM 12083	795_8825	AB108825	Named	
V1V3_172_TM7	TM7	1	100.0	100.0	HMT-349	Saccharibacteria (TM7) [G-1] bacterium HMT 349	Clone: BS003	349BS003	AY005448	Phylotype	
V1V3_173_Firmicutes	Firmicutes	1	100.0	100.0	HMT-644	Streptococcus intermedius	Strain: ATCC27335	644_4671	AF104671	Named	
V1V3_174_Firmicutes	Firmicutes	3	100.0	100.0	HMT-411,HMT-057,HMT-728	Streptococcus parasanguinis clade 411,Streptococcus sp. HMT 057,Streptococcus peroris	Clone: C5AKM109,Clone: BE024,Strain: GTC848	411_8635,057BE024,728_8314	AY278635,AF385550,AB008314	Named,Lost,Named	
V1V3_175_Firmicutes	Firmicutes	1	100.0	100.0	HMT-130	Selenomonas noxia	Strain: ATCC 43541	130Snoxi	AF287799	Named	
V1V3_176_Actinobacteria	Actinobacteria	2	98.678	99.115	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_177_Betaproteobacteria	Betaproteobacteria	1	100.0	99.216	HMT-706	Kingella oralis	Strain: CCUG 30450	706_6164	L06164	Named	
V1V3_178_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-299	Prevotella nanceiensis	Clone: BI027	299BI027	AY005064	Named	
V1V3_179_Gammaproteobacteria	Gammaproteobacteria	1	99.609	99.609	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_180_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-194	Arachnia rubra	Clone: BN085	194BN085	AF287757	Phylotype	
V1V3_181_Betaproteobacteria	Betaproteobacteria	1	93.75	94.118	HMT-211	Acidovorax caeni	Strain: R-24608	211N113A	NR_042427	Named	
V1V3_182_Actinobacteria	Actinobacteria	1	99.119	99.558	HMT-666	Corynebacterium matruchotii	Strain: CIP 81.82	666_2065	X82065	Named	
V1V3_183_Spirochaetes	Spirochaetes	1	100.0	100.0	HMT-231	Treponema sp. HMT 231	Clone: _T021	231_T021	AF023055	Phylotype	
V1V3_184_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-666	Corynebacterium matruchotii	Strain: ChDC OS35	666_3287	AF543287	Named	
V1V3_185_TM7	TM7	1	99.574	99.574	HMT-351	Saccharibacteria (TM7) [G-3] bacterium HMT 351	Clone: CW040	351CW040	AF385506	Phylotype	
V1V3_186_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-222	Leptotrichia wadei	Strain: A39FD	222_7816	AF287816	Named	
V1V3_187_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-666	Corynebacterium matruchotii	Strain: CIP 81.82	666_2065	X82065	Named	
V1V3_188_Actinobacteria	Actinobacteria	2	98.238	98.673	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_189_Firmicutes	Firmicutes	1	99.219	99.219	HMT-122,HMT-122	Megasphaera micronuciformis,Megasphaera micronuciformis	Clone: 16sps19-3e12.p1k,Clone: BU057	122_6527,122BU057	FM996527,AF385566	Named,Named	
V1V3_190_Betaproteobacteria	Betaproteobacteria	1	99.216	99.216	HMT-476	Neisseria subflava	Strain: U37	476_9291	AJ239291	Named	
V1V3_191_Firmicutes	Firmicutes	1	100.0	100.0	HMT-467	Peptostreptococcaceae [XI][G-1] [Eubacterium] sulci	Strain: ATCC 35585	467_6963	AJ006963	Named	
V1V3_192_Firmicutes	Firmicutes	1	100.0	100.0	HMT-130	Selenomonas noxia	Clone: CI002	130CI002	AF287798	Named	
V1V3_193_Bacteroidetes	Bacteroidetes	2	99.07	99.07	HMT-306,HMT-314	Prevotella sp. HMT 306,Prevotella sp. HMT 314	Clone: DO027,Clone: FU048	306DO027,314FU048	AF385511,AY349393	Unnamed,Unnamed	
V1V3_194_Actinobacteria	Actinobacteria	1	98.678	99.115	HMT-866,HMT-866	Actinomyces graevenitzii,Actinomyces graevenitzii	Strain: F0530,Strain: CCUG 27294	866F0530,866_2167	tbd,NR_042167	Named,Named	
V1V3_195_Firmicutes	Firmicutes	1	99.219	99.219	HMT-596,HMT-596	Granulicatella elegans,Granulicatella elegans	Strain: 2640-91,Clone: ncd32a06c1	596_5408,596_2532	Y15408,HM252532	Named,Named	
V1V3_196_Fusobacteria	Fusobacteria	1	99.605	99.605	HMT-420,HMT-420	Fusobacterium nucleatum subsp. animalis,Fusobacterium nucleatum subsp. animalis	Strain: NCTC 12276,Clone: C4AKM033	420_5404,420_8617	X55404,AY278617	Named,Named	
V1V3_197_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-303	Prevotella pleuritidis	Clone: 102D01	303_9992	AM419992	Named	
