Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015277-PTO	S700015653-PTO	S700016162-PTO	S700016327-PTO	S700016368-PTO	S700016584-PTO	S700016640-PTO	S700016941-PTO	S700021868-PTO	S700021906-PTO	S700023005-PTO	S700023261-PTO	S700023315-PTO	S700023412-PTO	S700023469-PTO	S700023570-PTO	S700023684-PTO	S700023780-PTO	S700023837-PTO	S700023894-PTO	S700023960-PTO	S700024017-PTO	S700024058-PTO	S700024121-PTO	S700024179-PTO	S700024225-PTO	S700024284-PTO	S700024332-PTO	S700024371-PTO	S700024427-PTO	S700024484-PTO	S700024533-PTO	S700024580-PTO	S700024629-PTO	S700024665-PTO	S700024725-PTO	S700024782-PTO	S700024819-PTO	S700024896-PTO	S700024940-PTO	S700024990-PTO	S700033011-PTO	S700033173-PTO	S700033468-PTO	S700033769-PTO	S700037066-PTO	S700037214-PTO	S700037462-PTO	S700037574-PTO	S700037726-PTO	S700038045-PTO	S700038241-PTO	S700038378-PTO	S700038464-PTO	S700038512-PTO	S700038560-PTO	S700038608-PTO	S700038716-PTO	S700038992-PTO	S700095392-PTO	S700095449-PTO	S700096305-PTO	S700097273-PTO	S700097333-PTO	S700097670-PTO	S700098309-PTO	S700098401-PTO	S700098974-PTO	S700099041-PTO	S700099101-PTO	S700099629-PTO	S700099785-PTO	S700100269-PTO	S700101677-PTO	S700102281-PTO	S700102627-PTO	S700102944-PTO	S700103255-PTO	S700103319-PTO	S700103460-PTO	S700103529-PTO	S700103599-PTO	S700103635-PTO	S700103686-PTO	S700105025-PTO	S700105079-PTO	S700105138-PTO	S700105195-PTO	S700105252-PTO	S700105298-PTO	S700105386-PTO	S700105431-PTO	S700105506-PTO	S700105660-PTO	S700105699-PTO	S700105753-PTO	S700105820-PTO	S700105918-PTO	S700106032-PTO	S700106107-PTO	S700106374-PTO	S700106426-PTO	S700106534-PTO	S700106593-PTO	S700106629-PTO	S700106677-PTO	S700106737-PTO	S700106851-PTO	S700106890-PTO	S700106960-PTO	S700113001-PTO	S700113049-PTO	S700113085-PTO	S700113132-PTO	S700113517-PTO	S700113592-PTO	S700113630-PTO	S700113688-PTO	S700113832-PTO	S700113946-PTO	S700114031-PTO	S700114080-PTO	S700114139-PTO	S700114203-PTO	S700114260-PTO	S700114317-PTO	S700114365-PTO	S700114401-PTO	S700114531-PTO	S700114572-PTO	S700114629-PTO	S700114693-PTO	S700114741-PTO	S700114791-PTO	S700114848-PTO	S700114896-PTO	S700114953-PTO	S700116231-PTO	S700116318-PTO	S700116372-PTO	S700116582-PTO	S700116633-PTO	S700116792-PTO	S700116852-PTO	S700117014-PTO	S700117674-PTO	S700117731-PTO	S700117842-PTO	S700117968-PTO	S700118452-PTO
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291	2571		0.0	0.012	0.0	0.088	0.0	0.64	0.115	0.024	0.0	0.0	0.023	0.0	0.048	0.017	0.0	0.0	0.0	0.04	0.0	0.054	0.029	3.858	0.0	0.0	0.0	5.07	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.021	0.0	0.0	0.0	0.0	0.01	0.0	0.006	0.0	0.0	0.009	0.0	0.0	0.017	0.007	0.0	0.0	0.0	0.0	0.014	0.0	5.592	0.024	0.0	0.0	0.144	0.038	0.0	0.029	0.017	0.0	0.011	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.601	0.0	0.0	0.572	0.184	0.0	0.021	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.027	0.0	0.038	0.0	0.0	0.0	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;fusca	species	782	2942		0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.012	0.0	0.0	1.217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.08	0.0	0.213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.015	0.564	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.432	0.0	0.0	0.0	0.029	0.0	0.106	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.065	0.021	0.0	0.0	0.0	0.0	0.0	0.177	0.0	0.0	0.0	0.528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola	species	298	2578		0.036	0.436	1.603	0.071	0.0	0.32	0.966	0.085	0.423	2.535	0.0	0.0	0.144	3.035	11.872	0.0	1.096	3.21	1.753	4.332	3.322	0.238	1.739	0.05	0.062	0.072	0.0	0.443	3.067	0.715	0.0	0.556	0.537	0.349	0.0	0.029	0.4	2.728	0.0	2.086	1.143	0.0	0.093	0.0	0.21	6.314	0.515	0.324	0.039	1.889	0.56	0.166	8.621	0.814	0.606	0.094	0.48	0.072	1.233	8.186	0.0	0.0	0.312	1.145	2.442	0.048	0.028	3.13	2.041	7.96	0.398	0.257	1.089	0.845	0.146	1.942	0.599	4.409	1.881	0.04	0.0	4.046	2.642	4.811	0.405	0.016	1.03	1.592	0.015	0.503	0.0	1.743	0.869	5.986	0.0	0.0	9.473	0.286	0.704	3.408	0.022	2.149	0.017	0.0	2.231	0.519	0.964	3.55	0.138	2.071	0.37	1.52	0.017	4.741	1.471	0.219	1.08	0.634	13.693	0.0	2.609	0.991	0.01	0.874	0.218	0.21	0.226	0.0	11.055	0.755	4.873	0.0	0.04	0.016	3.417	0.065	0.023	0.809	2.215	3.079	2.272	2.661	0.191	0.0	1.411	2.21	8.17	2.316	0.477	0.217
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia	species	643	2844		0.394	0.0	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.249	0.0	0.0	2.384	0.063	0.0	0.0	0.0	0.185	6.863	0.421	0.0	0.0	0.06	0.18	0.0	0.776	0.0	4.635	18.897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.753	7.634	0.037	0.0	0.0	0.0	0.0	0.0	8.773	0.017	0.0	0.0	0.0	0.044	0.0	0.203	0.0	4.04	0.0	0.0	0.447	0.0	4.095	0.0	0.114	0.0	0.0	0.067	0.0	0.0	0.0	0.035	0.0	0.013	0.0	0.0	0.11	0.0	0.407	2.565	0.0	0.0	16.295	0.0	0.023	2.36	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	1.405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.347	0.0	0.0	0.0	8.886	2.246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.215	0.033	0.0	0.0	0.0	9.355	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.195	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	313	2593	Some of the reads equidistant from these taxa (313-314-469) are included in HMT-313 because they are too close to differentiate at this site (PTO).	0.036	0.338	0.177	0.141	0.062	0.308	0.288	0.06	6.998	0.015	0.0	0.047	0.048	2.229	0.255	0.08	0.593	6.374	0.626	4.399	0.186	0.0	0.802	0.267	0.0	0.115	0.0	0.215	6.43	2.483	0.006	3.815	0.134	0.773	1.494	0.0	0.66	0.947	0.81	1.619	0.675	0.071	0.093	0.01	0.1	1.37	0.957	0.177	0.097	0.807	0.082	0.211	6.288	5.227	0.0	0.96	1.29	0.158	4.278	0.153	0.0	0.459	0.271	1.091	1.678	0.0	0.475	4.503	1.063	0.029	0.0	0.057	0.255	0.37	0.03	0.076	0.031	0.968	2.272	0.689	0.0	2.998	0.105	1.351	0.0	0.961	2.061	0.669	0.0	0.503	0.096	0.038	0.869	3.808	0.212	0.0	2.007	0.154	0.911	0.744	0.111	0.0	0.0	0.018	0.486	0.571	0.451	3.258	0.659	0.27	0.436	2.997	0.017	0.467	0.781	0.023	5.456	0.659	0.561	0.139	1.829	8.455	0.161	0.0	0.832	1.22	0.129	0.0	2.677	0.888	2.855	1.697	0.0	0.394	0.354	0.217	0.0	3.592	4.0	0.643	3.966	0.006	2.325	0.07	0.879	0.087	0.65	1.938	0.088	0.08
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;koreensis	species	526	2752		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica	species	469	2709	Because HMT-314 is not present individually, all equidistant reads were assigned to HMT-469 at this body site (PTO).;Some of the reads equidistant from these taxa (313-314-469) are included in HMT-469 because they are too close to differentiate at this site (PTO).	2.347	1.652	4.301	0.265	0.308	2.764	3.186	1.27	2.566	4.788	5.365	1.086	2.311	7.135	0.861	0.669	1.145	2.297	1.19	2.951	2.234	1.164	3.317	1.05	2.057	2.246	2.97	3.971	3.071	2.119	1.119	2.887	2.514	0.296	8.044	3.857	1.572	2.39	7.493	1.864	3.486	5.119	0.037	3.559	1.219	9.486	4.663	1.753	1.816	4.492	8.216	2.366	1.256	2.992	2.753	1.733	3.358	3.653	3.12	2.336	0.555	3.164	1.655	6.33	0.65	0.285	8.011	0.247	1.722	0.48	0.607	0.428	2.195	1.823	1.63	1.912	1.382	10.832	3.935	3.582	2.1	7.583	4.289	2.159	6.15	7.593	3.869	0.612	0.698	1.329	1.601	4.313	1.065	3.987	3.895	4.489	2.395	3.186	3.024	1.947	0.379	0.897	1.255	0.055	6.403	5.046	2.428	3.244	0.372	0.555	2.828	1.464	6.305	1.058	2.633	1.176	1.755	0.317	6.823	4.572	2.833	2.92	5.023	2.273	0.846	3.913	2.198	0.981	3.215	8.543	2.984	1.844	1.23	1.624	2.498	1.107	22.138	2.019	3.555	2.929	1.033	2.886	7.062	2.004	1.445	4.527	2.925	2.374	5.053	4.298
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;micans	species	378	2657		0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.025	0.0	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.305	0.0	0.0	0.046	0.018	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.055	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299	2579		0.215	0.473	0.0	0.0	3.132	0.24	0.389	0.157	0.428	0.148	0.248	0.326	0.792	0.121	0.034	0.618	0.532	0.027	0.376	0.107	0.0	0.084	0.143	0.188	2.229	0.0	0.258	0.156	0.08	0.288	0.453	0.026	0.088	0.0	0.283	2.405	0.733	0.178	0.043	0.049	0.169	0.067	0.334	1.306	0.819	0.0	0.638	0.059	0.194	2.292	2.787	0.603	0.0	0.133	0.413	0.07	0.182	0.315	0.0	0.0	0.089	0.413	1.099	0.418	0.0	0.381	0.085	0.062	1.128	0.013	0.171	0.029	1.396	0.0	0.617	0.673	0.246	0.521	0.0	0.339	0.242	0.0	0.009	0.034	0.148	0.603	0.189	1.442	0.305	0.085	0.214	0.75	0.071	0.611	0.561	2.32	0.158	0.709	0.041	0.147	1.281	0.0	0.234	0.0	0.387	0.84	3.404	0.253	0.149	0.18	3.049	0.633	0.051	0.096	0.0	1.591	0.095	0.013	0.363	0.255	0.415	0.191	0.393	1.885	0.0	0.189	3.07	0.322	0.501	0.386	0.215	0.751	0.903	1.04	1.106	0.022	2.575	0.155	0.313	0.0	0.369	3.164	0.0	1.021	0.444	0.193	0.167	0.009	0.636	1.426
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693	2882		0.0	0.166	0.017	0.247	0.025	0.336	0.014	0.0	0.237	0.548	1.894	0.062	5.901	0.483	0.051	0.0	5.823	0.027	0.0	0.979	0.115	3.774	0.0	0.01	0.358	14.549	0.012	0.024	0.0	0.15	0.006	0.0	0.002	0.0	0.0	2.273	0.899	0.0	0.145	0.115	0.0	1.065	0.0	0.12	0.0	0.101	0.0	0.0	0.0	0.055	0.692	0.0	0.332	0.108	0.0	0.0	0.0	0.059	0.101	0.083	0.0	0.092	0.0	0.0	2.283	0.0	15.873	0.139	0.216	0.013	0.0	0.2	0.068	1.162	0.019	0.031	0.077	0.0	0.0	1.257	0.121	0.524	0.265	0.0	0.0	0.0	0.0	0.0	6.017	0.043	0.0	0.069	0.0	0.0	0.045	0.0	0.652	0.014	1.284	0.0	0.0	6.554	4.133	0.129	0.028	0.176	0.0	0.08	1.138	0.0	0.263	0.0	5.732	0.014	0.236	0.012	0.064	0.025	0.165	0.0	0.044	0.513	0.0	0.0	0.668	0.021	0.013	18.145	0.0	0.016	0.172	0.424	0.0	0.631	0.504	0.022	0.046	3.022	0.0	0.0	0.17	0.168	0.593	0.156	0.0	0.11	0.029	0.221	0.0	0.093
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oris	species	311	2591		0.251	0.135	0.0	0.626	0.0	0.24	0.187	0.024	0.778	0.148	2.818	0.0	2.431	0.431	0.964	0.007	2.614	0.972	0.595	0.295	0.029	2.062	0.043	3.486	0.468	0.602	0.0	0.024	0.04	0.138	0.058	0.0	0.789	0.095	0.0	0.132	3.564	0.0	0.0	0.049	0.019	0.2	0.0	0.052	0.0	0.034	0.025	0.368	3.059	0.0	0.333	0.015	0.0	0.271	0.0	0.34	0.017	0.138	0.579	0.028	0.0	0.046	0.149	0.022	3.15	0.024	2.453	0.54	0.048	0.509	0.066	0.513	0.068	2.456	0.234	0.0	0.061	0.0	0.0	0.299	1.037	0.262	0.162	0.007	0.0	0.033	0.021	0.0	5.349	0.809	0.0	0.023	0.568	0.0	0.076	0.0	0.247	0.014	0.373	0.889	0.0	3.277	3.062	0.0	0.007	0.023	0.0	0.053	0.351	0.015	0.008	0.0	2.428	1.567	0.327	0.012	0.381	6.135	0.595	0.015	0.0	0.182	0.0	0.0	0.177	0.0	1.233	0.0	0.0	0.048	0.666	0.8	0.0	0.426	2.262	0.76	0.0	3.545	0.008	0.0	0.071	0.419	2.411	0.016	0.0	3.798	0.039	0.318	0.141	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oulorum	species	288	2568		0.0	0.08	0.0	0.309	0.0	0.208	0.058	0.012	0.455	0.059	0.0	0.0	0.0	0.017	0.101	0.0	0.204	0.08	0.0	0.094	0.0	0.0	0.0	0.01	0.0	0.193	0.0	0.0	0.0	0.038	0.0	0.0	0.024	0.053	0.0	0.0	0.133	0.0	0.0	0.0	0.0	0.0	0.019	0.031	0.06	0.794	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.232	0.0	0.0	0.0	0.0	0.478	0.0	0.0	0.0	0.027	0.022	0.0	0.0	0.0	0.031	0.072	0.0	0.142	0.143	0.0	0.0	0.024	0.0	0.015	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.346	0.0	0.021	0.0	0.291	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.106	0.0	0.021	0.035	0.0	0.216	0.017	0.0	0.0	0.0	0.0	0.027	0.064	0.0	0.016	0.0	0.185	0.014	0.036	0.0	0.206	0.0	0.017	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.049	0.0	0.0	0.909	0.0	0.0	0.0	0.0	0.318	0.01	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714	2895		0.143	0.473	0.044	0.203	0.0	0.096	0.548	0.073	4.411	0.652	1.758	1.195	0.176	0.0	0.676	0.044	0.407	0.839	0.939	1.583	0.115	0.056	0.926	0.198	0.296	0.0	0.552	0.849	2.105	2.257	0.129	1.113	0.321	1.334	1.121	0.425	0.1	0.863	1.967	0.854	0.394	0.133	0.074	0.0	0.1	0.0	3.166	0.398	0.107	1.467	0.642	1.311	0.332	2.157	1.294	0.632	1.059	1.551	1.56	0.0	0.0	0.734	0.258	0.374	0.525	0.0	0.0	0.54	2.209	0.0	0.635	0.057	0.459	0.502	0.024	1.116	0.061	0.3	2.763	0.349	0.498	0.422	1.547	3.014	0.85	0.603	0.883	0.415	0.073	0.639	1.144	0.669	0.124	1.159	1.273	0.513	2.148	0.382	1.595	1.07	0.156	0.108	0.335	0.0	0.176	1.259	0.878	2.952	0.223	0.51	0.658	0.661	0.506	0.632	0.018	0.161	2.271	0.558	0.033	1.065	0.655	2.364	3.342	0.078	0.164	0.337	0.327	0.056	1.913	1.301	1.03	0.734	0.312	0.331	0.209	0.174	2.092	0.196	1.436	0.63	0.923	0.545	0.0	0.6	1.036	0.069	2.848	0.813	0.3	0.271
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;pleuritidis	species	303	2583		0.34	0.0	0.0	0.0	0.037	0.016	0.0	0.0	0.0	0.267	0.0	0.0	0.0	0.448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.143	4.605	0.125	0.0	0.0	0.0	0.0	0.013	0.0	0.026	0.032	0.159	0.0	0.0	0.0	0.0	0.0	0.016	0.019	0.133	0.0	0.026	0.0	0.0	0.0	0.81	1.185	0.073	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.205	0.0	0.113	0.0	0.0	0.0	0.0	0.228	0.0	0.0	0.046	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.645	0.0	0.0	0.069	0.106	0.0	0.0	0.0	0.0	0.0	0.311	0.0	0.089	0.0	1.623	0.037	0.0	0.008	0.0	0.0	0.0	0.0	0.173	0.0	2.411	0.0	0.218	0.0	0.0	0.203	0.0	0.0	0.0	2.737	0.0	0.0	0.0	0.021	0.0	1.191	0.0	0.0	0.0	0.147	0.0	0.126	0.0	0.0	0.0	0.0	0.099	0.0	0.17	0.126	0.0	0.0	0.0	0.0	0.01	0.0	0.141	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;salivae	species	307	2587		0.036	0.055	0.144	0.124	0.012	0.544	0.173	0.0	3.132	0.148	0.541	1.179	0.4	0.362	0.896	0.0	0.063	2.078	0.689	1.261	0.258	0.126	0.713	0.109	0.062	0.132	0.172	0.263	3.207	1.63	0.013	0.675	0.131	0.222	0.44	0.0	0.167	0.292	0.68	1.33	0.6	0.216	0.019	0.094	0.06	1.536	2.798	0.059	0.049	0.587	1.422	0.151	1.492	2.161	0.495	0.293	0.265	0.0	2.441	2.185	0.0	0.092	0.081	0.749	1.415	0.024	0.0	1.419	0.336	3.243	0.275	0.143	0.459	0.158	0.022	0.872	0.092	0.82	4.315	0.299	0.054	1.47	3.975	3.95	0.623	0.847	0.147	0.219	0.0	0.647	0.244	0.542	0.177	0.866	0.318	0.0	1.778	0.055	0.725	1.113	0.045	0.479	0.0	0.018	0.591	0.694	0.293	1.409	0.085	1.576	0.263	1.337	1.062	0.797	0.236	0.046	2.144	0.254	0.925	0.18	0.906	0.721	1.892	0.078	0.095	0.168	0.013	0.028	0.387	0.434	0.945	1.289	0.016	0.189	0.234	0.347	0.69	0.4	1.528	0.753	0.923	0.44	1.206	0.312	0.078	0.649	2.023	1.812	0.3	0.062
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;scopos	species	885	3031		0.0	0.0	0.398	0.0	0.0	0.08	0.014	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.394	0.0	0.0	0.019	0.005	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.291	0.323	0.0	0.012	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115	0.0	0.0	0.053	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.183	0.0	0.049	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.021	0.226	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.012	0.043	0.0	0.0	0.008	0.055	0.0	0.0	0.0	0.078	0.087	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;shahii	species	795	2949		0.054	0.012	0.0	0.0	0.0	0.016	0.0	0.133	0.0	0.0	0.203	3.584	0.072	0.0	0.0	0.713	0.0	0.0	0.282	0.0	0.0	0.533	0.0	0.535	0.982	0.0	2.492	0.0	0.0	0.113	0.504	0.0	0.0	0.0	0.147	0.733	0.0	0.0	0.058	0.312	0.0	0.0	0.111	0.77	0.0	0.0	1.571	0.0	0.612	0.037	0.786	2.924	0.0	0.0	4.817	0.0	0.645	0.0	0.0	0.0	0.444	0.092	0.014	0.198	0.0	0.0	0.0	0.0	0.216	0.0	0.853	0.0	0.204	0.132	0.0	0.015	0.0	0.0	0.047	1.437	0.539	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.009	0.0	0.0	0.0	1.847	0.0	0.595	0.0	0.0	1.346	0.0	0.0	0.015	0.184	0.0	0.0	2.198	0.037	0.0	0.085	0.0	1.512	0.478	0.0	0.014	0.0	0.438	0.0	0.0	0.0	0.0	0.393	0.087	4.248	0.0	0.0	0.0	0.289	0.154	0.0	0.482	0.0	1.762	2.269	1.513	0.0	0.109	0.023	0.0	0.076	0.0	0.071	0.482	0.0	0.678	0.009	0.0	0.128	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-305	species	305	2585		0.0	0.006	0.094	0.0	0.0	0.0	0.029	0.012	0.378	0.03	0.0	0.0	0.0	0.052	0.068	0.0	0.047	0.107	0.063	0.013	0.043	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.401	0.238	0.0	0.185	0.004	0.074	0.0	0.0	0.0	0.013	0.0	0.164	0.0	0.0	0.0	0.0	0.0	0.0	0.417	0.0	0.0	0.055	0.0	0.0	0.033	0.129	0.0	0.059	0.05	0.0	0.101	0.028	0.0	0.0	0.0	0.11	0.16	0.0	0.0	0.154	0.072	0.051	0.123	0.029	0.0	0.026	0.0	0.031	0.031	0.047	0.541	0.01	0.0	0.233	0.325	0.213	0.0	0.13	0.063	0.012	0.0	0.06	0.0	0.081	0.0	0.344	0.0	0.0	0.211	0.027	0.041	0.026	0.0	0.031	0.0	0.0	0.021	0.015	0.0	0.0	0.0	0.09	0.0	0.127	0.0	0.206	0.036	0.0	0.238	0.0	0.083	0.0	0.011	0.313	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.107	0.0	0.0	0.0	0.037	0.0	0.0	0.106	0.023	0.068	0.17	0.0	0.0	0.008	0.0	0.055	0.167	0.141	0.053	0.008
