Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014973-TDO	S700015265-TDO	S700015641-TDO	S700015999-TDO	S700016063-TDO	S700016154-TDO	S700016319-TDO	S700016360-TDO	S700016576-TDO	S700016628-TDO	S700021687-TDO	S700021697-TDO	S700021860-TDO	S700023080-TDO	S700023214-TDO	S700023247-TDO	S700023305-TDO	S700023404-TDO	S700023461-TDO	S700023515-TDO	S700023562-TDO	S700023676-TDO	S700023772-TDO	S700023829-TDO	S700023886-TDO	S700023952-TDO	S700024009-TDO	S700024050-TDO	S700024169-TDO	S700024215-TDO	S700024276-TDO	S700024324-TDO	S700024363-TDO	S700024417-TDO	S700024476-TDO	S700024525-TDO	S700024572-TDO	S700024621-TDO	S700024657-TDO	S700024717-TDO	S700024774-TDO	S700024811-TDO	S700024888-TDO	S700024932-TDO	S700024982-TDO	S700033164-TDO	S700033455-TDO	S700033761-TDO	S700037058-TDO	S700037206-TDO	S700037454-TDO	S700037566-TDO	S700037582-TDO	S700037718-TDO	S700038037-TDO	S700038233-TDO	S700038370-TDO	S700038456-TDO	S700038504-TDO	S700038552-TDO	S700038600-TDO	S700038708-TDO	S700038767-TDO	S700038984-TDO	S700095384-TDO	S700095441-TDO	S700097265-TDO	S700097325-TDO	S700097662-TDO	S700098301-TDO	S700098393-TDO	S700099033-TDO	S700099093-TDO	S700099621-TDO	S700099777-TDO	S700100261-TDO	S700101669-TDO	S700102273-TDO	S700102619-TDO	S700102936-TDO	S700103247-TDO	S700103311-TDO	S700103452-TDO	S700103521-TDO	S700103627-TDO	S700103678-TDO	S700105017-TDO	S700105071-TDO	S700105130-TDO	S700105187-TDO	S700105244-TDO	S700105290-TDO	S700105340-TDO	S700105378-TDO	S700105423-TDO	S700105498-TDO	S700105596-TDO	S700105652-TDO	S700105691-TDO	S700105745-TDO	S700105812-TDO	S700105862-TDO	S700105910-TDO	S700105942-TDO	S700106024-TDO	S700106099-TDO	S700106366-TDO	S700106418-TDO	S700106526-TDO	S700106585-TDO	S700106621-TDO	S700106669-TDO	S700106843-TDO	S700106882-TDO	S700106952-TDO	S700108989-TDO	S700113041-TDO	S700113077-TDO	S700113124-TDO	S700113509-TDO	S700113584-TDO	S700113622-TDO	S700113680-TDO	S700113824-TDO	S700113938-TDO	S700114023-TDO	S700114072-TDO	S700114133-TDO	S700114195-TDO	S700114252-TDO	S700114309-TDO	S700114357-TDO	S700114523-TDO	S700114564-TDO	S700114621-TDO	S700114685-TDO	S700114733-TDO	S700114783-TDO	S700114840-TDO	S700114888-TDO	S700114945-TDO	S700114993-TDO	S700116223-TDO	S700116310-TDO	S700116364-TDO	S700116574-TDO	S700116625-TDO	S700116784-TDO	S700116844-TDO	S700117006-TDO	S700117666-TDO	S700117723-TDO	S700117834-TDO	S700117960-TDO	S700117998-TDO
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus				6.049	36.138	1.959	0.566	0.076	0.022	0.598	2.92	0.969	8.731	0.671	19.978	10.912	4.53	17.125	11.519	23.266	1.231	1.329	4.58	3.127	10.826	0.787	14.941	0.014	1.58	12.64	0.553	5.041	0.088	24.909	17.159	0.158	10.988	13.377	8.76	14.645	3.104	32.161	12.293	23.279	0.109	32.197	1.092	4.266	6.616	7.103	4.44	0.843	4.274	23.962	4.638	12.588	1.454	14.764	11.998	3.429	0.623	17.728	11.937	0.064	12.297	2.663	0.067	0.0	8.98	18.278	4.166	0.027	1.492	0.026	3.201	0.478	3.998	0.057	8.852	6.552	7.059	5.865	3.545	10.801	0.287	17.526	30.357	9.044	13.275	6.564	16.052	0.37	0.078	8.939	4.521	32.821	9.951	0.402	0.888	0.957	5.537	3.526	24.557	0.726	20.518	30.665	27.912	15.625	10.933	33.957	0.653	29.605	0.085	9.678	6.562	0.089	2.195	1.379	18.521	16.359	0.031	0.038	7.186	30.588	13.664	0.742	0.328	14.363	10.737	6.275	6.738	28.657	0.48	28.582	22.797	45.636	13.525	3.311	19.151	8.852	12.988	4.952	1.991	10.6	7.559	0.543	0.612	5.99	1.029	11.407	1.28	14.992	1.184	0.162	0.039	12.523	0.0	26.687
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus				4.064	0.668	2.204	0.967	0.959	0.796	0.488	0.595	3.307	3.3	0.753	1.728	4.088	3.531	4.702	2.161	0.458	4.924	5.797	1.252	0.371	2.262	6.955	2.017	2.136	1.547	1.678	2.213	2.467	0.818	1.627	1.228	5.051	3.398	1.092	2.915	4.468	7.405	4.42	1.303	5.368	5.714	0.664	9.729	9.495	4.088	2.022	1.194	7.864	3.004	1.091	1.375	2.688	4.919	2.901	1.644	3.778	2.446	3.511	2.728	3.483	2.559	2.663	0.687	0.742	0.322	0.559	1.054	5.661	0.199	1.461	1.67	1.174	2.632	2.906	1.403	2.788	0.522	0.721	2.722	1.547	1.287	0.957	2.367	15.817	3.606	1.837	12.758	4.146	2.984	1.172	5.833	0.756	2.884	7.498	3.398	3.815	2.734	3.816	2.088	1.903	2.351	0.526	5.496	2.531	4.052	0.389	10.1	0.647	0.905	1.86	2.382	11.724	9.576	1.716	0.447	3.55	3.669	2.703	2.656	1.261	2.374	5.057	2.736	4.222	1.44	6.508	0.946	0.335	8.657	3.109	4.057	0.596	3.449	16.82	1.689	1.11	2.608	3.112	3.23	3.857	9.633	1.51	1.386	2.821	6.319	1.039	4.494	1.0	5.83	5.231	5.313	0.814	0.397	1.098
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus				0.946	3.277	1.391	3.944	0.107	0.314	0.21	8.072	7.052	5.194	5.254	1.294	0.282	1.552	0.655	1.927	2.65	0.249	0.014	0.25	4.691	0.54	0.131	0.578	0.014	0.022	0.629	0.087	3.036	0.011	1.362	1.067	0.341	0.644	0.672	0.101	0.059	0.418	0.403	2.655	1.875	0.437	2.082	0.101	0.069	0.558	2.259	0.959	0.0	0.049	0.563	0.712	1.141	0.036	0.945	0.944	0.568	0.293	0.326	0.043	0.032	1.688	0.25	0.135	1.024	17.637	15.572	12.08	4.566	18.596	0.349	5.119	2.021	5.389	0.957	13.59	0.488	13.12	5.51	0.712	0.154	0.037	0.461	0.242	0.03	0.049	0.267	0.028	0.064	0.047	0.048	0.007	0.233	0.24	0.029	0.116	0.015	0.062	0.0	0.54	0.726	0.02	1.194	0.417	0.245	0.0	1.142	0.089	1.729	0.071	0.288	0.041	0.157	0.0	2.789	20.31	0.763	0.0	0.088	0.454	0.781	0.0	0.42	0.713	0.628	0.017	0.124	0.676	9.176	0.069	0.365	1.224	2.19	0.71	0.033	2.923	6.907	1.684	1.396	0.753	0.773	3.894	0.089	0.287	2.431	1.771	5.461	1.35	3.798	1.512	0.13	0.068	0.791	4.902	1.28
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus				2.259	0.055	0.707	0.238	0.274	2.298	0.817	0.265	1.059	0.047	0.213	0.337	5.602	3.22	1.741	0.729	0.463	0.14	0.0	2.063	0.387	0.214	4.58	1.734	4.341	0.59	2.167	0.175	0.913	0.0	0.631	0.234	1.461	2.0	0.05	5.275	3.691	0.993	0.773	0.897	0.344	0.796	3.436	4.895	1.101	4.236	1.844	4.327	4.546	4.322	0.446	0.472	1.934	1.199	2.38	0.457	0.055	4.603	1.957	2.686	4.564	1.128	0.132	4.027	0.026	0.752	0.432	2.45	7.984	0.895	6.466	0.835	0.0	0.596	2.644	3.035	0.953	0.046	1.017	3.625	1.491	0.637	0.803	0.324	2.63	0.658	0.033	0.81	1.88	1.187	0.494	2.158	0.518	1.298	1.454	0.174	0.015	2.085	4.117	1.613	0.32	2.321	0.028	2.026	5.772	9.409	0.211	0.0	0.586	2.447	0.443	3.269	1.565	6.017	1.124	0.0	3.163	0.265	0.515	0.014	0.617	3.119	0.784	0.029	1.03	0.156	1.693	0.234	0.037	4.033	1.937	1.535	0.031	3.922	1.631	0.054	0.379	0.661	0.263	15.225	6.804	2.664	0.298	1.109	0.492	1.826	0.318	0.056	0.058	2.557	0.016	2.189	0.637	0.066	0.01
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus				0.0	0.0	0.068	0.0	0.0	0.0	0.008	0.033	0.039	0.0	0.0	0.135	0.0	0.0	0.03	0.454	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.012	0.0	0.011	0.042	0.0	0.012	0.0	0.025	0.0	0.0	0.027	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.023	0.0	0.237	0.01	0.0	0.269	0.0	0.016	0.039	0.012	0.237	0.35	0.0	0.005	0.211	0.0	0.159	0.0	0.0	0.067	0.0	0.021	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.152	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.015	0.061	0.007	0.0	0.0	0.0	0.216	0.116	0.058	0.0	0.09	0.0	0.0	0.103	0.0	0.0	0.0	0.075	0.0	0.007	0.098	0.0	0.015	0.0	0.0	0.133	0.0	0.0	0.0	0.014	0.023	0.0	0.0	0.364	0.0	0.225	0.0	0.0	0.0	0.239	0.011	0.0	0.127	0.049	0.0	0.0	0.0	0.025	0.151	0.0	0.169	0.0	0.019	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma	genus				0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.017	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.014	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.062	0.0	0.0	0.0	0.019	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.033	0.0	0.0	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.015	0.0	0.0	0.033	0.096	0.0	0.0	0.0	0.022	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-345	species	345	2625		0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.008	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.013	0.0	0.0	2.672	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.113	0.0	0.0	0.0	0.0	0.176	0.058	0.0	0.243	0.167	0.0	0.0	0.422	0.0	0.111	0.008	0.0	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.156	0.0	0.0	0.0	0.0	0.0	0.0	0.239	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.009	0.0	0.0	0.0	0.0	0.062	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.886	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.038	0.0	0.0	0.018	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.013	0.075	0.008	5.951	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-874	species	874	3020		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.026	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.017	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.189	0.015	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.026	0.15	0.0	1.297	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875	3021		0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.917	0.0	0.0	0.138	0.006	0.0	0.0	0.0	0.371	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.025	0.0	0.012	0.329	0.143	0.0	0.0	0.0	0.137	0.012	0.0	0.0	0.536	0.081	0.0	0.0	0.219	0.276	0.0	0.098	0.0	0.248	0.783	0.0	0.005	0.046	0.0	0.0	1.458	0.0	2.481	0.0	0.0	0.0	0.0	0.064	1.194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.144	0.0	0.0	0.0	0.0	0.0	0.0	0.905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.213	0.0	0.467	0.0	0.0	0.0	0.0	0.656	0.0	1.84	0.0	0.0	0.0	0.0	0.065	0.0	0.008	0.0	1.007	0.0	0.0	0.585	0.075	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.069	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.087	0.039	0.0	0.0	8.082	0.184	0.012	0.0	0.411	0.0	0.0	0.0	0.0	0.036	0.01	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii	species	866	3014		2.023	0.558	2.002	2.173	1.263	2.085	5.144	0.447	1.795	0.047	1.358	1.339	0.624	1.638	3.377	2.285	1.384	5.953	3.33	2.159	0.5	1.587	3.097	2.3	8.208	1.068	2.069	0.626	1.471	0.022	1.841	0.438	4.163	0.411	0.05	3.938	1.571	2.788	1.594	0.344	0.447	7.088	0.447	1.406	5.023	5.204	0.54	0.459	2.768	2.466	2.452	1.159	2.04	2.932	0.862	1.02	2.622	0.474	0.652	2.842	1.177	0.2	2.031	1.185	0.64	1.289	0.419	2.034	1.389	0.756	2.405	1.144	0.0	1.962	2.381	0.588	1.743	0.0	1.182	6.537	0.0	19.433	0.598	0.995	2.105	1.351	2.372	0.754	1.944	3.406	0.823	1.145	0.504	2.616	0.0	3.784	3.815	0.988	3.271	0.65	7.424	1.09	0.156	3.351	4.481	4.478	0.008	26.838	0.165	4.06	0.517	0.041	0.793	1.517	0.94	0.026	1.438	0.0	1.484	3.835	0.069	0.14	5.603	0.599	1.646	0.0	0.179	1.171	0.0	3.375	1.974	0.172	1.238	3.77	1.252	0.02	0.013	0.636	1.897	0.058	0.941	0.766	2.641	3.24	0.376	2.999	0.871	2.477	1.209	7.651	9.438	8.235	0.223	0.497	0.058
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;lingnae	species	181	2464		0.168	0.213	1.324	0.923	1.324	2.881	1.448	1.117	0.672	0.126	1.8	0.105	0.724	0.039	0.238	0.22	0.586	1.293	1.288	0.596	0.274	0.473	1.102	0.713	1.089	0.445	0.322	0.99	0.391	2.586	0.164	1.257	1.266	0.521	0.202	0.448	0.372	1.163	0.177	0.713	0.447	0.141	0.46	0.384	0.161	0.279	0.208	0.061	0.715	0.708	1.467	0.064	0.106	0.376	0.532	0.624	0.568	0.944	0.211	0.583	0.223	0.155	1.207	1.077	1.152	0.301	0.203	0.392	1.442	0.119	0.608	0.727	0.674	0.174	1.379	0.912	0.325	0.395	0.355	1.393	0.035	1.037	0.085	0.446	0.689	1.092	0.468	0.782	0.53	0.625	0.397	0.503	0.112	1.142	0.0	1.544	0.131	0.378	0.336	0.212	1.09	0.29	0.128	2.055	0.129	0.955	0.219	1.916	0.105	0.509	0.952	0.39	0.608	0.372	0.225	0.105	0.199	1.202	0.654	0.866	0.384	0.372	0.336	4.546	0.427	0.0	0.116	0.793	0.037	0.549	0.344	0.247	0.457	0.583	0.61	0.342	0.522	0.324	0.534	0.139	0.872	0.175	0.513	0.335	1.1	0.697	1.39	1.781	0.252	0.458	1.235	0.579	1.866	2.103	1.319
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701	2886	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (TDO).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-701 because they are too close to differentiate at this site (TDO).	5.126	0.612	3.612	3.6	4.463	8.985	4.815	3.616	0.738	0.583	9.295	3.494	5.59	6.252	1.407	8.885	4.181	7.999	11.825	6.615	2.603	3.318	9.987	3.262	3.237	5.804	9.383	3.927	4.421	2.493	5.888	4.093	3.811	4.011	4.179	4.578	3.943	4.126	4.708	3.633	2.699	5.741	1.523	8.667	3.932	1.366	1.246	1.48	8.913	7.052	3.271	3.838	7.029	11.99	2.989	7.583	5.691	8.546	2.054	9.945	2.237	6.983	7.469	4.579	1.539	0.53	1.088	1.947	1.12	0.382	1.424	2.106	2.692	1.727	2.249	0.388	0.923	0.075	1.499	7.369	0.007	10.375	0.581	8.559	0.881	4.532	11.427	5.156	7.353	4.166	2.258	3.171	3.953	3.869	0.0	3.929	1.139	1.782	7.763	1.69	8.56	2.153	1.174	2.177	6.216	1.514	0.441	9.755	6.356	4.572	4.344	1.144	11.475	2.324	2.473	1.101	4.021	15.777	6.523	6.121	6.141	4.106	2.043	1.816	5.511	0.0	0.924	5.227	0.229	4.566	1.835	0.8	1.774	3.958	8.567	1.788	5.778	2.479	4.344	0.335	5.111	1.388	2.833	7.354	3.834	2.49	4.581	5.785	1.66	3.987	9.663	8.09	5.232	3.736	2.639
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-172	species	172	2455	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (TDO).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-172 because they are too close to differentiate at this site (TDO).	0.799	0.723	0.673	3.66	0.115	0.89	2.846	0.277	0.037	1.533	0.138	0.17	0.314	0.775	3.874	0.391	0.289	3.626	0.097	0.539	0.073	0.947	3.425	4.974	7.949	2.774	0.719	0.191	0.051	0.038	0.128	0.131	17.221	0.071	0.281	0.477	6.9	3.708	0.138	0.252	0.845	3.892	0.043	1.583	4.493	1.537	0.179	0.246	3.168	2.374	6.335	0.881	1.583	3.388	0.238	0.864	2.415	0.093	0.225	9.674	4.162	1.094	0.344	2.241	0.048	0.05	0.03	0.106	0.028	0.016	2.145	0.922	0.046	0.086	0.304	1.1	0.239	0.18	0.074	0.663	0.0	6.749	0.068	1.374	0.296	3.231	4.875	1.096	1.066	5.973	0.153	2.433	1.039	0.453	0.0	0.725	1.008	0.087	0.481	0.096	0.695	0.146	0.063	1.412	0.609	2.611	0.004	0.166	0.26	4.135	0.631	0.096	0.329	0.568	0.959	0.056	0.5	1.125	5.844	2.358	0.267	0.48	2.929	0.408	0.399	0.0	0.054	0.311	0.019	2.099	0.833	0.102	0.143	1.375	2.765	0.129	0.248	2.361	0.493	0.082	0.096	1.153	1.443	2.036	0.7	0.773	0.285	0.974	0.23	1.891	16.295	8.046	0.081	0.305	0.057
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-180	species	180	2463	Some of the reads equidistant from these taxa (172-180-701) are included in HMT-180 because they are too close to differentiate at this site (TDO).	0.243	0.048	2.926	1.253	0.034	1.021	1.221	0.002	0.775	0.379	1.025	0.629	0.674	1.25	4.167	2.257	0.524	1.948	0.069	1.315	3.578	0.011	2.1	0.531	0.009	0.67	3.251	0.76	3.902	0.0	0.189	0.322	1.448	1.466	0.691	0.668	7.434	1.829	2.125	0.836	0.74	2.03	0.465	2.158	2.973	6.8	0.567	1.54	0.055	3.297	4.558	0.83	1.878	3.268	1.347	0.962	0.99	0.614	0.791	1.029	1.68	1.42	0.221	1.867	0.23	0.236	0.102	0.397	0.187	0.179	1.422	0.405	0.152	0.05	0.182	0.96	0.0	0.046	0.095	1.971	0.0	3.184	2.46	1.857	0.045	0.948	0.184	3.101	7.78	1.812	0.3	1.199	6.224	1.242	0.0	2.16	0.595	0.317	1.22	0.513	2.383	0.202	0.014	0.134	2.963	0.93	0.0	0.045	1.278	4.238	0.155	0.207	0.077	0.455	1.246	0.21	0.644	3.114	2.129	0.256	0.115	0.186	0.294	0.014	2.07	0.0	0.031	0.587	0.0	2.445	2.134	0.397	0.118	2.553	3.363	0.04	0.032	2.458	1.495	0.127	0.058	1.07	1.527	1.077	0.226	6.93	0.444	0.156	1.728	3.265	0.828	1.791	0.015	1.689	0.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188	2471		0.0	0.0	0.234	0.03	0.015	0.0	0.0	0.033	0.026	0.0	0.0	0.0	0.015	0.0	0.134	0.028	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.015	0.0	0.011	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.013	0.0	0.0	0.016	0.006	0.0	0.0	0.024	0.047	0.0	0.0	0.0	0.01	0.03	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.091	0.036	0.0	0.023	0.0	0.016	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.014	0.0	0.013	0.007	0.024	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.011	0.015	0.008	0.0	0.007	0.013	0.012	0.0	0.035	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.038	0.0	0.039
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587	2800		0.0	0.041	0.045	0.03	0.061	0.101	0.067	0.066	0.116	0.079	0.016	0.0	0.0	0.0	0.625	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.012	0.0	0.0	0.005	0.0	0.0	0.008	0.0	0.0	0.0	0.013	0.01	0.0	0.0	0.006	0.01	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.046	0.018	0.0	0.0	0.028	0.0	0.004	0.0	0.0	0.154	0.15	0.0	0.049	0.0	0.259	0.013	0.031	0.0	0.0	0.068	0.096	0.0	0.058	0.0	0.032	0.0	0.0	0.0	0.009	0.0	0.007	0.033	0.0	0.0	0.0	0.0	0.0	0.005	0.007	0.0	0.0	0.0	0.0	0.046	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.028	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.013	0.014	0.014	0.0	0.0	0.014	0.0	0.0	0.0	0.009	0.025	0.041	0.004	0.0	0.015	0.0	0.0	0.013	0.118	0.0	0.057	0.127	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.131	0.132	0.039
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681	2871		1.761	12.379	8.15	12.174	19.924	6.053	7.299	5.781	5.18	2.258	10.54	3.104	1.217	0.246	1.592	2.133	4.012	4.457	2.755	6.214	10.848	6.403	1.772	4.095	0.796	5.063	0.601	14.825	1.957	13.705	1.135	9.354	0.974	0.452	0.328	1.945	0.431	4.402	2.021	3.848	5.179	1.78	1.89	0.496	1.927	1.313	0.498	2.654	1.632	0.928	6.559	0.216	1.383	2.035	0.103	1.979	1.284	0.753	0.729	0.668	0.207	0.842	4.267	5.535	7.22	8.443	3.938	4.68	5.955	22.176	2.03	13.842	2.043	7.897	3.567	9.092	1.859	10.577	10.524	4.843	0.0	0.4	0.922	0.919	0.742	3.55	0.935	0.223	0.514	1.609	0.029	0.314	0.196	3.385	0.0	0.83	14.682	0.031	1.369	1.285	4.271	0.0	6.255	1.564	0.362	0.254	7.19	2.109	0.406	1.698	5.241	0.0	3.136	0.095	21.473	9.208	0.852	0.796	0.566	8.465	3.001	0.303	0.854	7.895	1.332	0.0	0.0	4.54	12.155	4.047	1.567	1.331	3.544	0.194	0.428	7.796	5.64	0.561	2.193	0.324	3.138	0.09	6.687	1.243	5.512	1.394	4.673	12.383	2.676	1.791	1.836	1.437	32.962	16.876	8.231
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530	2754		0.0	0.0	0.002	0.015	0.0	0.0	0.008	0.025	0.0	0.032	0.016	0.022	0.005	0.043	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.211	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.008	0.01	0.0	0.145	0.0	0.0	0.116	0.019	0.0	0.0	0.057	0.0	0.0	0.154	0.043	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.204	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.696	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.009	0.0	0.0	0.0	0.0	0.015	0.008	0.0	0.047	0.0	0.0	0.0	0.139	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0
