Taxonomy	Rank	HMT	Notes	Max	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus	genus			0.004	0.004	0.0	0.0	0.055	0.461
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			0.326	0.326	0.0	0.414	1.699	56.682
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.125	0.125	0.0	0.166	0.571	34.562
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.089	0.089	0.0	0.119	0.504	22.581
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.1	0.1	0.0	0.256	0.249	43.779
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas	genus			0.027	0.027	0.0	0.0	0.271	6.912
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.082	0.082	0.0	0.07	0.387	13.825
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			0.035	0.035	0.0	0.043	0.181	14.286
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			0.01	0.01	0.0	0.0	0.114	1.382
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium	genus			0.006	0.006	0.0	0.0	0.094	0.461
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-345	species	345		0.01	0.01	0.0	0.0	0.106	4.147
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875		0.02	0.02	0.0	0.0	0.104	7.834
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii	species	866		0.077	0.077	0.0	0.098	0.499	17.512
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii	species	176		0.088	0.088	0.0	0.291	0.256	26.267
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oris	species	893		0.047	0.047	0.0	0.075	0.219	19.816
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.056	0.056	0.0	0.105	0.198	18.433
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170		0.046	0.046	0.0	0.066	0.213	18.894
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175		0.083	0.083	0.0	0.289	0.242	24.424
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-448	species	448		0.01	0.01	0.0	0.0	0.064	5.991
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;sp. HMT-183	species	183		0.032	0.032	0.0	0.0	0.255	5.53
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;lingnae	species	181		0.051	0.051	0.0	0.045	0.225	16.59
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	019		0.566	0.566	0.0	1.206	2.202	55.3
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;afermentans	species	030		0.44	0.44	0.0	0.802	1.574	45.161
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.294	0.294	0.0	0.717	1.216	38.249
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;appendicis	species	033		0.103	0.103	0.0	0.234	0.389	19.355
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;aurimucosum	species	034		0.128	0.128	0.0	0.25	0.484	24.885
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;coyleae	species	341		0.188	0.188	0.0	0.427	0.959	31.797
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		0.082	0.082	0.0	0.196	0.298	22.581
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;gottingense	species	207		0.264	0.264	0.0	0.717	0.796	33.18
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;jeikeium	species	047		0.059	0.059	0.0	0.065	0.351	14.286
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.373	0.373	0.0	0.156	2.415	19.816
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;massiliense	species	333		0.019	0.019	0.0	0.0	0.216	2.304
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		0.215	0.215	0.0	0.287	1.089	30.876
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;minutissimum	species	053		0.135	0.135	0.0	0.447	0.353	32.719
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;mucifaciens	species	835		0.322	0.322	0.0	0.681	1.011	43.779
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;otitidis	species	832		0.44	0.44	0.0	0.0	4.613	5.069
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.342	0.342	0.0	0.878	0.883	48.387
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;propinquum	species	059		0.055	0.055	0.0	0.0	0.319	9.217
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pseudodiphtheriticum	species	060		0.118	0.118	0.0	0.0	1.086	7.834
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;simulans	species	062		0.096	0.096	0.0	0.024	0.661	12.442
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;singulare	species	063		0.205	0.205	0.0	0.144	1.069	17.972
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		2.323	2.323	0.0	5.379	3.571	88.479
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuscaniense	species	184		0.005	0.005	0.0	0.0	0.07	0.922
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae;Dietzia;cinnamea	species	368		0.047	0.047	0.0	0.0	0.272	8.295
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		1.88	1.88	0.0	5.211	3.486	79.263
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;neoaurum	species	692		0.008	0.008	0.0	0.0	0.076	5.069
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter;hominis	species	354		0.021	0.021	0.0	0.043	0.092	13.825
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermatophilaceae;Arsenicicoccus;bolidensis	species	190		0.023	0.023	0.0	0.0	0.329	0.922
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter;indicus	species	339		0.01	0.01	0.0	0.0	0.064	4.147
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;palustris	species	084		0.028	0.028	0.0	0.0	0.18	9.677
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;rhizophila	species	197		0.025	0.025	0.0	0.0	0.149	8.756
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;luteus	species	087		0.545	0.545	0.0	1.186	1.637	44.24
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.079	0.079	0.0	0.125	0.318	15.668
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.085	0.085	0.0	0.237	0.267	30.415
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.267	0.267	0.0	0.665	0.697	51.613
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		43.424	43.424	6.284	81.791	27.66	100.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;granulosum	species	114		0.379	0.379	0.0	1.016	0.924	55.76
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;modestum	species	193		0.072	0.072	0.0	0.0	0.739	8.295
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.031	0.031	0.0	0.0	0.152	9.677
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea;vaginae	species	814		0.04	0.04	0.0	0.0	0.316	4.608
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;lenta	species	654		0.073	0.073	0.0	0.0	0.469	6.912
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-511	species	511		0.003	0.003	0.0	0.0	0.028	1.382
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	283		0.018	0.018	0.0	0.0	0.107	6.912
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		0.187	0.187	0.0	0.388	0.711	32.719
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		0.081	0.081	0.0	0.017	0.606	11.06
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		0.141	0.141	0.0	0.321	0.525	22.12
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia	species	556		0.029	0.029	0.0	0.0	0.277	7.373
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola	species	298		0.045	0.045	0.0	0.043	0.3	12.903
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia	species	643		0.01	0.01	0.0	0.0	0.077	2.765
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	313		0.037	0.037	0.0	0.012	0.272	10.599
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica	species	469		0.177	0.177	0.0	0.404	0.673	31.336
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693		0.02	0.02	0.0	0.0	0.148	5.991
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oris	species	311		0.004	0.004	0.0	0.0	0.025	5.069
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;scopos	species	885		0.007	0.007	0.0	0.0	0.084	1.382
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;endodontalis	species	326		0.009	0.009	0.0	0.0	0.052	3.687
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.098	0.098	0.0	0.019	0.824	11.521
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		0.048	0.048	0.0	0.012	0.263	10.599
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;normanense	species	422		0.114	0.114	0.0	0.102	0.662	16.59
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;sp. HMT-206	species	206		0.02	0.02	0.0	0.0	0.098	9.217
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		0.045	0.045	0.0	0.034	0.208	11.521
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626		0.259	0.259	0.0	0.697	0.607	42.857
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;morbillorum	species	046		0.034	0.034	0.0	0.039	0.148	11.982
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757		0.078	0.078	0.0	0.123	0.364	17.051
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae;Brochothrix;thermosphacta	species	241		0.041	0.041	0.0	0.0	0.543	4.608
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;aureus	species	550	Some of the reads equidistant from these taxa (216-550-591) are included in HMT-550 because they are too close to differentiate at this site (RAF).	0.014	0.014	0.0	0.017	0.079	17.512
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;auricularis	species	331		0.029	0.029	0.0	0.02	0.188	10.599
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;capitis	species	116	Because HMT-567 is not present individually, all equidistant reads were assigned to HMT-116 at this body site (RAF).	3.485	3.485	0.0	6.754	9.423	79.263
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;cohnii	species	117		0.031	0.031	0.0	0.025	0.131	13.364
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;epidermidis	species	601		3.225	3.225	0.025	7.144	5.907	90.783
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;haemolyticus	species	120		0.133	0.133	0.0	0.453	0.375	32.258
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;hominis	species	127		5.415	5.415	0.0	8.063	16.903	64.516
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;lugdunensis	species	128		0.01	0.01	0.0	0.0	0.077	5.991
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;warneri	species	076		0.098	0.098	0.0	0.203	0.502	22.12
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.07	0.07	0.0	0.202	0.241	17.512
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;viridans	species	312		0.035	0.035	0.0	0.0	0.352	6.452
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus;otitis	species	831		0.012	0.012	0.0	0.0	0.093	5.069
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum	species	813		0.135	0.135	0.0	0.149	0.595	17.051
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		0.252	0.252	0.0	0.795	0.56	42.396
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.104	0.104	0.0	0.214	0.426	23.041
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;durans	species	880		0.033	0.033	0.0	0.0	0.152	9.217
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817		0.464	0.464	0.0	1.555	1.376	27.65
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri	species	615		0.072	0.072	0.0	0.0	0.42	7.373
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.582	0.582	0.0	1.263	2.216	31.336
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		0.056	0.056	0.0	0.038	0.288	11.06
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis	species	804		0.118	0.118	0.0	0.179	0.533	22.581
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus	species	543		0.01	0.01	0.0	0.0	0.06	5.53
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;australis	species	073	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at this body site (RAF).	0.191	0.191	0.0	0.508	0.599	34.101
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;gordonii	species	622		0.108	0.108	0.0	0.183	0.52	19.816
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius	species	644		0.018	0.018	0.0	0.0	0.116	9.217
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis	species	677	Reads equidistant to HMT-398 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-398 and HMT-677 individually at this body site (RAF).	1.901	1.901	0.0	5.376	2.81	85.253
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pneumoniae	species	734	Reads equidistant to HMT-398 and HMT-734 were assigned to each taxon in proportion to the abundance of HMT-398 and HMT-734 individually at this body site (RAF).	0.024	0.024	0.0	0.011	0.3	37.327
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755		1.513	1.513	0.0	4.06	3.8	69.585
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		0.247	0.247	0.0	0.755	0.612	47.465
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-061	species	061	Reads equidistant to HMT-061 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-638 individually at this body site (RAF).	0.011	0.011	0.0	0.004	0.061	11.06
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-066	species	066	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at this body site (RAF).	0.036	0.036	0.0	0.041	0.181	15.207
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;thermophilus	species	152		0.122	0.122	0.0	0.241	0.609	29.032
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	021		0.082	0.082	0.0	0.158	0.407	21.659
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.016	0.016	0.0	0.0	0.079	5.991
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082		0.022	0.022	0.0	0.017	0.133	10.599
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;sp. HMT-083	species	083	Reads equidistant to HMT-083 and HMT-107 were assigned to each taxon in proportion to the abundance of HMT-083 and HMT-107 individually at this body site (RAF).	0.012	0.012	0.0	0.0	0.164	2.304
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense	species	107	Reads equidistant to HMT-083 and HMT-107 were assigned to each taxon in proportion to the abundance of HMT-083 and HMT-107 individually at this body site (RAF).	0.022	0.022	0.0	0.027	0.091	11.06
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2];bacterium HMT-096	species	096		0.008	0.008	0.0	0.0	0.045	6.912
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3];bacterium HMT-100	species	100		0.004	0.004	0.0	0.0	0.032	3.226
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924		0.04	0.04	0.0	0.0	0.44	2.304
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;asaccharolyticum	species	108	Because HMT-934 is not present individually, all equidistant reads were assigned to HMT-108 at this body site (RAF).	0.066	0.066	0.0	0.062	0.33	14.286
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.031	0.031	0.0	0.034	0.156	11.521
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.003	0.003	0.0	0.0	0.015	5.069
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];sulci	species	467		0.011	0.011	0.0	0.0	0.069	4.608
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"];brachy	species	557		0.012	0.012	0.0	0.0	0.113	2.765
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;stomatis	species	112		0.014	0.014	0.0	0.0	0.097	8.756
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1];bacterium HMT-075	species	075		0.008	0.008	0.0	0.0	0.063	2.765
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei	species	678		0.011	0.011	0.0	0.0	0.056	5.991
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;sp. HMT-521	species	521		0.008	0.008	0.0	0.0	0.074	1.382
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;noxia	species	130		0.023	0.023	0.0	0.0	0.153	3.687
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sputigena	species	151		0.009	0.009	0.0	0.0	0.071	2.304
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.036	0.036	0.0	0.0	0.183	8.295
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp. HMT-841	species	841		0.046	0.046	0.0	0.0	0.37	5.069
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		0.092	0.092	0.0	0.074	0.448	18.894
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (RAF).	0.284	0.284	0.0	0.769	0.707	50.691
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (RAF).	0.064	0.064	0.0	0.138	0.203	34.101
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158		0.133	0.133	0.0	0.25	0.74	22.581
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		0.045	0.045	0.0	0.067	0.209	11.521
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;octavius	species	017		0.051	0.051	0.0	0.053	0.366	16.59
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;prevotii	species	738		0.024	0.024	0.0	0.0	0.126	7.834
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-290	species	290		0.041	0.041	0.0	0.105	0.127	21.659
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-295	species	295		0.036	0.036	0.0	0.0	0.279	9.217
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662		0.412	0.412	0.0	0.928	1.33	42.857
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;harei	species	109		0.077	0.077	0.0	0.138	0.283	18.433
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;sp. HMT-187	species	187		0.036	0.036	0.0	0.034	0.197	14.747
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;hwasookii	species	953		0.005	0.005	0.0	0.0	0.045	3.226
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.016	0.016	0.0	0.0	0.092	8.295
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202		0.115	0.115	0.0	0.262	0.5	21.659
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200		0.027	0.027	0.0	0.029	0.106	13.825
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		0.261	0.261	0.0	0.583	1.013	28.111
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis	species	563		0.009	0.009	0.0	0.0	0.08	3.687
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.027	0.027	0.0	0.0	0.182	6.452
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.044	0.044	0.0	0.0	0.327	7.373
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.04	0.04	0.0	0.0	0.243	6.912
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-225	species	225		0.023	0.023	0.0	0.0	0.186	5.991
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-392	species	392		0.017	0.017	0.0	0.0	0.118	5.53
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417		0.052	0.052	0.0	0.079	0.196	13.825
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222		0.02	0.02	0.0	0.0	0.125	6.912
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.015	0.015	0.0	0.0	0.102	5.53
