Taxonomy	Rank	HMT	Notes	Max	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp. HMT-168	species	168		0.01	0.01	0.0	0.0	0.108	3.448
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;multacida	species	684		0.154	0.154	0.0	0.223	0.604	18.621
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.34	0.34	0.0	0.872	0.936	46.897
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Because HMT-160 is not present individually, all equidistant reads were assigned to HMT-161 at this body site (LAF).	0.968	0.968	0.0	1.796	2.534	66.207
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158		0.31	0.31	0.0	0.565	1.111	38.621
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		0.107	0.107	0.0	0.303	0.301	24.138
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;octavius	species	017		0.127	0.127	0.0	0.49	0.282	33.103
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-290	species	290		0.077	0.077	0.0	0.2	0.262	24.828
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-295	species	295		0.066	0.066	0.0	0.074	0.501	18.621
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662		0.454	0.454	0.0	1.258	0.99	48.276
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;naviforme	species	689		0.156	0.156	0.0	0.174	0.798	32.414
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200		0.069	0.069	0.0	0.107	0.248	26.207
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		1.413	1.413	0.0	3.699	3.539	62.069
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.046	0.046	0.0	0.071	0.214	16.552
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.258	0.258	0.0	0.665	0.934	28.276
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417		0.309	0.309	0.0	0.281	1.652	27.586
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.091	0.091	0.0	0.046	0.543	11.724
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp. HMT-002	species	002		0.276	0.276	0.0	0.564	1.08	31.034
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;broomeae	species	559		0.045	0.045	0.0	0.027	0.204	11.034
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;elkanii	species	597		0.188	0.188	0.0	0.386	0.733	25.517
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;anthropi	species	544		0.348	0.348	0.0	0.629	1.048	48.966
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;humi	species	006		0.054	0.054	0.0	0.031	0.365	13.103
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.592	0.592	0.0	0.996	2.833	51.724
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		0.174	0.174	0.0	0.495	0.487	28.966
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		3.035	3.035	0.0	2.964	11.023	51.034
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209		0.288	0.288	0.0	0.391	1.44	36.552
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans	species	023		0.167	0.167	0.0	0.647	0.389	37.241
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.127	0.127	0.0	0.328	0.399	31.724
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.239	0.239	0.0	0.646	0.653	37.931
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.064	0.064	0.0	0.0	0.716	6.897
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-174	species	174		0.523	0.523	0.0	0.503	4.467	23.448
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-327	species	327		0.301	0.301	0.0	0.0	1.896	9.655
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;pylori	species	812		0.126	0.126	0.0	0.0	1.099	3.448
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;sakazakii	species	753		0.242	0.242	0.0	0.457	1.258	24.138
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;hormaechei	species	634	Because HMT-565 is not present individually, all equidistant reads were assigned to HMT-634 at this body site (LAF).	0.505	0.505	0.0	0.775	2.883	49.655
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;aerogenes	species	153		0.128	0.128	0.0	0.0	0.934	9.655
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;pneumoniae	species	731		0.165	0.165	0.0	0.058	1.228	19.31
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;pestis	species	827		0.113	0.113	0.0	0.285	0.401	20.69
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		2.524	2.524	0.0	3.905	8.357	80.69
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii	species	297	Because HMT-824 is not present individually, all equidistant reads were assigned to HMT-297 at this body site (LAF).	0.367	0.367	0.0	0.844	1.165	48.966
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;junii	species	282		0.189	0.189	0.0	0.556	0.479	40.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;lwoffii	species	005		0.244	0.244	0.0	0.298	1.437	26.207
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;radioresistens	species	010		0.159	0.159	0.0	0.188	1.059	17.241
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;luteola	species	344		0.127	0.127	0.0	0.0	0.803	8.966
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas;stutzeri	species	477		0.017	0.017	0.0	0.039	0.062	15.862
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;maltophilia	species	663		0.061	0.061	0.0	0.07	0.249	16.552
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175	Neither HMT-175 nor HMT-688 were present singularly so these reads were split evenly at this site (LAF).	0.106	0.106	0.0	0.302	0.225	51.724
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;viscosus	species	688	Because HMT-171 is not present individually, all equidistant reads were assigned to HMT-688 at this body site (LAF).	0.229	0.229	0.0	0.514	0.499	56.552
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;simulans	species	062	Neither HMT-062 nor HMT-072 were present singularly so these reads were split evenly at this site (LAF).	0.043	0.043	0.0	0.038	0.244	25.517
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;striatum	species	072	Neither HMT-062 nor HMT-072 were present singularly so these reads were split evenly at this site (LAF).	0.043	0.043	0.0	0.038	0.244	25.517
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626		0.507	0.507	0.0	1.099	1.624	74.483
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;acidophilus	species	529	Neither HMT-529 nor HMT-817 were present singularly so these reads were split evenly at this site (LAF).	0.504	0.504	0.0	0.559	3.073	40.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817	Neither HMT-529 nor HMT-817 were present singularly so these reads were split evenly at this site (LAF).	0.504	0.504	0.0	0.559	3.073	40.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202	Neither HMT-202 nor HMT-203 were present singularly so these reads were split evenly at this site (LAF).	0.103	0.103	0.0	0.309	0.254	36.552
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-203	species	203	Neither HMT-202 nor HMT-203 were present singularly so these reads were split evenly at this site (LAF).	0.103	0.103	0.0	0.309	0.254	36.552
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Neither HMT-476 nor HMT-610 were present singularly so these reads were split evenly at this site (LAF).;Some of the reads equidistant from these taxa (101-476-682) are included in HMT-476 because they are too close to differentiate at this site (LAF).	0.324	0.324	0.0	0.553	1.205	48.276
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Neither HMT-476 nor HMT-610 were present singularly so these reads were split evenly at this site (LAF).	0.324	0.324	0.0	0.553	1.205	48.276
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;aerosaccus	species	196	Neither HMT-196 nor HMT-711 were present singularly so these reads were split evenly at this site (LAF).	0.153	0.153	0.0	0.268	0.741	33.103
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;osloensis	species	711	Neither HMT-196 nor HMT-711 were present singularly so these reads were split evenly at this site (LAF).	0.153	0.153	0.0	0.268	0.741	33.103
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-136	species	136	HMTs136-149-478 were not present singularly so these reads were split evenly at this body site (LAF)	0.036	0.036	0.0	0.015	0.275	11.724
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-149	species	149	HMTs136-149-478 were not present singularly so these reads were split evenly at this body site (LAF)	0.036	0.036	0.0	0.015	0.275	11.724
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-478	species	478	HMTs136-149-478 were not present singularly so these reads were split evenly at this body site (LAF)	0.036	0.036	0.0	0.015	0.275	11.724
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398		0.31	0.31	0.0	0.274	1.468	29.655
UNMATCHED				20.943	20.943	0.456	59.605	24.868	98.621
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	0.31	0.31	0.0	0.274	1.468	29.655
