Taxonomy	Rank	HMT	Notes	Max	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-172	species	172	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (THR).	0.858	0.858	0.035	2.404	1.537	97.024
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-180	species	180		0.492	0.492	0.0	1.412	0.803	82.44
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		0.055	0.055	0.0	0.055	0.445	32.143
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		0.072	0.072	0.0	0.05	0.655	28.869
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.008	0.008	0.0	0.0	0.068	5.06
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.066	0.066	0.0	0.069	0.53	34.821
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.067	0.067	0.0	0.139	0.317	44.643
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		1.724	1.724	0.098	4.042	1.994	96.429
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium;acidifaciens	species	191		0.014	0.014	0.0	0.0	0.262	0.595
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra	species	194		0.013	0.013	0.0	0.0	0.204	3.869
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.199	0.199	0.0	0.279	0.949	41.071
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.632	0.632	0.0	1.56	0.709	86.607
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;rimae	species	750		0.015	0.015	0.0	0.014	0.094	11.31
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-365	species	365		0.022	0.022	0.0	0.0	0.193	8.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-511	species	511		0.04	0.04	0.0	0.026	0.246	13.393
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;heparinolyticus	species	630		0.008	0.008	0.0	0.0	0.141	0.595
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2];bacterium HMT-274	species	274		0.043	0.043	0.0	0.033	0.471	19.94
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	283		0.012	0.012	0.0	0.014	0.13	13.095
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis	species	273		0.171	0.171	0.0	0.342	0.586	39.286
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;gingivalis	species	619		0.052	0.052	0.0	0.0	0.802	2.976
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		2.593	2.593	0.019	7.732	3.541	91.369
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-275	species	275		0.013	0.013	0.0	0.011	0.135	11.607
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-285	species	285		0.033	0.033	0.0	0.0	0.213	7.143
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		0.075	0.075	0.0	0.186	0.238	31.25
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava	species	302		0.493	0.493	0.0	1.434	1.129	57.143
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	308		1.16	1.16	0.0	3.092	1.392	89.583
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		0.468	0.468	0.0	1.19	1.138	64.286
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-913	species	913		0.014	0.014	0.0	0.028	0.067	13.095
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-914	species	914		0.178	0.178	0.0	0.418	0.491	48.81
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466		0.116	0.116	0.0	0.331	0.349	40.476
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;aurantiaca	species	943		0.11	0.11	0.0	0.08	0.476	14.881
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella;dentalis	species	583		0.005	0.005	0.0	0.0	0.061	2.679
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291		0.035	0.035	0.0	0.034	0.304	19.048
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;fusca	species	782		0.032	0.032	0.0	0.0	0.202	9.226
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola	species	298		1.686	1.686	0.0	4.362	2.411	78.571
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia	species	643		0.194	0.194	0.0	0.17	0.841	24.405
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	313		1.748	1.748	0.0	4.833	2.436	84.226
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;maculosa	species	289		0.014	0.014	0.0	0.0	0.187	9.524
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica	species	469	Because HMT-314 is not present individually, all equidistant reads were assigned to HMT-469 at this body site (THR).	4.013	4.013	0.632	8.312	3.713	98.512
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;multiformis	species	685		0.003	0.003	0.0	0.0	0.053	1.488
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299		0.455	0.455	0.0	1.124	0.677	84.226
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693		0.235	0.235	0.0	0.316	1.455	50.298
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;oralis	species	705		0.007	0.007	0.0	0.0	0.059	3.274
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oulorum	species	288		0.028	0.028	0.0	0.066	0.094	26.488
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714		1.264	1.264	0.003	3.14	1.29	89.881
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;pleuritidis	species	303		0.073	0.073	0.0	0.084	0.375	24.405
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;salivae	species	307		0.944	0.944	0.0	2.222	1.018	87.798
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;scopos	species	885		0.03	0.03	0.0	0.055	0.111	17.857
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;shahii	species	795		0.339	0.339	0.0	1.24	0.708	48.214
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-305	species	305		0.098	0.098	0.0	0.302	0.16	51.488
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT-306	species	306		0.587	0.587	0.0	1.858	1.14	64.286
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-309	species	309		0.141	0.141	0.0	0.446	0.333	43.155
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-317	species	317		0.128	0.128	0.0	0.074	1.368	31.845
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-443	species	443		0.03	0.03	0.0	0.032	0.191	12.5
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-942	species	942		0.005	0.005	0.0	0.0	0.042	4.762
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;veroralis	species	572		0.009	0.009	0.0	0.018	0.037	12.798
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;forsythia	species	613		0.014	0.014	0.0	0.023	0.069	13.393
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	286		0.17	0.17	0.0	0.434	0.414	47.619
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337		0.255	0.255	0.0	0.638	0.584	63.393
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa	species	325		0.102	0.102	0.0	0.116	0.525	30.06
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.328	0.328	0.0	0.831	0.985	61.905
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-332	species	332		0.018	0.018	0.0	0.0	0.223	9.524
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-878	species	878		0.013	0.013	0.0	0.0	0.087	5.357
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		0.278	0.278	0.0	0.558	0.924	50.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;sp. HMT-206	species	206		0.083	0.083	0.0	0.2	0.291	27.381
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		0.179	0.179	0.0	0.456	0.302	76.19
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1];bacterium HMT-931	species	931		0.027	0.027	0.0	0.067	0.081	28.869
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626		1.262	1.262	0.011	3.282	2.58	90.179
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;morbillorum	species	046		0.073	0.073	0.0	0.188	0.19	44.048
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757		0.518	0.518	0.017	1.32	0.617	91.071
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;aureus	species	550	Some of the reads equidistant from these taxa (216-550-591) are included in HMT-550 because they are too close to differentiate at this site (THR).	0.004	0.004	0.0	0.002	0.032	10.417
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;epidermidis	species	601		0.038	0.038	0.0	0.031	0.301	16.964
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.04	0.04	0.0	0.084	0.133	28.869
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		1.508	1.508	0.151	3.096	1.769	97.024
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.144	0.144	0.0	0.377	0.406	45.238
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.007	0.007	0.0	0.0	0.042	6.548
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae	species	537		0.036	0.036	0.0	0.0	0.465	3.571
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus	species	543		0.074	0.074	0.0	0.083	0.362	25.893
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;australis	species	073	Reads equidistant to HMT-073 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-073 and HMT-638 individually at this body site (THR).;Some of the reads equidistant from these taxa (058-071-073-398-423-431-638-677-734) are included in HMT-073 because they are too close to differentiate at this site (THR).	0.959	0.959	0.064	2.518	1.279	96.726
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;constellatus	species	576		0.03	0.03	0.0	0.065	0.126	19.643
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;gordonii	species	622		0.028	0.028	0.0	0.06	0.103	32.143
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius	species	644		0.084	0.084	0.0	0.05	0.437	24.107
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis	species	677	Reads equidistant to HMT-638 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-638 and HMT-677 individually at this body site (THR).;Some of the reads equidistant from these taxa (058-071-073-398-423-431-638-677-734) are included in HMT-677 because they are too close to differentiate at this site (THR).;Some of the reads equidistant from these taxa (058-398-677) are included in HMT-677 because they are too close to differentiate at this site (THR).	8.58	8.58	0.364	25.685	13.006	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mutans	species	686		0.06	0.06	0.0	0.0	0.996	7.738
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-058	species	058	Reads equidistant to HMT-058 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-058 and HMT-677 individually at this body site (THR).;Some of the reads equidistant from these taxa (058-071-073-398-423-431-638-677-734) are included in HMT-058 because they are too close to differentiate at this site (THR).;Some of the reads equidistant from these taxa (058-398-677) are included in HMT-058 because they are too close to differentiate at this site (THR).	0.105	0.105	0.0	0.14	0.815	47.024
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;peroris	species	728		0.036	0.036	0.0	0.022	0.219	16.964
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;pneumoniae	species	734	Reads equidistant to HMT-734 and HMT-851 were assigned to each taxon in proportion to the abundance of HMT-734 and HMT-851 individually at this body site (THR).;Some of the reads equidistant from these taxa (058-071-073-398-423-431-638-677-734) are included in HMT-734 because they are too close to differentiate at this site (THR).	0.106	0.106	0.0	0.031	0.867	62.202
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755		5.366	5.366	0.376	12.67	6.035	98.81
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		0.15	0.15	0.0	0.348	0.351	69.94
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-061	species	061	Reads equidistant to HMT-061 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-638 individually at this body site (THR).	0.04	0.04	0.0	0.078	0.15	69.345
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-066	species	066	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at this body site (THR).	0.037	0.037	0.0	0.106	0.093	61.905
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	021		0.509	0.509	0.0	1.162	1.27	70.833
Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales [F1];Clostridiales [F1 G1];bacterium HMT-093	species	093		0.011	0.011	0.0	0.0	0.072	4.464
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;sp. HMT-080	species	080		0.005	0.005	0.0	0.0	0.042	4.762
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;sp. HMT-455	species	455		0.072	0.072	0.0	0.213	0.177	52.381
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.346	0.346	0.0	0.818	0.496	88.095
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella;sp. HMT-166	species	166		0.003	0.003	0.0	0.0	0.04	1.488
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082	Reads equidistant to HMT-082 and HMT-107 were assigned to each taxon in proportion to the abundance of HMT-082 and HMT-107 individually at this body site (THR).	0.609	0.609	0.006	1.538	0.783	89.881
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;sp. HMT-083	species	083		0.011	0.011	0.0	0.03	0.033	17.56
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense	species	107	Reads equidistant to HMT-082 and HMT-107 were assigned to each taxon in proportion to the abundance of HMT-082 and HMT-107 individually at this body site (THR).	0.309	0.309	0.0	0.694	0.402	87.798
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2];bacterium HMT-096	species	096		0.949	0.949	0.0	3.562	1.723	64.881
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3];bacterium HMT-100	species	100		0.059	0.059	0.0	0.158	0.192	23.81
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G8];bacterium HMT-500	species	500		0.012	0.012	0.0	0.028	0.054	19.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;asaccharolyticum	species	108	Reads equidistant to HMT-108 and HMT-934 were assigned to each taxon in proportion to the abundance of HMT-108 and HMT-934 individually at this body site (THR).	1.055	1.055	0.195	2.157	0.919	96.726
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;parvum	species	934	Reads equidistant to HMT-108 and HMT-934 were assigned to each taxon in proportion to the abundance of HMT-108 and HMT-934 individually at this body site (THR).	0.094	0.094	0.0	0.288	0.145	80.952
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sp. HMT-078	species	078		0.007	0.007	0.0	0.0	0.065	5.952
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.827	0.827	0.053	1.974	0.773	94.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp. HMT-168	species	168		0.037	0.037	0.0	0.12	0.071	42.262
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor;alocis	species	539		0.026	0.026	0.0	0.056	0.096	19.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.22	0.22	0.0	0.522	0.297	83.929
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;timidum	species	042		0.007	0.007	0.0	0.0	0.041	9.821
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];sulci	species	467		0.157	0.157	0.0	0.42	0.201	71.726
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G6 "Eubacterium"];nodatum	species	694		0.007	0.007	0.0	0.0	0.044	4.762
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];bacterium HMT-081	species	081		0.006	0.006	0.0	0.0	0.041	6.548
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];bacterium HMT-922	species	922		0.023	0.023	0.0	0.048	0.087	19.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"];brachy	species	557		0.046	0.046	0.0	0.076	0.212	25.298
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;stomatis	species	112		0.196	0.196	0.0	0.544	0.32	72.619
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1];bacterium HMT-075	species	075		0.173	0.173	0.0	0.498	0.417	52.381
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2];bacterium HMT-085	species	085		0.124	0.124	0.0	0.352	0.208	62.798
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Eggerthia;catenaformis	species	569		0.002	0.002	0.0	0.0	0.028	1.786
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;extructa	species	603		0.007	0.007	0.0	0.0	0.041	8.929
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei	species	678		0.443	0.443	0.016	0.953	0.482	90.476
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;multacida	species	684		0.005	0.005	0.0	0.0	0.098	0.298
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;sp. HMT-521	species	521		0.216	0.216	0.0	0.076	1.584	13.69
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;artemidis	species	124		0.004	0.004	0.0	0.0	0.031	3.274
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;noxia	species	130		0.021	0.021	0.0	0.015	0.254	14.583
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-136	species	136	Reads equidistant to HMT-136 and HMT-478 were assigned to each taxon in proportion to the abundance of HMT-136 and HMT-478 individually at this body site (THR).	0.374	0.374	0.0	0.946	0.607	82.738
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-149	species	149		0.246	0.246	0.0	0.668	0.449	71.726
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-478	species	478	Reads equidistant to HMT-136 and HMT-478 were assigned to each taxon in proportion to the abundance of HMT-136 and HMT-478 individually at this body site (THR).	0.154	0.154	0.0	0.415	0.319	66.667
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.051	0.051	0.0	0.068	0.234	30.655
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;pneumosintes	species	736		0.037	0.037	0.0	0.067	0.17	23.214
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;micronuciformis	species	122		0.778	0.778	0.0	1.997	0.9	86.012
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		3.016	3.016	0.078	7.143	2.745	93.75
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (THR).	4.722	4.722	0.79	9.338	3.685	98.81
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (THR).	0.074	0.074	0.0	0.11	0.287	61.905
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (THR).	1.804	1.804	0.032	4.953	2.567	94.345
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		0.14	0.14	0.0	0.138	1.646	33.036
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-917	species	917		0.098	0.098	0.0	0.0	0.636	8.631
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;micra	species	111		0.084	0.084	0.0	0.178	0.305	33.631
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;sp. HMT-110	species	110		0.043	0.043	0.0	0.016	0.291	11.905
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;sp. HMT-393	species	393		0.007	0.007	0.0	0.0	0.131	1.488
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;hwasookii	species	953		0.015	0.015	0.0	0.028	0.072	19.345
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;necrophorum	species	690		0.165	0.165	0.0	0.0	2.238	8.631
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420	Reads equidistant to HMT-200 and HMT-420 were assigned to each taxon in proportion to the abundance of HMT-200 and HMT-420 individually at this body site (THR).	0.117	0.117	0.0	0.22	0.506	51.488
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202		0.184	0.184	0.0	0.372	0.553	74.702
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200	Reads equidistant to HMT-200 and HMT-420 were assigned to each taxon in proportion to the abundance of HMT-200 and HMT-420 individually at this body site (THR).	0.807	0.807	0.0	1.148	4.085	63.988
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		4.016	4.016	0.098	9.68	4.149	94.643
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-203	species	203		0.118	0.118	0.0	0.038	1.394	21.429
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	248		0.004	0.004	0.0	0.0	0.026	5.952
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-370	species	370		0.029	0.029	0.0	0.038	0.182	22.024
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis	species	563		0.036	0.036	0.0	0.082	0.123	35.417
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii	species	224		0.014	0.014	0.0	0.031	0.063	18.155
