Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758	Reads equidistant to HMT-071 and HMT-758 were assigned to each taxon in proportion to the abundance of HMT-071 and HMT-758 individually at this body site (AKE).	1.191	1.191	0.031	2.778	2.958	95.804
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-061	species	061		0.009	0.009	0.0	0.024	0.024	25.874
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	021		2.966	2.966	0.0	8.253	8.829	74.126
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.033	0.033	0.0	0.062	0.106	40.559
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082		0.031	0.031	0.0	0.069	0.093	32.168
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense	species	107		0.062	0.062	0.0	0.124	0.227	51.049
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2];bacterium HMT-096	species	096		0.009	0.009	0.0	0.018	0.041	12.587
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;asaccharolyticum	species	108		0.027	0.027	0.0	0.063	0.057	47.552
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.023	0.023	0.0	0.059	0.059	37.063
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.007	0.007	0.0	0.02	0.02	19.58
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];sulci	species	467		0.006	0.006	0.0	0.018	0.022	15.385
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;artemidis	species	124		0.025	0.025	0.0	0.015	0.117	16.084
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;infelix	species	639		0.131	0.131	0.0	0.097	0.972	31.469
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;noxia	species	130		0.021	0.021	0.0	0.042	0.072	20.979
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-481	species	481		0.011	0.011	0.0	0.0	0.115	4.895
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-920	species	920		0.087	0.087	0.0	0.002	0.77	10.49
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		0.153	0.153	0.0	0.509	0.362	63.636
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (AKE).	0.68	0.68	0.005	1.837	1.847	93.007
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (AKE).	1.763	1.763	0.01	5.251	3.5	91.608
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (AKE).	0.212	0.212	0.0	0.543	0.331	76.923
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		2.794	2.794	0.0	8.522	4.537	64.336
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;hwasookii	species	953	Reads equidistant to HMT-202 and HMT-953 were assigned to each taxon in proportion to the abundance of HMT-202 and HMT-953 individually at this body site (AKE).	0.03	0.03	0.0	0.06	0.087	33.566
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.098	0.098	0.0	0.106	0.506	37.762
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202	Reads equidistant to HMT-202 and HMT-953 were assigned to each taxon in proportion to the abundance of HMT-202 and HMT-953 individually at this body site (AKE).	1.218	1.218	0.018	3.626	1.969	93.007
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200		0.121	0.121	0.0	0.082	0.809	37.762
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		0.354	0.354	0.0	0.89	0.709	83.217
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-203	species	203	Because HMT-698 is not present individually, all equidistant reads were assigned to HMT-203 at this body site (AKE).	0.217	0.217	0.0	0.154	1.804	32.168
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	248		0.463	0.463	0.0	0.0	2.02	9.79
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis	species	563		0.024	0.024	0.0	0.015	0.188	17.483
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii	species	224		0.029	0.029	0.0	0.037	0.161	20.28
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.067	0.067	0.0	0.145	0.204	34.266
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;shahii	species	214		0.032	0.032	0.0	0.0	0.299	4.196
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.046	0.046	0.0	0.132	0.123	48.951
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.088	0.088	0.0	0.142	0.426	48.252
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-225	species	225		0.028	0.028	0.0	0.04	0.115	28.671
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-392	species	392		0.041	0.041	0.0	0.044	0.219	25.175
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417		0.091	0.091	0.0	0.112	0.39	39.86
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222		0.084	0.084	0.0	0.017	0.573	16.084
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;goodfellowii	species	845		0.031	0.031	0.0	0.007	0.258	11.189
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-219	species	219		0.033	0.033	0.0	0.012	0.254	13.287
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.021	0.021	0.0	0.033	0.089	24.476
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;humi	species	006		0.025	0.025	0.0	0.0	0.295	2.098
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;panipatense	species	342		0.003	0.003	0.0	0.0	0.023	4.895
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		0.298	0.298	0.0	0.294	1.476	62.238
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.006	0.006	0.0	0.014	0.017	18.182
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209		0.028	0.028	0.0	0.031	0.173	18.881
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;testosteroni	species	858		0.005	0.005	0.0	0.0	0.049	3.497
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans	species	023		0.005	0.005	0.0	0.0	0.042	2.797
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.037	0.037	0.0	0.086	0.109	44.755
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;denitrificans	species	582		0.012	0.012	0.0	0.013	0.077	15.385
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.214	0.214	0.0	0.435	0.595	65.035
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT-459	species	459		0.171	0.171	0.0	0.117	0.78	16.084
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT-932	species	932		0.028	0.028	0.0	0.0	0.299	4.895
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;bacilliformis	species	013		0.013	0.013	0.0	0.012	0.076	13.986
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;cinerea	species	956	Some of the reads equidistant from these taxa (669-737-956) are included in HMT-956 because they are too close to differentiate at this site (AKE).	1.016	1.016	0.0	3.655	2.65	34.965
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;elongata	species	598		0.096	0.096	0.0	0.19	0.308	49.65
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (AKE).	0.012	0.012	0.0	0.017	0.053	27.972
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;lactamica	species	649		0.033	0.033	0.0	0.024	0.163	17.483
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;mucosa	species	682	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (AKE).;Some of the reads equidistant from these taxa (099-682-764) are included in HMT-682 because they are too close to differentiate at this site (AKE).	0.362	0.362	0.0	1.246	0.807	69.231
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.171	0.171	0.0	0.041	1.355	20.28
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;polysaccharea	species	737	Some of the reads equidistant from these taxa (669-737-956) are included in HMT-737 because they are too close to differentiate at this site (AKE).	0.876	0.876	0.0	2.547	2.302	37.762
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sicca	species	764	Reads equidistant to HMT-682 and HMT-764 were assigned to each taxon in proportion to the abundance of HMT-682 and HMT-764 individually at this body site (AKE).;Some of the reads equidistant from these taxa (099-682-764) are included in HMT-764 because they are too close to differentiate at this site (AKE).	0.403	0.403	0.0	0.849	1.214	55.944
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp. HMT-499	species	499		0.011	0.011	0.0	0.0	0.091	1.399
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (AKE).	0.1	0.1	0.0	0.152	0.412	48.252
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella;muelleri	species	683		0.006	0.006	0.0	0.0	0.028	7.692
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus	species	575		1.119	1.119	0.0	2.796	2.855	81.119
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;gracilis	species	623		0.114	0.114	0.0	0.136	0.775	37.063
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae	species	763		0.398	0.398	0.0	0.943	1.157	68.531
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp. HMT-044	species	044		0.099	0.099	0.0	0.129	0.733	20.979
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;hominis	species	633		0.021	0.021	0.0	0.016	0.11	14.685
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus	species	545		0.016	0.016	0.0	0.0	0.171	3.497
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;segnis	species	762		0.023	0.023	0.0	0.02	0.117	20.28
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus	species	851	Reads equidistant to HMT-036 and HMT-851 were assigned to each taxon in proportion to the abundance of HMT-036 and HMT-851 individually at this body site (AKE).;Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-851 because they are too close to differentiate at this site (AKE).	2.107	2.107	0.017	5.91	3.447	98.601
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus	species	945		0.347	0.347	0.0	0.922	1.111	44.056
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		3.422	3.422	0.035	11.482	5.508	95.105
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus	species	035		0.521	0.521	0.0	1.107	1.546	41.259
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT-036	species	036	Reads equidistant to HMT-036 and HMT-851 were assigned to each taxon in proportion to the abundance of HMT-036 and HMT-851 individually at this body site (AKE).	0.129	0.129	0.0	0.292	0.407	44.056
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT-908	species	908	Reads equidistant to HMT-851 and HMT-908 were assigned to each taxon in proportion to the abundance of HMT-851 and HMT-908 individually at this body site (AKE).	0.098	0.098	0.0	0.178	0.317	23.776
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sputorum	species	944		0.028	0.028	0.0	0.031	0.156	23.077
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-346	species	346		0.08	0.08	0.0	0.012	0.761	13.986
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-347	species	347		0.084	0.084	0.0	0.143	0.294	24.476
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-348	species	348		0.007	0.007	0.0	0.0	0.038	7.692
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-352	species	352		0.02	0.02	0.0	0.066	0.054	28.671
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-870	species	870		0.327	0.327	0.0	0.322	1.474	34.965
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;salivarium	species	754		0.002	0.002	0.0	0.0	0.013	3.497
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-058	species	058	Neither HMT-058 nor HMT-707 were present singularly so these reads were split evenly at this site (AKE).;Some of the reads equidistant from these taxa (058-398-677) are included in HMT-058 because they are too close to differentiate at this site (AKE).;Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-058 because they are too close to differentiate at this site (AKE).	0.035	0.035	0.0	0.042	0.163	51.049
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-488	species	488	Neither HMT-488 nor HMT-957 were present singularly so these reads were split evenly at this site (AKE).	0.009	0.009	0.0	0.013	0.049	21.678
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-957	species	957	Neither HMT-488 nor HMT-957 were present singularly so these reads were split evenly at this site (AKE).	0.009	0.009	0.0	0.013	0.049	21.678
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638	Because HMT-431 is not present individually, all equidistant reads were assigned to HMT-638 at this body site (AKE).;Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-638 because they are too close to differentiate at this site (AKE).	0.385	0.385	0.009	1.081	0.587	92.308
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398	Because HMT-734 is not present individually, all equidistant reads were assigned to HMT-398 at this body site (AKE).;Some of the reads equidistant from these taxa (058-398-677) are included in HMT-398 because they are too close to differentiate at this site (AKE).;Some of the reads equidistant from these taxa (398-677-734) are included in HMT-398 because they are too close to differentiate at this site (AKE).;Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-398 because they are too close to differentiate at this site (AKE).	3.408	3.408	0.211	8.844	4.875	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. tigurinus clade-071	subspecies	071	Reads equidistant to HMT-071 and HMT-758 were assigned to each taxon in proportion to the abundance of HMT-071 and HMT-758 individually at this body site (AKE).;Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-071 because they are too close to differentiate at this site (AKE).	0.073	0.073	0.0	0.177	0.164	74.825
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	Because HMT-411 is not present individually, all equidistant reads were assigned to HMT-721 at this body site (AKE).	0.329	0.329	0.0	0.641	1.097	74.126
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. oralis	subspecies	707	Neither HMT-058 nor HMT-707 were present singularly so these reads were split evenly at this site (AKE).;Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-707 because they are too close to differentiate at this site (AKE).	0.035	0.035	0.0	0.042	0.163	51.049
UNMATCHED				3.498	3.498	0.281	7.415	3.315	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis	species		combined from subspecies	0.385	0.385	0.009	1.081	0.587	92.308
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	3.443	3.443	0.215	8.949	4.87	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis	species		combined from subspecies	0.329	0.329	0.0	0.641	1.097	74.126
