Taxonomy	Rank	HMT	Notes	Max	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;sp. HMT-206	species	206		0.108	0.108	0.0	0.339	0.341	26.343
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		0.323	0.323	0.0	0.748	0.336	82.097
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;morbillorum	species	046		0.076	0.076	0.0	0.223	0.144	53.453
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757	Because HMT-626 is not present individually, all equidistant reads were assigned to HMT-757 at this body site (HPA).	7.826	7.826	1.136	18.182	8.27	99.744
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.157	0.157	0.0	0.441	0.36	50.384
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		3.011	3.011	0.902	5.797	2.389	98.977
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		1.711	1.711	0.0	4.773	3.447	77.494
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.122	0.122	0.0	0.0	1.737	9.974
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		0.024	0.024	0.0	0.023	0.195	11.765
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		0.842	0.842	0.035	1.921	1.359	92.583
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;sp. HMT-455	species	455		0.045	0.045	0.0	0.132	0.11	35.294
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.378	0.378	0.0	0.886	0.385	84.655
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082		0.537	0.537	0.0	1.477	0.75	76.215
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;sp. HMT-083	species	083		0.419	0.419	0.0	0.981	0.41	85.166
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense	species	107		0.043	0.043	0.0	0.092	0.171	18.159
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2];bacterium HMT-096	species	096		0.594	0.594	0.0	1.818	1.226	54.22
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;asaccharolyticum	species	108	Reads equidistant to HMT-108 and HMT-934 were assigned to each taxon in proportion to the abundance of HMT-108 and HMT-934 individually at this body site (HPA).	0.432	0.432	0.0	1.109	0.533	84.143
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;parvum	species	934	Reads equidistant to HMT-108 and HMT-934 were assigned to each taxon in proportion to the abundance of HMT-108 and HMT-934 individually at this body site (HPA).	0.134	0.134	0.0	0.414	0.236	56.777
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sinus	species	457		1.01	1.01	0.1	2.059	0.928	94.629
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.381	0.381	0.0	1.228	0.782	53.197
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;sp. HMT-097	species	097		0.751	0.751	0.0	1.809	1.063	80.818
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp. HMT-168	species	168		0.068	0.068	0.0	0.197	0.144	38.363
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.273	0.273	0.0	0.697	0.312	77.238
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];sulci	species	467		0.366	0.366	0.0	0.926	0.481	74.425
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;stomatis	species	112		0.571	0.571	0.0	1.523	0.688	81.841
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1];bacterium HMT-075	species	075		0.096	0.096	0.0	0.269	0.225	43.99
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2];bacterium HMT-085	species	085		0.101	0.101	0.0	0.316	0.159	54.731
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei	species	678		0.024	0.024	0.0	0.084	0.048	34.527
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;multacida	species	684		0.019	0.019	0.0	0.0	0.162	7.417
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;sp. HMT-521	species	521		0.042	0.042	0.0	0.0	0.227	8.696
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-136	species	136	Some of the reads equidistant from these taxa (136-149-478) are included in HMT-136 because they are too close to differentiate at this site (HPA).	0.327	0.327	0.0	0.889	0.523	76.471
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-478	species	478	Some of the reads equidistant from these taxa (136-149-478) are included in HMT-478 because they are too close to differentiate at this site (HPA).	0.106	0.106	0.0	0.277	0.159	78.005
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.042	0.042	0.0	0.123	0.109	31.458
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;micronuciformis	species	122		0.49	0.49	0.0	1.408	0.742	78.005
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		2.528	2.528	0.037	6.579	3.304	91.816
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (HPA).	5.154	5.154	0.1	12.698	5.651	95.652
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (HPA).	0.683	0.683	0.007	1.755	0.921	91.816
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158		3.403	3.403	0.246	8.067	3.26	96.419
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		0.258	0.258	0.0	0.798	0.601	46.036
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-917	species	917		0.119	0.119	0.0	0.0	0.773	6.905
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;octavius	species	017		0.022	0.022	0.0	0.0	0.284	2.046
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-290	species	290		0.053	0.053	0.0	0.0	0.983	1.79
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-295	species	295		0.013	0.013	0.0	0.0	0.164	1.279
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662		0.007	0.007	0.0	0.0	0.11	2.046
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;harei	species	109		0.007	0.007	0.0	0.0	0.081	2.302
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.092	0.092	0.0	0.271	0.163	54.987
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202	Because HMT-953 is not present individually, all equidistant reads were assigned to HMT-202 at this body site (HPA).;Some of the reads equidistant from these taxa (200-202-203) are included in HMT-202 because they are too close to differentiate at this site (HPA).	0.317	0.317	0.0	0.658	0.853	75.959
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200	Some of the reads equidistant from these taxa (200-202-203) are included in HMT-200 because they are too close to differentiate at this site (HPA).	0.131	0.131	0.0	0.269	0.36	59.847
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		4.749	4.749	0.396	10.342	4.235	96.931
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	248		0.02	0.02	0.0	0.0	0.15	7.417
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis	species	563		0.028	0.028	0.0	0.077	0.085	23.274
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii	species	224		0.018	0.018	0.0	0.05	0.057	21.228
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.066	0.066	0.0	0.144	0.295	35.294
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.095	0.095	0.0	0.286	0.209	45.524
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.641	0.641	0.0	1.675	0.892	81.586
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-218	species	218		0.132	0.132	0.0	0.187	0.54	17.391
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-225	species	225		0.017	0.017	0.0	0.058	0.057	17.647
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417		1.081	1.081	0.0	3.073	1.968	78.517
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222		0.026	0.026	0.0	0.069	0.091	19.949
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.718	0.718	0.0	2.15	1.46	60.358
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.09	0.09	0.0	0.04	0.615	14.066
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		0.439	0.439	0.0	1.19	0.808	70.332
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.05	0.05	0.0	0.039	0.26	15.345
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209		0.018	0.018	0.0	0.044	0.076	13.555
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans	species	023		0.104	0.104	0.0	0.062	1.19	15.345
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.058	0.058	0.0	0.161	0.128	43.223
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.083	0.083	0.0	0.175	0.228	46.803
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT-459	species	459		0.394	0.394	0.0	0.471	2.099	37.084
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (HPA).	1.122	1.122	0.0	3.282	2.588	89.003
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.06	0.06	0.0	0.191	0.186	26.598
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (HPA).;Some of the reads equidistant from these taxa (101-476-682) are included in HMT-476 because they are too close to differentiate at this site (HPA).	5.346	5.346	0.22	13.535	6.265	96.419
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella;muelleri	species	683		1.252	1.252	0.0	3.426	4.002	29.412
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus	species	575		0.675	0.675	0.064	1.516	0.704	92.839
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp. HMT-044	species	044		0.074	0.074	0.0	0.168	0.263	31.202
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;pylori	species	812		0.017	0.017	0.0	0.0	0.31	0.767
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;sakazakii	species	753		0.023	0.023	0.0	0.0	0.172	7.928
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus	species	545		0.032	0.032	0.0	0.067	0.143	23.274
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp. HMT-458	species	458		0.106	0.106	0.0	0.273	0.23	53.197
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus	species	945	Reads equidistant to HMT-035 and HMT-945 were assigned to each taxon in proportion to the abundance of HMT-035 and HMT-945 individually at this body site (HPA).	1.279	1.279	0.0	3.309	3.212	71.867
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		14.958	14.958	4.785	27.782	10.114	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus	species	035	Reads equidistant to HMT-035 and HMT-945 were assigned to each taxon in proportion to the abundance of HMT-035 and HMT-945 individually at this body site (HPA).	1.334	1.334	0.0	3.971	4.285	52.941
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;pittmaniae	species	946		0.064	0.064	0.0	0.127	0.282	31.202
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sputorum	species	944		0.278	0.278	0.0	0.852	0.479	62.66
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;junii	species	282		0.037	0.037	0.0	0.037	0.19	13.043
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;sp. HMT-408	species	408		0.012	0.012	0.0	0.0	0.124	6.905
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;maltophilia	species	663		0.099	0.099	0.0	0.0	1.194	4.092
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-352	species	352		0.016	0.016	0.0	0.049	0.042	25.32
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175	Neither HMT-175 nor HMT-688 were present singularly so these reads were split evenly at this site (HPA).	0.129	0.129	0.0	0.317	0.246	75.448
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;viscosus	species	688	Neither HMT-175 nor HMT-688 were present singularly so these reads were split evenly at this site (HPA).	0.129	0.129	0.0	0.317	0.246	75.448
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;minutissimum	species	053	Neither HMT-053 nor HMT-063 were present singularly so these reads were split evenly at this site (HPA).	0.017	0.017	0.0	0.0	0.102	6.905
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;singulare	species	063	Neither HMT-053 nor HMT-063 were present singularly so these reads were split evenly at this site (HPA).	0.017	0.017	0.0	0.0	0.102	6.905
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];bacterium HMT-922	species	922	Neither HMT-377 nor HMT-922 were present singularly so these reads were split evenly at this site (HPA).	0.015	0.015	0.0	0.055	0.036	26.087
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;polysaccharea	species	737	Neither HMT-737 nor HMT-956 were present singularly so these reads were split evenly at this site (HPA).	0.115	0.115	0.0	0.192	0.609	29.156
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;cinerea	species	956	Neither HMT-737 nor HMT-956 were present singularly so these reads were split evenly at this site (HPA).	0.115	0.115	0.0	0.192	0.609	29.156
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;cancerogenus	species	565	Neither HMT-565 nor HMT-634 were present singularly so these reads were split evenly at this site (HPA).	0.027	0.027	0.0	0.014	0.207	12.788
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;hormaechei	species	634	Neither HMT-565 nor HMT-634 were present singularly so these reads were split evenly at this site (HPA).	0.027	0.027	0.0	0.014	0.207	12.788
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp. HMT-512	species	512	Neither HMT-512 nor HMT-762 were present singularly so these reads were split evenly at this site (HPA).	0.038	0.038	0.0	0.102	0.102	41.432
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;segnis	species	762	Neither HMT-512 nor HMT-762 were present singularly so these reads were split evenly at this site (HPA).	0.038	0.038	0.0	0.102	0.102	41.432
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;sp. HMT-110	species	110	HMTs110-111-393 were not present singularly so these reads were split evenly at this body site (HPA)	0.114	0.114	0.0	0.356	0.2	61.381
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;micra	species	111	HMTs110-111-393 were not present singularly so these reads were split evenly at this body site (HPA)	0.114	0.114	0.0	0.356	0.2	61.381
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;sp. HMT-393	species	393	HMTs110-111-393 were not present singularly so these reads were split evenly at this body site (HPA)	0.114	0.114	0.0	0.356	0.2	61.381
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398		1.707	1.707	0.045	5.032	3.364	94.118
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii;subsps. yurii&margaretiae	subspecies	377	Neither HMT-377 nor HMT-922 were present singularly so these reads were split evenly at this site (HPA).	0.015	0.015	0.0	0.055	0.036	26.087
UNMATCHED				1.276	1.276	0.0	2.739	5.202	79.028
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	1.707	1.707	0.045	5.032	3.364	94.118
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii	species		combined from subspecies	0.015	0.015	0.0	0.055	0.036	26.087
