Taxonomy	Rank	HMT	Notes	Max	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;peroris	species	728		0.059	0.059	0.0	0.039	0.278	34.839
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755		6.789	6.789	0.565	15.209	6.222	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		0.027	0.027	0.0	0.074	0.037	69.677
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-061	species	061	Reads equidistant to HMT-061 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-638 individually at this body site (TDO).	0.143	0.143	0.015	0.248	0.255	98.065
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-066	species	066	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at this body site (TDO).	0.11	0.11	0.0	0.284	0.254	85.161
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	021		0.718	0.718	0.0	1.397	2.133	83.226
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;sp. HMT-455	species	455		0.028	0.028	0.0	0.074	0.062	49.677
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.366	0.366	0.024	0.794	0.392	94.839
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082		0.534	0.534	0.012	1.463	0.711	94.194
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;sp. HMT-083	species	083		0.009	0.009	0.0	0.031	0.024	24.516
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense	species	107		0.245	0.245	0.023	0.542	0.253	94.194
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2];bacterium HMT-096	species	096		0.659	0.659	0.0	2.34	1.364	56.129
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3];bacterium HMT-100	species	100		0.041	0.041	0.0	0.032	0.161	23.871
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G8];bacterium HMT-500	species	500		0.004	0.004	0.0	0.016	0.013	15.484
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;asaccharolyticum	species	108	Reads equidistant to HMT-108 and HMT-934 were assigned to each taxon in proportion to the abundance of HMT-108 and HMT-934 individually at this body site (TDO).	1.195	1.195	0.367	2.299	0.835	99.355
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;parvum	species	934	Reads equidistant to HMT-108 and HMT-934 were assigned to each taxon in proportion to the abundance of HMT-108 and HMT-934 individually at this body site (TDO).	0.066	0.066	0.0	0.165	0.101	87.742
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sinus	species	457		0.002	0.002	0.0	0.0	0.019	3.871
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.89	0.89	0.045	1.974	1.077	94.839
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp. HMT-168	species	168		0.035	0.035	0.0	0.123	0.072	41.935
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.216	0.216	0.0	0.529	0.221	87.742
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];sulci	species	467		0.152	0.152	0.0	0.353	0.19	76.129
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];bacterium HMT-922	species	922		0.015	0.015	0.0	0.024	0.046	20.645
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;stomatis	species	112		0.123	0.123	0.0	0.323	0.177	71.613
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1];bacterium HMT-075	species	075		0.119	0.119	0.0	0.155	0.704	43.226
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2];bacterium HMT-085	species	085		0.069	0.069	0.0	0.153	0.132	64.516
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei	species	678		0.359	0.359	0.017	0.86	0.369	94.194
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-136	species	136		0.141	0.141	0.0	0.368	0.249	76.129
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-149	species	149		0.077	0.077	0.0	0.22	0.128	63.871
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-478	species	478		0.031	0.031	0.0	0.091	0.054	50.323
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.009	0.009	0.0	0.022	0.037	15.484
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;micronuciformis	species	122		0.494	0.494	0.0	1.336	0.594	88.387
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		2.034	2.034	0.107	4.464	2.03	97.419
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (TDO).	6.523	6.523	0.935	12.715	4.649	100.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161		0.01	0.01	0.0	0.021	0.037	30.968
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (TDO).	2.743	2.743	0.073	7.314	3.281	96.774
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-917	species	917		0.081	0.081	0.0	0.0	0.404	9.677
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.022	0.022	0.0	0.053	0.042	56.774
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202		0.229	0.229	0.0	0.207	1.845	83.871
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200		0.025	0.025	0.0	0.049	0.069	45.806
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		5.098	5.098	0.232	12.993	5.106	98.065
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	248		0.006	0.006	0.0	0.0	0.054	6.452
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.011	0.011	0.0	0.034	0.018	43.871
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.854	0.854	0.011	2.193	1.373	90.323
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-218	species	218		0.363	0.363	0.0	0.178	1.769	18.71
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-223	species	223		0.002	0.002	0.0	0.008	0.008	12.903
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417	Because HMT-222 is not present individually, all equidistant reads were assigned to HMT-417 at this body site (TDO).	1.746	1.746	0.0	4.543	3.264	88.387
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.864	0.864	0.0	2.365	1.94	61.29
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		0.022	0.022	0.0	0.065	0.053	42.581
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.001	0.001	0.0	0.0	0.011	2.581
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.023	0.023	0.0	0.051	0.079	26.452
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.008	0.008	0.0	0.026	0.02	27.097
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;cinerea	species	956		0.01	0.01	0.0	0.01	0.051	13.548
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;elongata	species	598		0.036	0.036	0.0	0.04	0.258	39.355
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (TDO).	1.562	1.562	0.0	4.959	3.354	84.516
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.003	0.003	0.0	0.011	0.009	14.839
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sicca	species	764		0.03	0.03	0.0	0.072	0.067	45.806
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (TDO).	7.454	7.454	0.076	22.025	9.008	97.419
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus	species	575		2.998	2.998	0.6	6.104	2.805	100.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae	species	763		0.082	0.082	0.0	0.201	0.215	48.387
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp. HMT-044	species	044		0.074	0.074	0.0	0.153	0.251	36.774
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		1.854	1.854	0.029	5.164	3.554	96.129
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-352	species	352		1.368	1.368	0.013	3.711	1.776	90.323
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-351	species	351		0.165	0.165	0.0	0.366	0.34	81.29
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-870	species	870		0.153	0.153	0.0	0.431	0.301	66.452
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-356	species	356		0.002	0.002	0.0	0.0	0.014	3.871
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;medium	species	667	Reads equidistant to HMT-231 and HMT-667 were assigned to each taxon in proportion to the abundance of HMT-231 and HMT-667 individually at this body site (TDO).	0.032	0.032	0.0	0.129	0.076	34.194
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-231	species	231	Reads equidistant to HMT-231 and HMT-667 were assigned to each taxon in proportion to the abundance of HMT-231 and HMT-667 individually at this body site (TDO).	0.002	0.002	0.0	0.006	0.006	19.355
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;orale	species	704		0.005	0.005	0.0	0.014	0.02	15.484
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;macacae	species	099	Neither HMT-099 nor HMT-682 were present singularly so these reads were split evenly at this site (TDO).	0.012	0.012	0.0	0.034	0.034	34.839
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;mucosa	species	682	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (TDO).	0.012	0.012	0.0	0.034	0.034	34.839
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638	Because HMT-431 is not present individually, all equidistant reads were assigned to HMT-638 at this body site (TDO).	4.073	4.073	0.995	7.518	2.967	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398	Because HMT-707 is not present individually, all equidistant reads were assigned to HMT-398 at this body site (TDO).	0.506	0.506	0.043	1.395	0.649	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-411	subspecies	411	Reads equidistant to HMT-411 and HMT-721 were assigned to each taxon in proportion to the abundance of HMT-411 and HMT-721 individually at this body site (TDO).	0.125	0.125	0.0	0.325	0.327	81.935
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	Because HMT-057 is not present individually, all equidistant reads were assigned to HMT-721 at this body site (TDO).	3.576	3.576	0.287	8.845	3.628	98.71
UNMATCHED				5.79	5.79	2.601	8.451	2.4	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis	species		combined from subspecies	4.073	4.073	0.995	7.518	2.967	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	0.506	0.506	0.043	1.395	0.649	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis	species		combined from subspecies	3.702	3.702	0.319	9.227	3.726	98.71
