Taxonomy	Rank	HMT	Notes	Max	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170		0.056	0.056	0.0	0.121	0.188	25.862
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-171	species	171		0.041	0.041	0.0	0.025	0.305	13.218
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175		0.104	0.104	0.0	0.31	0.36	27.586
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	019		0.175	0.175	0.0	0.468	0.415	43.678
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;afermentans	species	030		0.832	0.832	0.0	1.184	3.062	43.678
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.288	0.288	0.0	0.495	1.196	43.103
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;appendicis	species	033		0.053	0.053	0.0	0.108	0.253	17.241
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;aurimucosum	species	034		0.147	0.147	0.0	0.384	0.432	34.483
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;coyleae	species	341		0.108	0.108	0.0	0.27	0.309	28.161
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;gottingense	species	207		0.207	0.207	0.0	0.704	0.557	35.057
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;jeikeium	species	047		0.038	0.038	0.0	0.034	0.174	12.644
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.454	0.454	0.0	0.277	2.505	22.414
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;massiliense	species	333		0.006	0.006	0.0	0.0	0.052	1.724
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;minutissimum	species	053		0.108	0.108	0.0	0.272	0.341	34.483
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;mucifaciens	species	835		0.626	0.626	0.0	0.638	3.849	46.552
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;otitidis	species	832		0.097	0.097	0.0	0.0	0.888	7.471
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.472	0.472	0.0	1.323	1.027	55.172
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;propinquum	species	059		0.025	0.025	0.0	0.0	0.16	7.471
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pseudodiphtheriticum	species	060		0.021	0.021	0.0	0.0	0.143	6.322
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;simulans	species	062		0.042	0.042	0.0	0.053	0.177	13.218
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;singulare	species	063		0.161	0.161	0.0	0.229	0.917	25.862
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		1.799	1.799	0.0	4.749	2.289	85.632
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuscaniense	species	184		0.006	0.006	0.0	0.0	0.054	2.874
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		1.47	1.47	0.0	3.493	2.251	75.287
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter;hominis	species	354		0.035	0.035	0.0	0.069	0.14	16.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermatophilaceae;Arsenicicoccus;bolidensis	species	190		0.009	0.009	0.0	0.0	0.094	1.149
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter;indicus	species	339		0.03	0.03	0.0	0.0	0.157	6.322
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae;Kytococcus;sedentarius	species	855		0.028	0.028	0.0	0.0	0.167	5.747
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;palustris	species	084		0.063	0.063	0.0	0.06	0.286	14.943
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;luteus	species	087		0.583	0.583	0.0	1.367	1.505	49.425
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.082	0.082	0.0	0.118	0.42	19.54
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.137	0.137	0.0	0.38	0.426	36.207
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.253	0.253	0.0	0.727	0.593	51.724
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		41.396	41.396	6.146	77.884	26.634	99.425
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;granulosum	species	114		0.352	0.352	0.0	0.869	0.956	55.172
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;modestum	species	193		0.159	0.159	0.0	0.04	1.06	12.069
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.028	0.028	0.0	0.038	0.172	12.644
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;rimae	species	750		0.009	0.009	0.0	0.0	0.092	2.874
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea;vaginae	species	814		0.02	0.02	0.0	0.0	0.119	4.023
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella;massiliensis	species	810		0.037	0.037	0.0	0.0	0.393	2.874
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;lenta	species	654		0.047	0.047	0.0	0.0	0.4	6.897
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	283		0.015	0.015	0.0	0.0	0.093	7.471
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		0.1	0.1	0.0	0.231	0.365	27.011
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		0.044	0.044	0.0	0.041	0.212	13.218
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava	species	302		0.01	0.01	0.0	0.0	0.096	3.448
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		0.073	0.073	0.0	0.163	0.335	21.264
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia	species	556		0.026	0.026	0.0	0.0	0.114	8.046
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola	species	298		0.062	0.062	0.0	0.08	0.337	15.517
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica	species	469	Because HMT-314 is not present individually, all equidistant reads were assigned to HMT-469 at this body site (LAF).	0.151	0.151	0.0	0.409	0.443	32.184
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;micans	species	378		0.005	0.005	0.0	0.0	0.066	0.575
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299		0.024	0.024	0.0	0.052	0.098	15.517
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693		0.019	0.019	0.0	0.0	0.134	6.322
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714		0.081	0.081	0.0	0.018	0.589	12.644
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337		0.037	0.037	0.0	0.013	0.2	11.494
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.029	0.029	0.0	0.01	0.215	10.92
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;ochracea	species	700		0.011	0.011	0.0	0.0	0.078	5.172
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		0.017	0.017	0.0	0.035	0.065	14.943
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;normanense	species	422		0.129	0.129	0.0	0.142	0.539	15.517
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;sp. HMT-206	species	206		0.045	0.045	0.0	0.0	0.319	9.195
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus;anthracis	species	824	Reads equidistant to HMT-297 and HMT-824 were assigned to each taxon in proportion to the abundance of HMT-297 and HMT-824 individually at this body site (LAF).	0.007	0.007	0.0	0.003	0.035	12.069
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626		0.343	0.343	0.0	1.116	0.702	46.552
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757		0.048	0.048	0.0	0.123	0.164	21.264
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae;Brochothrix;thermosphacta	species	241		0.045	0.045	0.0	0.0	0.314	6.322
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;aureus	species	550	Reads equidistant to HMT-550 and HMT-601 were assigned to each taxon in proportion to the abundance of HMT-550 and HMT-601 individually at this body site (LAF).;Some of the reads equidistant from these taxa (216-550-591) are included in HMT-550 because they are too close to differentiate at this site (LAF).	0.218	0.218	0.0	0.039	1.852	19.54
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;capitis	species	116	Reads equidistant to HMT-116 and HMT-567 were assigned to each taxon in proportion to the abundance of HMT-116 and HMT-567 individually at this body site (LAF).	3.874	3.874	0.0	9.036	8.949	74.138
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;caprae	species	567	Reads equidistant to HMT-116 and HMT-567 were assigned to each taxon in proportion to the abundance of HMT-116 and HMT-567 individually at this body site (LAF).	0.039	0.039	0.0	0.102	0.11	51.149
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;cohnii	species	117	Reads equidistant to HMT-117 and HMT-120 were assigned to each taxon in proportion to the abundance of HMT-117 and HMT-120 individually at this body site (LAF).	0.063	0.063	0.0	0.078	0.353	23.563
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;epidermidis	species	601	Reads equidistant to HMT-550 and HMT-601 were assigned to each taxon in proportion to the abundance of HMT-550 and HMT-601 individually at this body site (LAF).	3.784	3.784	0.027	6.276	8.651	90.805
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;haemolyticus	species	120	Reads equidistant to HMT-117 and HMT-120 were assigned to each taxon in proportion to the abundance of HMT-117 and HMT-120 individually at this body site (LAF).	0.176	0.176	0.0	0.378	0.635	31.034
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;hominis	species	127		3.887	3.887	0.0	5.275	12.355	65.517
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;lugdunensis	species	128		0.07	0.07	0.0	0.021	0.431	11.494
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;pasteuri	species	141		0.093	0.093	0.0	0.0	1.135	8.046
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;pettenkoferi	species	142		0.017	0.017	0.0	0.0	0.152	4.598
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;warneri	species	076		0.169	0.169	0.0	0.257	0.934	28.161
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.105	0.105	0.0	0.166	0.532	15.517
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;viridans	species	312		0.026	0.026	0.0	0.0	0.14	9.77
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus;otitis	species	831		0.017	0.017	0.0	0.0	0.145	2.874
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum	species	813		0.025	0.025	0.0	0.02	0.151	12.644
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		0.245	0.245	0.0	0.662	0.704	47.126
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.132	0.132	0.0	0.348	0.412	31.034
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;acidophilus	species	529		0.02	0.02	0.0	0.004	0.164	10.345
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817		0.337	0.337	0.0	0.784	1.2	29.885
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri	species	615		0.603	0.603	0.0	0.0	7.333	8.046
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.591	0.591	0.0	2.179	1.679	33.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		0.068	0.068	0.0	0.102	0.267	12.644
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis	species	804		0.137	0.137	0.0	0.261	0.453	29.31
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae	species	537		0.044	0.044	0.0	0.0	0.37	5.172
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus	species	543		0.009	0.009	0.0	0.0	0.058	4.023
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;australis	species	073	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at this body site (LAF).	0.145	0.145	0.0	0.378	0.402	39.08
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;gordonii	species	622		0.096	0.096	0.0	0.162	0.42	21.839
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius	species	644		0.015	0.015	0.0	0.009	0.068	10.345
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis	species	677	Reads equidistant to HMT-398 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-398 and HMT-677 individually at this body site (LAF).	2.0	2.0	0.0	5.492	2.801	83.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-058	species	058		0.033	0.033	0.0	0.021	0.229	13.218
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755		1.309	1.309	0.0	3.737	3.173	67.816
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		0.259	0.259	0.0	0.829	0.628	46.552
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-066	species	066	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at this body site (LAF).	0.014	0.014	0.0	0.003	0.078	12.069
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;thermophilus	species	152		0.624	0.624	0.0	0.243	7.031	33.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	021		0.075	0.075	0.0	0.238	0.199	27.011
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.023	0.023	0.0	0.0	0.133	6.897
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082		0.012	0.012	0.0	0.0	0.08	4.598
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense	species	107		0.018	0.018	0.0	0.012	0.111	10.92
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924		0.031	0.031	0.0	0.0	0.396	1.724
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;asaccharolyticum	species	108		0.032	0.032	0.0	0.041	0.178	12.069
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.05	0.05	0.0	0.026	0.299	10.92
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp. HMT-168	species	168		0.019	0.019	0.0	0.0	0.153	5.172
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.01	0.01	0.0	0.0	0.065	5.172
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"];brachy	species	557		0.027	0.027	0.0	0.0	0.229	3.448
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2];bacterium HMT-085	species	085		0.01	0.01	0.0	0.0	0.072	5.172
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;artemidis	species	124		0.009	0.009	0.0	0.0	0.084	1.149
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-892	species	892		0.004	0.004	0.0	0.0	0.052	1.724
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-920	species	920		0.029	0.029	0.0	0.0	0.311	6.322
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.027	0.027	0.0	0.0	0.197	8.621
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;micronuciformis	species	122		0.038	0.038	0.0	0.006	0.273	10.345
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp. HMT-841	species	841		0.053	0.053	0.0	0.0	0.338	7.471
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		0.047	0.047	0.0	0.109	0.173	18.391
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (LAF).	0.224	0.224	0.0	0.582	0.501	47.701
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (LAF).	0.071	0.071	0.0	0.153	0.256	34.483
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (LAF).	0.08	0.08	0.0	0.203	0.276	26.437
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		0.026	0.026	0.0	0.014	0.095	11.494
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;octavius	species	017		0.065	0.065	0.0	0.054	0.619	16.092
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;prevotii	species	738		0.015	0.015	0.0	0.0	0.08	5.747
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-290	species	290		0.028	0.028	0.0	0.058	0.106	18.966
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-295	species	295		0.02	0.02	0.0	0.011	0.12	10.92
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662		0.338	0.338	0.0	0.733	1.438	46.552
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;sp. HMT-187	species	187		0.074	0.074	0.0	0.032	0.751	17.241
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;hwasookii	species	953		0.004	0.004	0.0	0.0	0.045	1.724
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.02	0.02	0.0	0.023	0.11	12.069
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202		0.101	0.101	0.0	0.127	0.557	21.264
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200		0.068	0.068	0.0	0.046	0.527	16.092
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		0.222	0.222	0.0	0.268	1.374	24.713
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	248		0.014	0.014	0.0	0.0	0.151	4.023
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-370	species	370		0.006	0.006	0.0	0.0	0.069	2.299
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis	species	563		0.044	0.044	0.0	0.0	0.338	7.471
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii	species	224		0.015	0.015	0.0	0.0	0.098	4.023
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.022	0.022	0.0	0.0	0.127	9.195
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;shahii	species	214		0.007	0.007	0.0	0.0	0.046	2.874
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.021	0.021	0.0	0.0	0.108	7.471
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.008	0.008	0.0	0.0	0.038	8.046
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-218	species	218		0.016	0.016	0.0	0.0	0.176	2.299
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-392	species	392		0.017	0.017	0.0	0.0	0.181	4.023
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417		0.054	0.054	0.0	0.048	0.247	12.644
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222		0.02	0.02	0.0	0.0	0.103	6.322
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-219	species	219		0.007	0.007	0.0	0.0	0.085	1.149
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.032	0.032	0.0	0.0	0.196	8.046
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1];bacterium HMT-871	species	871		0.007	0.007	0.0	0.0	0.091	1.149
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;diminuta	species	590		0.278	0.278	0.0	0.893	0.741	35.057
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp. HMT-002	species	002		0.131	0.131	0.0	0.183	0.508	16.667
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;broomeae	species	559		0.252	0.252	0.0	0.747	0.711	32.184
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;elkanii	species	597		0.01	0.01	0.0	0.0	0.066	3.448
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;anthropi	species	544		0.015	0.015	0.0	0.0	0.138	4.598
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;japonicum	species	659		0.009	0.009	0.0	0.0	0.068	4.598
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium;tumefaciens	species	485		0.21	0.21	0.0	0.041	1.828	13.218
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Haematobacter;missouriensis	species	316		0.014	0.014	0.0	0.0	0.132	2.299
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;yeei	species	104		0.093	0.093	0.0	0.151	0.331	25.862
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;mucosa	species	245		0.079	0.079	0.0	0.0	0.497	9.195
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;humi	species	006		0.022	0.022	0.0	0.0	0.271	1.724
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;panipatense	species	342		0.043	0.043	0.0	0.0	0.226	9.77
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;glacialis	species	003		0.11	0.11	0.0	0.069	0.843	19.54
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.015	0.015	0.0	0.0	0.138	3.448
