Taxonomy	Rank	HMT	Notes	Max	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-505	species	505		0.011	0.011	0.0	0.0	0.109	2.649
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-511	species	511		0.21	0.21	0.0	0.427	1.034	25.166
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2];bacterium HMT-274	species	274		0.822	0.822	0.0	2.657	1.649	61.589
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	283		0.799	0.799	0.0	2.298	1.278	76.159
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis	species	273		0.587	0.587	0.0	1.913	2.101	49.669
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		0.718	0.718	0.0	2.123	1.295	80.132
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-275	species	275	Reads equidistant to HMT-275 and HMT-278 were assigned to each taxon in proportion to the abundance of HMT-275 and HMT-278 individually at this body site (SUBP).	0.1	0.1	0.0	0.291	0.301	34.437
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-277	species	277	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SUBP).	0.025	0.025	0.0	0.046	0.087	23.179
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-278	species	278	Reads equidistant to HMT-275 and HMT-278 were assigned to each taxon in proportion to the abundance of HMT-275 and HMT-278 individually at this body site (SUBP).	0.153	0.153	0.0	0.459	0.383	43.046
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-284	species	284	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SUBP).	0.069	0.069	0.0	0.143	0.308	29.801
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		0.022	0.022	0.0	0.027	0.118	18.543
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	308		0.071	0.071	0.0	0.054	0.541	43.709
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		0.308	0.308	0.0	0.505	0.993	58.94
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-913	species	913		0.032	0.032	0.0	0.099	0.096	30.464
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466		0.235	0.235	0.0	0.583	0.709	41.06
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;buccae	species	560		0.012	0.012	0.0	0.029	0.043	17.219
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291		0.14	0.14	0.0	0.383	0.44	46.358
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;fusca	species	782		0.018	0.018	0.0	0.0	0.135	5.96
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia	species	643		0.336	0.336	0.0	1.077	1.132	27.815
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	313		0.046	0.046	0.0	0.0	0.468	9.934
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;loescheii	species	658		0.007	0.007	0.0	0.0	0.047	7.285
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;maculosa	species	289		0.075	0.075	0.0	0.241	0.127	58.94
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica	species	469	Because HMT-314 is not present individually, all equidistant reads were assigned to HMT-469 at this body site (SUBP).	0.421	0.421	0.0	0.968	1.132	80.132
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;micans	species	378		0.035	0.035	0.0	0.08	0.188	27.815
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693		0.842	0.842	0.0	2.392	1.543	72.848
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;oralis	species	705		0.036	0.036	0.0	0.057	0.121	16.556
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oris	species	311		0.974	0.974	0.0	2.749	1.6	84.106
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oulorum	species	288		0.131	0.131	0.0	0.353	0.261	61.589
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714		0.053	0.053	0.0	0.042	0.288	24.503
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;pleuritidis	species	303		0.5	0.5	0.0	1.443	1.505	29.801
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;saccharolytica	species	781		0.107	0.107	0.0	0.297	0.174	64.238
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;salivae	species	307		0.058	0.058	0.0	0.044	0.306	23.841
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT-292	species	292	Because HMT-300 is not present individually, all equidistant reads were assigned to HMT-292 at this body site (SUBP).	0.12	0.12	0.0	0.332	0.318	60.927
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-317	species	317		1.154	1.154	0.0	3.144	1.366	84.768
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-472	species	472		0.238	0.238	0.0	0.819	0.497	56.291
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;veroralis	species	572		0.049	0.049	0.0	0.098	0.187	31.788
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;forsythia	species	613		0.075	0.075	0.0	0.274	0.195	31.126
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	286		0.178	0.178	0.0	0.477	0.449	60.265
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;sp. HMT-808	species	808		0.044	0.044	0.0	0.126	0.145	34.437
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;endodontalis	species	326		0.674	0.674	0.0	1.856	1.652	62.252
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337	Reads equidistant to HMT-325 and HMT-337 were assigned to each taxon in proportion to the abundance of HMT-325 and HMT-337 individually at this body site (SUBP).	2.059	2.059	0.152	5.111	2.087	96.689
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa	species	325	Reads equidistant to HMT-325 and HMT-337 were assigned to each taxon in proportion to the abundance of HMT-325 and HMT-337 individually at this body site (SUBP).	0.467	0.467	0.0	1.566	1.005	70.861
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;haemolytica	species	627		0.119	0.119	0.0	0.041	0.608	14.57
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		1.478	1.478	0.014	3.202	1.901	90.728
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;ochracea	species	700	Reads equidistant to HMT-700 and HMT-902 were assigned to each taxon in proportion to the abundance of HMT-700 and HMT-902 individually at this body site (SUBP).	0.427	0.427	0.0	1.044	0.912	78.808
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-323	species	323	Reads equidistant to HMT-323 and HMT-335 were assigned to each taxon in proportion to the abundance of HMT-323 and HMT-335 individually at this body site (SUBP).	0.118	0.118	0.0	0.212	0.378	41.722
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-332	species	332		0.131	0.131	0.0	0.267	0.503	25.828
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-335	species	335	Reads equidistant to HMT-323 and HMT-335 were assigned to each taxon in proportion to the abundance of HMT-323 and HMT-335 individually at this body site (SUBP).	0.044	0.044	0.0	0.079	0.164	40.397
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-336	species	336	Reads equidistant to HMT-336 and HMT-700 were assigned to each taxon in proportion to the abundance of HMT-336 and HMT-700 individually at this body site (SUBP).	0.125	0.125	0.0	0.349	0.31	57.616
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-338	species	338		0.097	0.097	0.0	0.322	0.21	42.384
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-380	species	380		0.019	0.019	0.0	0.028	0.079	21.192
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-412	species	412	Reads equidistant to HMT-412 and HMT-700 were assigned to each taxon in proportion to the abundance of HMT-412 and HMT-700 individually at this body site (SUBP).	0.031	0.031	0.0	0.031	0.204	25.166
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-863	species	863		0.042	0.042	0.0	0.037	0.182	13.245
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-864	species	864	Reads equidistant to HMT-700 and HMT-864 were assigned to each taxon in proportion to the abundance of HMT-700 and HMT-864 individually at this body site (SUBP).	0.102	0.102	0.0	0.34	0.304	41.06
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-878	species	878		0.01	0.01	0.0	0.0	0.06	7.947
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-901	species	901		0.027	0.027	0.0	0.012	0.182	11.258
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sp. HMT-902	species	902	Reads equidistant to HMT-700 and HMT-902 were assigned to each taxon in proportion to the abundance of HMT-700 and HMT-902 individually at this body site (SUBP).	0.143	0.143	0.0	0.389	0.394	49.669
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		1.89	1.89	0.068	4.612	2.254	95.364
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		1.206	1.206	0.104	2.791	1.827	98.675
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1];bacterium HMT-900	species	900		0.11	0.11	0.0	0.276	0.272	52.98
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626		0.493	0.493	0.0	1.077	1.444	88.079
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;morbillorum	species	046		0.256	0.256	0.0	0.664	0.293	85.43
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.419	0.419	0.0	1.054	0.906	70.199
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum	species	813		0.052	0.052	0.0	0.0	0.608	5.298
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		0.41	0.41	0.051	0.939	0.459	96.026
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.06	0.06	0.0	0.1	0.218	41.06
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;rhamnosus	species	749		0.009	0.009	0.0	0.0	0.116	0.662
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri	species	615		0.089	0.089	0.0	0.0	1.076	7.947
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		0.014	0.014	0.0	0.0	0.152	6.623
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus	species	543		0.079	0.079	0.0	0.213	0.229	38.411
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;australis	species	073		0.034	0.034	0.0	0.082	0.088	55.629
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;gordonii	species	622	Because HMT-056 is not present individually, all equidistant reads were assigned to HMT-622 at this body site (SUBP).	0.582	0.582	0.027	1.565	1.001	94.702
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius	species	644		0.561	0.561	0.012	1.524	0.785	90.728
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis	species	677	Reads equidistant to HMT-398 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-398 and HMT-677 individually at this body site (SUBP).;Some of the reads equidistant from these taxa (058-398-677-707) are included in HMT-677 because they are too close to differentiate at this site (SUBP).	2.298	2.298	0.104	4.71	6.771	99.338
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mutans	species	686		0.176	0.176	0.0	0.183	0.813	25.166
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755		0.088	0.088	0.0	0.059	0.509	52.318
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758	Reads equidistant to HMT-071 and HMT-758 were assigned to each taxon in proportion to the abundance of HMT-071 and HMT-758 individually at this body site (SUBP).;Some of the reads equidistant from these taxa (071-398-758) are included in HMT-758 because they are too close to differentiate at this site (SUBP).	3.197	3.197	0.364	7.185	3.963	99.338
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	021		0.102	0.102	0.0	0.129	0.536	47.02
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;sp. HMT-080	species	080		0.018	0.018	0.0	0.012	0.082	10.596
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.206	0.206	0.0	0.502	0.254	75.497
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella;ignava	species	635		0.031	0.031	0.0	0.066	0.099	29.801
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082		0.092	0.092	0.0	0.302	0.2	53.642
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;umeaense	species	107		0.116	0.116	0.0	0.276	0.218	73.51
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3];bacterium HMT-100	species	100		0.084	0.084	0.0	0.237	0.156	61.589
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sp. HMT-078	species	078		0.063	0.063	0.0	0.114	0.333	46.358
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia;satelles	species	095		0.016	0.016	0.0	0.013	0.134	12.583
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.044	0.044	0.0	0.079	0.18	44.371
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp. HMT-168	species	168		0.028	0.028	0.0	0.081	0.053	43.046
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.027	0.027	0.0	0.065	0.062	47.682
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];infirmum	species	105		0.01	0.01	0.0	0.025	0.037	21.854
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"];brachy	species	557		0.113	0.113	0.0	0.334	0.191	61.589
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1];bacterium HMT-075	species	075		0.077	0.077	0.0	0.154	0.291	36.424
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2];bacterium HMT-085	species	085		0.019	0.019	0.0	0.017	0.13	18.543
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;extructa	species	603		0.003	0.003	0.0	0.0	0.013	8.609
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei	species	678		0.047	0.047	0.0	0.114	0.143	45.033
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;sp. HMT-521	species	521		0.045	0.045	0.0	0.0	0.27	7.947
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;artemidis	species	124		0.081	0.081	0.0	0.224	0.218	46.358
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;flueggei	species	125		0.02	0.02	0.0	0.075	0.055	28.477
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;infelix	species	639		0.249	0.249	0.0	0.62	0.493	72.848
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;noxia	species	130		0.567	0.567	0.0	1.682	1.052	79.47
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-136	species	136		0.049	0.049	0.0	0.121	0.128	45.695
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-137	species	137		0.093	0.093	0.0	0.266	0.184	54.305
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-478	species	478		0.031	0.031	0.0	0.03	0.166	20.53
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-892	species	892		0.051	0.051	0.0	0.125	0.118	45.033
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-920	species	920		0.179	0.179	0.0	0.54	0.318	69.536
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sputigena	species	151		0.24	0.24	0.0	0.681	0.46	70.199
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonadaceae [G1];bacterium HMT-150	species	150		0.058	0.058	0.0	0.128	0.187	34.437
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonadaceae [G1];bacterium HMT-155	species	155		0.071	0.071	0.0	0.173	0.24	37.086
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;geminatus	species	121		0.037	0.037	0.0	0.059	0.172	20.53
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.278	0.278	0.0	0.697	0.562	69.536
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;pneumosintes	species	736		0.037	0.037	0.0	0.115	0.121	27.152
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		0.175	0.175	0.0	0.026	1.416	28.477
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (SUBP).	0.342	0.342	0.023	0.714	0.835	99.338
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (SUBP).	3.476	3.476	0.249	10.049	4.265	100.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158		0.024	0.024	0.0	0.05	0.068	50.331
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;micra	species	111		0.158	0.158	0.0	0.499	0.313	56.291
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;sp. HMT-110	species	110		0.185	0.185	0.0	0.607	0.345	58.278
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;hwasookii	species	953	Reads equidistant to HMT-201 and HMT-953 were assigned to each taxon in proportion to the abundance of HMT-201 and HMT-953 individually at this body site (SUBP).	0.289	0.289	0.0	0.821	0.723	83.444
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420	Reads equidistant to HMT-200 and HMT-420 were assigned to each taxon in proportion to the abundance of HMT-200 and HMT-420 individually at this body site (SUBP).	2.187	2.187	0.026	5.011	3.395	94.702
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202	Reads equidistant to HMT-202 and HMT-953 were assigned to each taxon in proportion to the abundance of HMT-202 and HMT-953 individually at this body site (SUBP).	2.133	2.133	0.276	4.571	1.908	97.351
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200	Reads equidistant to HMT-200 and HMT-420 were assigned to each taxon in proportion to the abundance of HMT-200 and HMT-420 individually at this body site (SUBP).	3.493	3.493	0.006	10.623	5.155	90.066
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201	Reads equidistant to HMT-201 and HMT-953 were assigned to each taxon in proportion to the abundance of HMT-201 and HMT-953 individually at this body site (SUBP).	0.282	0.282	0.0	0.705	0.522	82.119
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-203	species	203		0.748	0.748	0.0	2.862	1.864	72.185
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	248		0.004	0.004	0.0	0.0	0.023	5.96
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis	species	563		0.271	0.271	0.0	0.88	0.608	47.682
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii	species	224	Reads equidistant to HMT-224 and HMT-225 were assigned to each taxon in proportion to the abundance of HMT-224 and HMT-225 individually at this body site (SUBP).	0.169	0.169	0.0	0.567	0.388	50.993
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.409	0.409	0.0	1.027	1.071	73.51
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.5	0.5	0.0	1.158	0.694	86.755
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.071	0.071	0.0	0.175	0.176	56.954
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-223	species	223		0.077	0.077	0.0	0.172	0.441	29.801
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-225	species	225	Reads equidistant to HMT-224 and HMT-225 were assigned to each taxon in proportion to the abundance of HMT-224 and HMT-225 individually at this body site (SUBP).	0.249	0.249	0.0	0.486	0.727	53.642
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-392	species	392		0.388	0.388	0.0	1.074	0.768	66.887
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417		0.203	0.203	0.0	0.26	0.915	45.033
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-498	species	498		0.018	0.018	0.0	0.0	0.1	9.934
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-909	species	909		0.018	0.018	0.0	0.0	0.105	5.298
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222		0.373	0.373	0.0	1.027	1.221	44.371
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;goodfellowii	species	845		0.13	0.13	0.0	0.324	0.367	48.344
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-219	species	219		0.087	0.087	0.0	0.229	0.184	45.033
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.02	0.02	0.0	0.015	0.107	17.881
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1];bacterium HMT-871	species	871		0.022	0.022	0.0	0.014	0.097	12.583
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1];bacterium HMT-872	species	872		0.076	0.076	0.0	0.257	0.208	39.073
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		2.717	2.717	0.0	7.114	3.924	88.742
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.014	0.014	0.0	0.0	0.093	9.272
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209		0.01	0.01	0.0	0.014	0.047	13.245
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;testosteroni	species	858		0.003	0.003	0.0	0.0	0.017	4.636
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;sp. HMT-894	species	894		0.254	0.254	0.0	0.487	0.735	42.384
