Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra	species	194		0.471	0.029	0.0	0.056	0.135	14.568	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.06	0.086	24.318	0.011	0.0	0.033	0.041	15.09	0.102	0.0	0.012	0.978	11.034	0.031	0.0	0.0	0.424	5.414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.341	0.0	0.958	1.001	40.247	0.471	0.0	1.33	1.298	40.976	0.019	0.0	0.0	0.141	7.788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		67.998	0.947	0.0	0.137	7.773	23.21	29.212	5.974	57.039	19.993	100.0	1.087	0.0	0.202	8.863	34.739	1.133	0.0	0.274	8.41	47.059	42.385	1.268	87.566	30.872	97.931	67.998	5.154	98.072	34.233	99.682	0.509	0.0	0.066	6.424	39.344	0.657	0.0	0.026	6.851	23.56	0.232	0.0	0.047	2.31	22.871	45.141	1.709	85.903	31.988	99.333	66.462	8.512	98.079	34.367	99.691	0.983	0.0	0.23	7.844	51.488	0.6	0.0	0.0	6.656	8.516	1.097	0.0	0.037	8.755	22.716	0.703	0.0	0.022	7.313	17.561	1.004	0.0	0.49	6.746	40.498	0.963	0.0	0.017	8.594	12.652	0.505	0.0	0.059	6.398	32.184
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		1.052	0.033	0.0	0.067	0.127	19.012	0.0	0.0	0.0	0.0	0.0	0.156	0.0	0.403	0.413	60.298	0.806	0.0	1.914	1.075	86.445	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.006	0.483	10.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.569	0.005	1.448	0.828	90.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.768	0.046	1.712	0.889	92.56	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.103	0.269	43.457	0.0	0.0	0.0	0.0	0.0	0.917	0.009	2.482	1.129	90.031	1.052	0.048	2.82	1.29	95.134	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		5.193	1.765	0.0	5.452	2.775	83.704	0.108	0.0	0.205	0.432	42.529	4.072	0.206	9.782	4.431	95.285	4.974	0.152	11.183	5.152	94.118	1.011	0.0	1.157	3.849	46.207	0.441	0.0	0.316	1.921	35.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.336	0.087	11.482	5.091	94.891	0.73	0.0	1.383	2.204	45.333	0.304	0.0	0.263	1.307	29.63	5.193	0.328	12.3	5.064	97.024	0.0	0.0	0.0	0.0	0.0	1.23	0.0	3.68	2.061	84.938	1.732	0.0	5.373	2.699	84.634	3.547	0.045	10.194	4.509	92.523	4.224	0.021	12.585	5.603	91.971	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		3.907	3.907	0.0	13.675	7.891	51.605	0.0	0.0	0.0	0.0	0.0	0.801	0.0	1.628	2.729	45.161	0.347	0.0	1.092	0.893	41.688	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.003	0.117	10.191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.0	0.511	0.888	46.959	0.141	0.0	0.053	1.282	14.0	0.0	0.0	0.0	0.0	0.0	0.293	0.0	0.868	0.691	51.19	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.11	0.166	25.679	0.042	0.0	0.079	0.188	27.317	0.133	0.0	0.327	0.439	32.087	0.017	0.0	0.039	0.076	19.951	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		10.382	10.382	0.0	32.848	14.782	70.123	0.0	0.0	0.0	0.0	0.0	1.414	0.0	2.941	4.422	67.742	0.697	0.0	2.022	1.452	64.962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.881	0.0	2.281	2.216	71.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.126	0.0	3.285	1.835	77.083	0.0	0.0	0.0	0.0	0.0	0.428	0.0	1.043	1.241	58.272	0.306	0.0	0.887	0.767	59.756	0.73	0.0	1.865	2.063	65.421	0.304	0.0	0.921	0.806	53.285	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-914	species	914	Reads equidistant to HMT-308 and HMT-914 were assigned to each taxon in proportion to the abundance of HMT-308 and HMT-914 individually at this body site (SAL).	1.273	0.358	0.0	0.915	0.988	55.556	0.0	0.0	0.0	0.0	0.0	0.596	0.0	1.413	0.988	84.615	1.273	0.06	2.77	1.371	92.583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.748	0.027	1.758	1.204	92.944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.936	0.071	2.308	1.094	94.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.493	0.0	1.4	1.066	71.963	0.936	0.038	2.398	1.468	93.187	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466		1.008	0.062	0.0	0.069	0.446	18.025	0.031	0.0	0.032	0.187	14.943	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.467	0.358	45.524	0.204	0.0	0.703	0.66	27.586	0.149	0.0	0.051	1.094	17.197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.008	0.0	2.535	2.594	66.91	0.191	0.0	0.787	0.504	30.0	0.051	0.0	0.069	0.203	19.136	0.546	0.0	1.302	1.26	71.726	0.0	0.0	0.0	0.0	0.0	0.791	0.0	2.465	1.824	53.58	0.155	0.0	0.383	0.493	37.073	0.497	0.0	1.657	1.151	54.517	0.088	0.0	0.205	0.312	34.307	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299		1.587	0.649	0.0	2.091	1.258	65.679	0.0	0.0	0.0	0.0	0.0	0.464	0.0	1.211	0.699	80.893	1.176	0.0	2.731	1.594	89.77	0.194	0.0	0.241	0.862	22.069	0.09	0.0	0.018	0.507	12.739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.764	0.019	1.772	1.162	91.727	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.009	0.496	11.111	1.587	0.076	3.71	2.127	92.56	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.095	0.083	38.765	0.0	0.0	0.0	0.0	0.0	0.74	0.0	1.889	1.006	83.801	1.157	0.031	2.69	1.653	93.187	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693		1.264	0.052	0.0	0.083	0.246	19.506	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.454	0.345	54.839	0.079	0.0	0.239	0.179	42.711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.141	0.0	2.698	3.175	64.964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.317	0.0	0.77	0.517	74.702	0.0	0.0	0.0	0.0	0.0	1.264	0.0	3.662	2.277	77.284	0.296	0.0	0.754	0.742	58.293	0.321	0.0	0.442	1.821	48.287	0.026	0.0	0.048	0.119	25.304	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714		2.232	0.102	0.0	0.237	0.292	38.272	0.0	0.0	0.0	0.0	0.0	0.309	0.0	0.794	0.583	67.494	1.713	0.03	4.027	1.891	90.537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.352	0.035	3.417	1.522	92.214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.232	0.083	5.162	2.388	93.452	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.054	0.246	21.728	0.0	0.0	0.0	0.0	0.0	1.99	0.054	4.601	1.851	92.212	1.211	0.015	2.917	1.294	90.511	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;saccharolytica	species	781		0.163	0.023	0.0	0.011	0.192	10.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.163	0.0	0.471	0.247	67.407	0.113	0.0	0.369	0.214	52.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-472	species	472	Because HMT-658 is not present individually, all equidistant reads were assigned to HMT-472 at these sites (SUBP,SUPP).	0.96	0.153	0.0	0.233	1.102	28.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.009	0.191	10.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.068	0.382	22.628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	2.812	1.424	76.049	0.545	0.0	1.688	1.018	68.537	0.036	0.0	0.028	0.213	14.953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-942	species	942		0.115	0.115	0.0	0.194	0.404	14.074	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.179	6.948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	286	Reads equidistant to HMT-286 and HMT-808 were assigned to each taxon in proportion to the abundance of HMT-286 and HMT-808 individually at this body site (SUBP).	0.286	0.029	0.0	0.04	0.182	15.802	0.0	0.0	0.0	0.0	0.0	0.079	0.0	0.192	0.193	45.161	0.057	0.0	0.17	0.129	38.363	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.201	7.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.218	0.0	0.62	0.463	64.234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086	0.0	0.224	0.126	64.881	0.0	0.0	0.0	0.0	0.0	0.286	0.0	0.782	0.547	71.605	0.214	0.0	0.632	0.419	62.439	0.233	0.0	0.715	0.511	49.221	0.089	0.0	0.239	0.224	45.985	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337		2.347	0.113	0.0	0.241	0.386	38.025	0.0	0.0	0.0	0.0	0.0	0.339	0.0	0.768	1.005	74.938	0.131	0.0	0.35	0.226	61.381	0.305	0.0	0.343	1.393	24.828	0.147	0.0	0.109	0.723	21.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.456	0.0	1.453	0.759	75.182	0.171	0.0	0.32	0.764	20.667	0.151	0.0	0.088	1.106	18.519	0.339	0.0	0.799	0.659	86.607	0.0	0.0	0.0	0.0	0.0	1.964	0.158	4.702	2.28	98.765	2.347	0.322	5.104	2.127	99.268	0.386	0.0	1.076	0.823	65.732	0.223	0.0	0.607	0.508	69.343	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa	species	325		1.666	0.044	0.0	0.06	0.255	19.259	0.0	0.0	0.0	0.0	0.0	0.299	0.0	0.653	0.854	66.253	0.052	0.0	0.136	0.121	39.642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.276	0.0	0.536	1.149	56.204	0.132	0.0	0.036	0.679	12.0	0.0	0.0	0.0	0.0	0.0	0.235	0.0	0.57	0.373	73.512	0.0	0.0	0.0	0.0	0.0	1.171	0.0	3.651	1.811	81.481	1.666	0.0	4.547	2.451	84.878	0.171	0.0	0.357	0.657	46.417	0.052	0.0	0.098	0.181	43.066	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		2.231	0.688	0.0	1.821	1.9	59.753	0.0	0.0	0.0	0.0	0.0	0.494	0.0	1.158	1.05	81.141	0.156	0.0	0.367	0.528	62.916	0.188	0.0	0.417	0.72	21.379	0.066	0.0	0.029	0.452	14.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.602	0.0	1.444	1.903	75.426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.609	0.0	1.441	1.16	86.012	0.0	0.0	0.0	0.0	0.0	1.895	0.026	4.517	2.51	92.346	2.231	0.067	4.917	2.29	95.854	0.461	0.0	1.277	1.468	65.732	0.178	0.0	0.271	0.589	61.071	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		2.848	0.254	0.0	0.645	0.744	45.926	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.996	0.809	71.216	0.157	0.0	0.487	0.293	54.476	0.227	0.0	0.315	1.06	31.724	0.071	0.0	0.048	0.35	15.924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	1.559	1.261	64.964	0.166	0.0	0.164	0.664	26.667	0.0	0.0	0.0	0.0	0.0	0.499	0.0	1.199	0.608	86.31	0.0	0.0	0.0	0.0	0.0	2.083	0.064	5.243	2.764	93.58	2.848	0.195	6.481	3.13	96.585	0.34	0.0	1.033	1.018	53.894	0.225	0.0	0.558	0.615	62.53	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;sp. HMT-206	species	206		0.892	0.449	0.0	0.379	2.42	23.951	0.0	0.0	0.0	0.0	0.0	0.892	0.0	2.207	3.402	34.988	0.108	0.0	0.339	0.341	26.343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.216	0.532	28.224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.187	0.0	0.472	0.58	33.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.024	0.092	15.328	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		1.481	1.179	0.049	2.819	1.962	93.333	0.0	0.0	0.0	0.0	0.0	0.654	0.119	1.397	0.617	96.526	0.323	0.0	0.748	0.336	82.097	0.123	0.0	0.486	0.336	25.517	0.068	0.0	0.041	0.403	15.287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.312	0.0	0.722	0.392	89.294	0.0	0.0	0.0	0.0	0.0	0.086	0.0	0.043	0.498	14.815	0.393	0.032	0.863	0.365	91.369	0.0	0.0	0.0	0.0	0.0	1.033	0.102	2.471	1.106	97.778	1.481	0.299	3.237	1.283	99.756	0.265	0.0	0.672	0.45	76.324	0.244	0.0	0.591	0.313	84.672	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1];bacterium HMT-931	species	931		0.487	0.487	0.0	1.1	1.964	52.099	0.0	0.0	0.0	0.0	0.0	0.239	0.0	0.526	0.783	51.613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;morbillorum	species	046	Some of the reads equidistant from these taxa (046-626-757) are included in HMT-046 because they are too close to differentiate at these sites (AKE,BMU).	1.186	1.186	0.103	2.853	1.477	95.062	0.0	0.0	0.0	0.0	0.0	1.036	0.16	2.191	0.97	98.511	0.076	0.0	0.223	0.144	53.453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165	0.0	0.361	0.44	65.693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.172	0.092	61.607	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.585	0.309	88.148	0.196	0.0	0.497	0.248	85.61	0.105	0.0	0.264	0.366	43.302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.642	0.201	0.0	0.535	0.551	40.988	0.081	0.0	0.11	0.444	21.839	0.642	0.0	1.872	1.254	66.998	0.157	0.0	0.441	0.36	50.384	0.051	0.0	0.19	0.14	25.517	0.066	0.0	0.092	0.336	22.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.062	0.111	28.224	0.151	0.0	0.485	0.438	29.333	0.055	0.0	0.075	0.291	17.593	0.17	0.0	0.47	0.414	55.952	0.0	0.0	0.0	0.0	0.0	0.334	0.0	0.758	0.916	65.185	0.527	0.0	1.321	1.0	76.341	0.05	0.0	0.104	0.187	30.218	0.016	0.0	0.033	0.1	22.384	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		3.477	0.443	0.0	1.279	0.687	79.012	0.161	0.0	0.343	0.498	49.808	1.236	0.193	2.78	1.31	96.278	3.011	0.902	5.797	2.389	98.977	0.25	0.0	0.874	0.505	52.414	0.197	0.0	0.397	0.765	36.624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.635	0.171	3.609	1.744	99.757	0.307	0.0	1.08	0.617	52.0	0.207	0.0	0.436	1.066	40.432	1.473	0.257	3.038	1.502	98.512	0.0	0.0	0.0	0.0	0.0	0.474	0.032	1.055	0.603	94.815	0.577	0.082	1.284	0.613	98.537	1.909	0.149	4.42	2.059	96.885	3.477	0.58	7.504	3.462	99.27	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		3.522	3.522	0.0	8.549	5.318	81.975	0.046	0.0	0.096	0.178	26.82	1.644	0.0	5.116	2.601	77.916	1.711	0.0	4.773	3.447	77.494	0.2	0.0	0.368	0.887	25.517	0.142	0.0	0.068	1.575	22.293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.266	0.0	0.562	0.981	55.474	0.233	0.0	0.6	0.716	32.0	0.122	0.0	0.075	0.843	20.988	0.244	0.0	0.678	0.421	66.964	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.114	0.204	44.691	0.059	0.0	0.125	0.226	46.098	0.243	0.0	0.567	0.776	52.96	0.017	0.0	0.041	0.055	27.494	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;durans	species	880		1.482	0.012	0.0	0.0	0.071	5.679	0.126	0.0	0.126	0.806	26.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.077	0.356	15.172	0.059	0.0	0.015	0.415	12.739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.063	0.354	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.482	0.058	3.581	2.808	95.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		20.132	0.027	0.0	0.0	0.324	8.889	0.077	0.0	0.126	0.309	21.073	0.05	0.0	0.0	0.785	8.685	0.122	0.0	0.0	1.737	9.974	0.498	0.0	0.812	1.771	25.517	0.482	0.0	0.113	4.484	18.79	19.717	0.0	79.52	32.251	65.027	20.132	0.0	87.325	34.148	59.162	0.007	0.0	0.0	0.083	7.543	1.235	0.0	1.035	6.542	34.667	0.254	0.0	0.112	2.951	19.444	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.062	5.596	0.009	0.0	0.0	0.12	7.16	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.329	9.346	0.013	0.0	0.0	0.18	7.786	20.032	0.0	78.598	32.084	60.92
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;constellatus	species	576		0.236	0.023	0.0	0.0	0.231	7.407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.236	0.0	0.394	1.082	39.903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.092	0.109	33.086	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.117	0.224	24.922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius	species	644		0.631	0.137	0.0	0.204	0.617	31.111	0.0	0.0	0.0	0.0	0.0	0.082	0.0	0.264	0.182	45.658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.241	0.396	37.713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.176	0.142	63.095	0.0	0.0	0.0	0.0	0.0	0.631	0.021	1.551	0.869	91.605	0.169	0.0	0.444	0.284	79.512	0.096	0.0	0.099	0.43	28.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mutans	species	686		0.364	0.068	0.0	0.0	0.537	8.889	0.0	0.0	0.0	0.0	0.0	0.188	0.0	0.19	1.484	26.551	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.264	8.966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.364	0.0	0.0	4.401	7.333	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.104	0.098	29.762	0.0	0.0	0.0	0.0	0.0	0.306	0.0	0.562	1.189	26.667	0.32	0.0	0.408	1.48	25.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
