Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	ST-mean	ST-sd	ST-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.36	0.025	0.056	45.455	0.204	0.407	80.519	0.003	0.013	7.792	0.357	0.447	85.714	0.017	0.144	2.597	0.033	0.065	33.766	0.013	0.029	24.675	0.271	0.396	76.623	0.29	0.349	88.312	0.36	0.508	89.61
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.983	0.094	0.182	62.338	0.46	0.634	90.909	0.013	0.053	16.883	0.561	0.894	89.61	0.0	0.0	1.299	0.115	0.275	55.844	0.027	0.054	33.766	0.712	0.86	83.117	0.983	1.13	90.909	0.84	0.965	88.312
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1]	family			0.169	0.007	0.024	15.584	0.008	0.033	15.584	0.001	0.004	2.597	0.002	0.007	6.494	0.0	0.0	0.0	0.152	0.389	37.662	0.169	0.384	41.558	0.054	0.126	40.26	0.001	0.006	3.896	0.006	0.021	10.39
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.099	0.014	0.069	7.792	0.001	0.006	2.597	0.0	0.002	1.299	0.001	0.011	1.299	0.0	0.0	0.0	0.099	0.422	18.182	0.048	0.25	15.584	0.004	0.025	3.896	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium	genus			0.277	0.034	0.053	48.052	0.205	0.273	84.416	0.005	0.017	10.39	0.246	0.351	81.818	0.0	0.0	0.0	0.041	0.106	32.468	0.013	0.037	19.481	0.177	0.236	74.026	0.272	0.31	84.416	0.277	0.292	84.416
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			1.471	0.252	0.769	67.532	0.091	0.33	61.039	0.193	0.596	53.247	0.21	1.702	36.364	0.0	0.0	0.0	1.247	1.967	97.403	1.471	1.953	96.104	0.154	0.247	66.234	0.013	0.025	29.87	0.024	0.046	46.753
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			9.894	3.072	3.917	97.403	4.088	4.036	98.701	2.145	4.674	83.117	6.318	8.203	96.104	0.005	0.028	9.091	5.699	7.719	96.104	6.845	7.598	98.701	4.726	4.92	98.701	9.894	11.373	98.701	6.118	8.527	94.805
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			60.54	60.54	16.947	100.0	52.254	16.791	100.0	60.186	20.512	100.0	31.353	20.607	100.0	0.071	0.103	63.636	15.855	11.8	100.0	18.508	10.032	100.0	17.656	10.892	98.701	25.704	13.438	100.0	29.843	17.929	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			4.871	0.845	2.034	85.714	0.327	0.651	76.623	0.07	0.107	59.74	0.152	0.348	53.247	0.001	0.004	2.597	4.075	5.88	92.208	4.871	6.034	90.909	1.809	3.564	83.117	0.038	0.087	42.857	0.328	1.323	59.74
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			1.906	0.055	0.142	37.662	0.039	0.08	38.961	0.001	0.005	6.494	0.708	2.095	80.519	0.0	0.003	2.597	1.906	3.639	72.727	0.557	1.415	49.351	0.243	0.754	64.935	0.051	0.108	40.26	0.181	0.504	50.649
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			6.436	3.396	4.437	97.403	2.126	3.07	100.0	6.436	6.54	100.0	1.928	3.136	94.805	0.011	0.032	18.182	1.121	2.195	81.818	2.161	5.76	89.61	2.759	4.037	96.104	2.606	4.56	93.506	2.641	9.301	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			6.841	0.499	0.574	90.909	1.126	1.021	100.0	1.631	4.103	81.818	3.372	3.239	100.0	0.001	0.008	5.195	2.299	1.85	100.0	1.703	1.935	94.805	6.841	5.173	98.701	3.093	2.831	100.0	3.564	3.215	98.701
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella	genus			8.117	8.117	6.372	100.0	4.522	4.487	100.0	5.859	4.963	100.0	2.742	3.239	100.0	0.003	0.012	9.091	0.835	1.763	92.208	0.616	1.054	94.805	1.03	0.951	92.208	1.232	1.27	96.104	2.478	2.797	98.701
Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae_[G-1]	genus			2.217	0.018	0.044	28.571	0.05	0.11	46.753	0.003	0.012	9.091	0.22	0.818	54.545	0.0	0.0	0.0	0.083	0.217	36.364	0.099	0.247	36.364	2.217	3.884	81.818	0.116	0.4	41.558	0.288	0.94	51.948
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			1.137	0.175	0.213	84.416	0.334	0.31	92.208	0.043	0.109	46.753	0.813	0.748	97.403	0.003	0.012	9.091	0.295	0.428	77.922	0.303	0.524	68.831	0.284	0.274	84.416	0.792	0.888	98.701	1.137	1.331	93.506
Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae_[G-2]	genus			0.163	0.004	0.015	12.987	0.012	0.022	33.766	0.002	0.016	2.597	0.054	0.104	45.455	0.0	0.0	0.0	0.002	0.007	6.494	0.002	0.011	7.792	0.163	0.318	57.143	0.041	0.105	38.961	0.041	0.116	32.468
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-2]	genus			0.78	0.024	0.048	36.364	0.133	0.303	48.052	0.002	0.006	6.494	0.592	1.325	57.143	0.0	0.0	0.0	0.001	0.006	5.195	0.006	0.043	3.896	0.044	0.097	28.571	0.503	1.284	50.649	0.78	1.573	59.74
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.629	0.102	0.134	74.026	0.27	0.348	87.013	0.008	0.028	16.883	0.565	0.591	94.805	0.003	0.009	9.091	0.02	0.054	31.169	0.018	0.056	27.273	0.231	0.286	87.013	0.566	0.519	94.805	0.629	0.635	92.208
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.216	1.299	0.0	0.0	0.0	0.2	1.557	6.494
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-3]	genus			0.129	0.022	0.043	38.961	0.032	0.094	36.364	0.004	0.018	7.792	0.069	0.216	40.26	0.0	0.0	0.0	0.115	0.164	61.039	0.129	0.216	50.649	0.053	0.166	29.87	0.038	0.106	22.078	0.059	0.216	23.377
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			2.249	0.149	0.232	71.429	0.571	0.543	100.0	0.017	0.038	35.065	0.973	0.733	100.0	0.002	0.01	5.195	0.06	0.117	50.649	0.054	0.14	46.753	2.249	2.552	94.805	1.216	0.862	97.403	1.222	1.067	96.104
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas	genus			0.158	0.013	0.029	29.87	0.099	0.162	59.74	0.004	0.02	11.688	0.158	0.376	59.74	0.0	0.0	0.0	0.104	0.187	54.545	0.016	0.033	28.571	0.065	0.13	45.455	0.119	0.241	49.351	0.1	0.269	49.351
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.3	0.037	0.081	40.26	0.214	0.291	76.623	0.005	0.017	11.688	0.209	0.303	76.623	0.0	0.0	0.0	0.037	0.121	27.273	0.011	0.035	16.883	0.3	0.541	63.636	0.147	0.154	74.026	0.224	0.258	76.623
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			1.684	0.025	0.054	35.065	0.014	0.032	28.571	0.002	0.009	5.195	0.228	0.671	55.844	1.684	5.513	35.065	0.255	0.484	61.039	0.068	0.187	31.169	0.136	0.189	61.039	0.007	0.023	15.584	0.072	0.221	38.961
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.678	0.045	0.097	44.156	0.21	0.316	75.325	0.004	0.015	10.39	0.366	0.508	74.026	0.0	0.002	1.299	0.024	0.106	14.286	0.006	0.03	7.792	0.678	0.915	85.714	0.416	0.566	80.519	0.627	0.783	83.117
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			2.952	0.075	0.099	57.143	0.236	0.384	79.221	0.044	0.133	32.468	0.77	1.382	89.61	0.0	0.004	1.299	1.221	1.893	83.117	0.91	1.662	79.221	2.952	3.389	97.403	0.351	0.854	75.325	1.096	1.6	88.312
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			12.012	3.423	3.459	98.701	5.865	3.771	100.0	4.781	5.293	100.0	8.869	5.139	100.0	0.045	0.12	37.662	3.923	5.055	98.701	3.371	4.352	100.0	12.012	6.147	100.0	10.981	4.644	100.0	9.275	5.639	100.0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.424	0.045	0.072	59.74	0.168	0.197	84.416	0.019	0.093	32.468	0.381	0.405	93.506	0.002	0.009	2.597	0.226	0.254	74.026	0.101	0.221	58.442	0.424	0.499	84.416	0.352	0.349	90.909	0.348	0.454	90.909
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.057	0.007	0.022	16.883	0.032	0.059	37.662	0.003	0.015	6.494	0.04	0.081	36.364	0.0	0.0	0.0	0.006	0.032	9.091	0.002	0.008	7.792	0.035	0.133	28.571	0.042	0.08	38.961	0.057	0.091	44.156
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces	genus			11.006	1.969	3.144	94.805	1.29	2.094	96.104	0.7	1.307	80.519	1.551	2.144	96.104	0.001	0.007	5.195	9.905	10.648	98.701	11.006	10.18	97.403	0.974	1.264	93.506	2.539	3.94	96.104	2.285	4.289	94.805
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Schaalia	genus			7.651	0.675	1.061	93.506	2.931	2.755	98.701	0.183	0.387	62.338	4.078	3.79	98.701	0.005	0.016	14.286	0.36	0.897	77.922	0.178	0.316	74.026	2.048	2.169	96.104	7.651	6.223	100.0	5.082	4.5	100.0
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus			0.518	0.109	0.845	16.883	0.004	0.015	10.39	0.003	0.011	7.792	0.001	0.007	3.896	0.0	0.0	0.0	0.518	1.156	64.935	0.496	0.976	63.636	0.025	0.113	19.481	0.0	0.002	1.299	0.004	0.015	7.792
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia	genus			9.851	3.852	5.178	98.701	4.01	3.722	98.701	0.728	1.41	80.519	1.921	2.384	97.403	0.003	0.01	7.792	7.393	8.225	96.104	9.851	9.343	97.403	2.33	3.514	96.104	4.931	5.086	100.0	2.669	2.884	94.805
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			0.902	0.042	0.154	33.766	0.01	0.034	20.779	0.013	0.047	15.584	0.008	0.034	10.39	0.0	0.0	0.0	0.725	0.963	83.117	0.902	1.487	84.416	0.02	0.059	25.974	0.003	0.013	7.792	0.007	0.028	7.792
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			7.081	1.095	1.288	97.403	1.216	1.194	96.104	1.744	3.971	87.013	5.495	6.722	100.0	0.002	0.007	6.494	7.081	8.758	98.701	2.669	3.16	100.0	2.134	1.676	98.701	2.94	2.859	98.701	2.879	4.231	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.289	0.289	0.936	28.571	0.06	0.184	23.377	0.143	0.777	18.182	0.071	0.289	18.182	0.0	0.0	0.0	0.004	0.021	9.091	0.003	0.014	6.494	0.176	0.798	20.779	0.008	0.032	11.688	0.155	0.744	18.182
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			3.719	0.606	1.204	97.403	0.634	0.663	97.403	0.272	1.146	64.935	2.163	2.74	98.701	0.001	0.006	1.299	2.598	3.033	94.805	3.719	4.236	97.403	0.745	0.912	92.208	1.394	1.83	94.805	2.513	3.351	96.104
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			1.154	0.131	0.292	64.935	0.311	0.547	63.636	0.06	0.35	19.481	1.097	2.055	72.727	0.0	0.003	1.299	0.306	0.481	64.935	0.21	0.592	58.442	0.208	0.342	61.039	1.026	1.964	67.532	1.154	2.277	68.831
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			4.865	2.985	3.683	98.701	3.294	3.389	93.506	3.892	5.696	84.416	3.591	3.672	96.104	0.003	0.012	11.688	2.825	3.856	94.805	2.133	3.023	85.714	4.865	5.069	93.506	3.938	5.966	92.208	2.639	3.218	92.208
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_[F-2];Bacteroidales_[G-2]	genus			1.202	0.048	0.295	23.377	0.007	0.029	9.091	0.001	0.007	3.896	0.197	0.778	27.273	0.0	0.002	1.299	1.202	2.462	55.844	0.363	0.919	38.961	0.112	0.259	49.351	0.003	0.013	7.792	0.02	0.067	19.481
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.202	0.039	0.115	37.662	0.02	0.045	25.974	0.003	0.012	10.39	0.202	0.469	45.455	0.0	0.0	0.0	0.126	0.336	44.156	0.113	0.244	40.26	0.044	0.189	29.87	0.095	0.213	32.468	0.156	0.391	40.26
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			10.054	1.769	2.414	98.701	6.553	4.764	100.0	0.807	1.133	87.013	9.702	7.082	100.0	0.005	0.013	14.286	3.835	4.373	96.104	1.361	2.078	89.61	10.054	5.395	98.701	9.102	5.152	100.0	10.009	6.32	100.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			3.834	0.407	1.273	72.727	0.272	0.392	87.013	3.834	6.425	70.13	0.714	1.087	90.909	0.002	0.009	3.896	0.347	1.089	62.338	0.082	0.198	45.455	0.485	0.614	87.013	0.312	0.402	81.818	0.649	1.076	92.208
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			1.612	0.344	0.369	96.104	0.206	0.199	88.312	0.748	0.886	89.61	0.329	0.402	79.221	0.0	0.001	1.299	1.147	1.068	100.0	1.612	1.407	98.701	0.322	0.513	80.519	0.265	0.408	79.221	0.251	0.369	79.221
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			9.829	1.385	2.968	90.909	0.3	0.491	88.312	0.534	1.294	67.532	1.723	3.023	90.909	0.002	0.008	6.494	9.253	7.248	98.701	9.829	6.686	97.403	1.472	1.582	92.208	0.575	1.229	81.818	1.15	2.509	87.013
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1]	genus			7.419	0.23	0.331	79.221	0.576	0.65	88.312	0.121	0.396	37.662	1.529	2.456	93.506	0.006	0.024	11.688	2.673	4.289	90.909	2.123	3.119	89.61	7.419	9.05	97.403	1.854	2.411	85.714	1.901	2.385	90.909
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-3]	genus			4.246	0.025	0.045	40.26	0.111	0.167	70.13	0.005	0.02	7.792	0.232	0.377	77.922	0.0	0.0	0.0	0.04	0.155	24.675	0.024	0.086	20.779	4.246	5.728	96.104	0.195	0.371	74.026	0.306	0.346	81.818
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-2];Saccharibacteria_(TM7)_[G-5]	genus			0.135	0.005	0.024	6.494	0.006	0.041	3.896	0.0	0.0	0.0	0.007	0.053	3.896	0.0	0.0	0.0	0.135	1.063	9.091	0.047	0.202	11.688	0.017	0.055	10.39	0.002	0.013	3.896	0.001	0.006	5.195
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.489	0.274	0.596	61.039	0.13	0.446	53.247	0.163	0.589	32.468	0.026	0.06	31.169	0.0	0.001	1.299	0.489	1.08	63.636	0.484	0.76	75.325	0.174	0.604	42.857	0.013	0.041	20.779	0.038	0.118	24.675
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio	genus			0.068	0.005	0.016	14.286	0.016	0.037	27.273	0.0	0.003	1.299	0.035	0.062	42.857	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.068	0.177	33.766	0.037	0.084	36.364	0.064	0.105	55.844
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-1]	genus			0.189	0.016	0.042	28.571	0.189	0.284	72.727	0.003	0.009	9.091	0.116	0.236	63.636	0.0	0.003	1.299	0.001	0.006	3.896	0.0	0.002	2.597	0.115	0.211	53.247	0.138	0.187	70.13	0.149	0.187	72.727
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-5]	genus			0.409	0.016	0.063	10.39	0.002	0.009	5.195	0.0	0.003	1.299	0.026	0.103	12.987	0.0	0.0	0.0	0.409	2.164	14.286	0.088	0.492	9.091	0.021	0.083	11.688	0.001	0.008	3.896	0.002	0.009	6.494
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.211	0.003	0.018	5.195	0.005	0.024	3.896	0.0	0.0	0.0	0.211	1.087	12.987	0.0	0.0	0.0	0.038	0.334	1.299	0.001	0.006	1.299	0.011	0.049	9.091	0.017	0.105	6.494	0.177	1.118	9.091
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.203	0.03	0.122	35.065	0.038	0.06	42.857	0.01	0.03	23.377	0.022	0.075	25.974	0.002	0.012	5.195	0.015	0.035	28.571	0.008	0.036	12.987	0.203	0.809	46.753	0.007	0.024	12.987	0.041	0.092	35.065
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			3.371	1.718	1.842	100.0	2.688	1.78	100.0	3.371	4.204	94.805	1.578	1.209	100.0	0.003	0.013	6.494	0.646	0.809	92.208	0.624	0.614	98.701	1.539	1.252	93.506	2.808	1.886	100.0	1.772	1.345	98.701
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-9]	genus			0.125	0.012	0.043	22.078	0.006	0.016	19.481	0.005	0.036	3.896	0.125	0.509	35.065	0.0	0.0	0.0	0.11	0.188	49.351	0.02	0.044	31.169	0.004	0.014	11.688	0.0	0.003	2.597	0.058	0.366	23.377
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.436	0.046	0.104	51.948	0.023	0.059	38.961	0.018	0.044	29.87	0.087	0.305	40.26	0.0	0.0	0.0	0.436	0.463	92.208	0.363	0.362	92.208	0.028	0.046	51.948	0.024	0.073	25.974	0.075	0.29	28.571
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium	genus			8.529	0.243	0.422	81.818	0.163	0.243	81.818	0.315	2.048	46.753	0.031	0.065	41.558	0.002	0.01	3.896	6.067	5.697	96.104	8.529	6.172	96.104	0.178	0.302	70.13	0.018	0.039	32.468	0.191	1.165	46.753
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus			0.166	0.006	0.018	16.883	0.005	0.023	15.584	0.01	0.075	6.494	0.002	0.012	3.896	0.0	0.0	0.0	0.132	0.221	70.13	0.166	0.247	75.325	0.006	0.02	14.286	0.0	0.004	1.299	0.002	0.015	3.896
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.36	0.025	0.056	45.455	0.204	0.407	80.519	0.003	0.013	7.792	0.357	0.447	85.714	0.017	0.144	2.597	0.033	0.065	33.766	0.013	0.029	24.675	0.271	0.396	76.623	0.29	0.349	88.312	0.36	0.508	89.61
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella	genus			0.468	0.001	0.005	6.494	0.468	1.743	16.883	0.122	1.033	7.792	0.004	0.024	6.494	0.0	0.0	0.0	0.0	0.001	1.299	0.0	0.004	1.299	0.004	0.028	3.896	0.0	0.0	0.0	0.004	0.034	1.299
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.983	0.094	0.182	62.338	0.46	0.634	90.909	0.013	0.053	16.883	0.561	0.894	89.61	0.0	0.0	1.299	0.115	0.275	55.844	0.027	0.054	33.766	0.712	0.86	83.117	0.983	1.13	90.909	0.84	0.965	88.312
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-6]	genus			0.438	0.128	0.531	49.351	0.084	0.169	57.143	0.157	0.606	27.273	0.134	0.277	53.247	0.001	0.005	3.896	0.049	0.152	19.481	0.072	0.206	25.974	0.438	0.658	68.831	0.103	0.166	57.143	0.159	0.264	57.143
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-1]	genus			0.169	0.007	0.024	15.584	0.008	0.033	15.584	0.001	0.004	2.597	0.002	0.007	6.494	0.0	0.0	0.0	0.152	0.389	37.662	0.169	0.384	41.558	0.054	0.126	40.26	0.001	0.006	3.896	0.006	0.021	10.39
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.099	0.014	0.069	7.792	0.001	0.006	2.597	0.0	0.002	1.299	0.001	0.011	1.299	0.0	0.0	0.0	0.099	0.422	18.182	0.048	0.25	15.584	0.004	0.025	3.896	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G-1]	genus			0.109	0.084	0.239	41.558	0.004	0.013	15.584	0.109	0.507	33.766	0.102	0.465	35.065	0.0	0.0	0.0	0.066	0.161	40.26	0.093	0.168	49.351	0.072	0.208	37.662	0.0	0.002	1.299	0.051	0.203	23.377
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium;vescum	species	8	reads equally close to M. diversum, M. neglectum, and M. vescum were assigned one third to each taxon; 	0.092	0.011	0.018	48.052	0.068	0.091	84.416	0.002	0.006	10.39	0.082	0.117	81.818	0.0	0.0	0.0	0.014	0.035	32.468	0.004	0.012	19.481	0.059	0.079	74.026	0.091	0.103	84.416	0.092	0.097	84.416
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp._HMT_012	species	12		0.044	0.044	0.383	1.299	0.003	0.026	2.597	0.001	0.012	1.299	0.0	0.003	2.597	0.0	0.0	0.0	0.032	0.279	2.597	0.035	0.248	2.597	0.014	0.115	2.597	0.0	0.0	0.0	0.001	0.011	1.299
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	14		0.661	0.212	0.715	38.961	0.033	0.089	22.078	0.024	0.154	11.688	0.022	0.088	22.078	0.001	0.01	1.299	0.661	3.833	29.87	0.445	1.25	38.961	0.158	0.387	35.065	0.003	0.012	11.688	0.052	0.184	20.779
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis	species	21	reads equally close to S. salivarius and S. vestibularis were assigned to S.salivarius, except for oligotypes V1V3_291 and V1V3_333 which were assigned to S. vestibularis; 	0.168	0.133	0.425	66.234	0.159	0.58	67.532	0.168	0.503	36.364	0.067	0.129	58.442	0.0	0.0	0.0	0.004	0.017	9.091	0.003	0.01	9.091	0.019	0.038	29.87	0.074	0.137	74.026	0.038	0.058	45.455
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	22		4.871	0.845	2.034	85.714	0.327	0.651	76.623	0.07	0.107	59.74	0.152	0.348	53.247	0.001	0.004	2.597	4.075	5.88	92.208	4.871	6.034	90.909	1.809	3.564	83.117	0.038	0.087	42.857	0.328	1.323	59.74
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;vincentii	species	29	reads equally close to T. medium and T. vincentii were assigned half to each taxon; 	0.018	0.003	0.01	10.39	0.007	0.018	22.078	0.0	0.001	2.597	0.017	0.044	25.974	0.0	0.0	1.299	0.018	0.05	20.779	0.01	0.045	10.39	0.011	0.025	28.571	0.018	0.047	28.571	0.017	0.041	27.273
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus	species	35	reads equally close to H. parahaemolyticus and H. paraphrohaemolyticus were assigned half to each taxon; 	0.49	0.074	0.17	55.844	0.113	0.547	53.247	0.49	1.076	57.143	0.091	0.268	38.961	0.0	0.0	0.0	0.007	0.037	16.883	0.002	0.007	15.584	0.042	0.135	31.169	0.003	0.012	9.091	0.042	0.118	32.468
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp._HMT_036	species	36		1.306	0.334	0.713	76.623	0.082	0.179	55.844	1.306	2.406	80.519	0.022	0.052	35.065	0.0	0.0	0.0	0.016	0.047	20.779	0.011	0.044	19.481	0.085	0.217	48.052	0.004	0.016	7.792	0.026	0.057	29.87
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp._HMT_044	species	44		0.145	0.012	0.033	19.481	0.11	0.252	38.961	0.145	0.898	20.779	0.06	0.173	31.169	0.0	0.0	0.0	0.029	0.192	9.091	0.005	0.026	3.896	0.112	0.263	38.961	0.099	0.367	31.169	0.093	0.221	37.662
