Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-10p	BM-90p	BM-sd	BM-prev	HP-mean	HP-10p	HP-90p	HP-sd	HP-prev	KG-mean	KG-10p	KG-90p	KG-sd	KG-prev	PT-mean	PT-10p	PT-90p	PT-sd	PT-prev	ST-mean	ST-10p	ST-90p	ST-sd	ST-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SV-mean	SV-10p	SV-90p	SV-sd	SV-prev	TD-mean	TD-10p	TD-90p	TD-sd	TD-prev	TH-mean	TH-10p	TH-90p	TH-sd	TH-prev
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			6.436	3.396	0.362	8.126	4.437	97.403	2.126	0.248	4.631	3.07	100.0	6.436	0.905	16.64	6.54	100.0	1.928	0.048	4.145	3.136	94.805	0.011	0.0	0.05	0.032	18.182	1.121	0.0	2.739	2.195	81.818	2.161	0.01	3.993	5.76	89.61	2.759	0.163	8.649	4.037	96.104	2.606	0.022	7.745	4.56	93.506	2.641	0.027	4.919	9.301	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			6.841	0.499	0.02	1.378	0.574	90.909	1.126	0.213	2.271	1.021	100.0	1.631	0.0	3.362	4.103	81.818	3.372	0.488	7.604	3.239	100.0	0.001	0.0	0.0	0.008	5.195	2.299	0.274	4.831	1.85	100.0	1.703	0.033	4.47	1.935	94.805	6.841	1.69	12.966	5.173	98.701	3.093	0.403	6.294	2.831	100.0	3.564	0.35	8.06	3.215	98.701
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae	family			8.117	8.117	1.603	16.411	6.372	100.0	4.522	1.1	10.045	4.487	100.0	5.859	0.608	11.608	4.963	100.0	2.742	0.214	6.141	3.239	100.0	0.003	0.0	0.0	0.012	9.091	0.835	0.072	1.414	1.763	92.208	0.616	0.033	1.209	1.054	94.805	1.03	0.071	1.989	0.951	92.208	1.232	0.148	3.647	1.27	96.104	2.478	0.298	6.696	2.797	98.701
Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae	family			2.379	0.022	0.0	0.053	0.053	32.468	0.061	0.0	0.12	0.117	59.74	0.005	0.0	0.013	0.02	11.688	0.273	0.0	0.574	0.879	71.429	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.207	0.218	36.364	0.101	0.0	0.293	0.253	38.961	2.379	0.0	7.167	4.029	88.312	0.157	0.0	0.303	0.45	57.143	0.329	0.0	0.583	0.99	64.935
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae	family			4.239	0.522	0.035	1.412	0.527	94.805	1.525	0.303	3.325	1.169	100.0	0.094	0.0	0.274	0.192	62.338	3.429	0.845	6.065	2.41	100.0	0.009	0.0	0.034	0.021	23.377	0.718	0.025	1.582	0.663	90.909	0.611	0.0	1.864	0.838	84.416	3.354	1.111	5.9	2.855	97.403	3.504	0.751	5.743	2.284	100.0	4.239	0.846	8.343	2.952	98.701
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.216	1.299	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	1.557	6.494
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae	family			0.158	0.013	0.0	0.045	0.029	29.87	0.099	0.0	0.337	0.162	59.74	0.004	0.0	0.008	0.02	11.688	0.158	0.0	0.514	0.376	59.74	0.0	0.0	0.0	0.0	0.0	0.104	0.0	0.327	0.187	54.545	0.016	0.0	0.058	0.033	28.571	0.065	0.0	0.224	0.13	45.455	0.119	0.0	0.434	0.241	49.351	0.1	0.0	0.238	0.269	49.351
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae	family			12.827	3.492	0.394	7.955	3.501	98.701	6.089	2.137	12.762	3.934	100.0	4.787	0.268	13.248	5.294	100.0	9.463	2.607	17.832	5.253	100.0	1.73	0.0	4.183	5.529	55.844	4.202	0.371	10.303	5.071	98.701	3.445	0.303	7.014	4.358	100.0	12.827	4.814	22.733	6.529	100.0	11.404	5.151	15.91	4.969	100.0	9.974	3.607	16.966	5.949	100.0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae	family			2.963	0.079	0.0	0.235	0.103	57.143	0.241	0.0	0.569	0.385	79.221	0.044	0.0	0.089	0.133	32.468	0.981	0.011	3.081	2.111	89.61	0.0	0.0	0.0	0.004	1.299	1.259	0.0	3.791	1.917	83.117	0.911	0.0	2.368	1.661	79.221	2.963	0.227	7.722	3.393	97.403	0.367	0.0	0.861	0.863	75.325	1.272	0.0	3.137	1.964	88.312
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae	family			0.057	0.007	0.0	0.024	0.022	16.883	0.032	0.0	0.093	0.059	37.662	0.003	0.0	0.0	0.015	6.494	0.04	0.0	0.11	0.081	36.364	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.032	9.091	0.002	0.0	0.0	0.008	7.792	0.035	0.0	0.047	0.133	28.571	0.042	0.0	0.115	0.08	38.961	0.057	0.0	0.174	0.091	44.156
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae	family			11.68	2.752	0.122	7.053	3.51	97.403	4.225	0.719	9.338	4.19	98.701	0.886	0.0	2.875	1.509	85.714	5.63	0.642	12.008	5.343	98.701	0.006	0.0	0.025	0.017	18.182	10.784	1.63	23.986	10.904	98.701	11.68	1.359	25.667	10.508	98.701	3.047	0.638	6.781	2.934	96.104	10.19	1.58	21.001	8.738	100.0	7.371	0.984	17.128	6.498	100.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae	family			9.851	3.852	0.245	9.064	5.178	98.701	4.01	0.762	7.493	3.722	98.701	0.728	0.0	2.243	1.41	80.519	1.921	0.141	5.114	2.384	97.403	0.003	0.0	0.0	0.01	7.792	7.393	0.607	16.361	8.225	96.104	9.851	1.133	23.471	9.343	97.403	2.33	0.171	5.345	3.514	96.104	4.931	0.69	12.978	5.086	100.0	2.669	0.15	7.068	2.884	94.805
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae	family			0.909	0.072	0.0	0.108	0.19	63.636	0.048	0.0	0.135	0.068	55.844	0.023	0.0	0.064	0.055	35.065	0.031	0.0	0.081	0.086	31.169	0.002	0.0	0.0	0.012	5.195	0.74	0.008	2.005	0.965	89.61	0.909	0.0	2.825	1.487	87.013	0.223	0.0	0.383	0.807	63.636	0.01	0.0	0.034	0.026	20.779	0.048	0.0	0.203	0.1	37.662
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			7.081	1.095	0.088	2.307	1.288	97.403	1.216	0.136	2.533	1.194	96.104	1.744	0.0	4.988	3.971	87.013	5.495	0.733	13.312	6.722	100.0	0.002	0.0	0.0	0.007	6.494	7.081	0.543	16.619	8.758	98.701	2.669	0.094	8.119	3.16	100.0	2.134	0.319	4.523	1.676	98.701	2.94	0.13	7.553	2.859	98.701	2.879	0.287	5.422	4.231	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			1.709	0.717	0.062	1.629	1.03	97.403	0.271	0.019	0.574	0.292	90.909	0.999	0.044	2.654	1.255	93.506	0.502	0.0	1.078	0.84	81.818	0.0	0.0	0.0	0.001	1.299	1.217	0.138	2.481	1.097	100.0	1.709	0.244	3.443	1.443	100.0	0.57	0.0	1.072	1.031	84.416	0.274	0.0	0.64	0.409	79.221	0.457	0.0	1.026	0.96	84.416
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			3.929	0.736	0.071	1.436	1.296	98.701	0.945	0.07	2.089	1.036	97.403	0.332	0.0	0.376	1.213	64.935	3.26	0.24	8.277	3.995	98.701	0.001	0.0	0.0	0.007	2.597	2.905	0.091	7.712	3.115	97.403	3.929	0.144	10.052	4.283	97.403	0.953	0.073	2.21	1.015	93.506	2.421	0.148	6.332	3.346	96.104	3.668	0.282	9.722	4.582	97.403
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			4.865	2.985	0.116	7.828	3.683	98.701	3.294	0.102	8.14	3.389	93.506	3.892	0.0	13.502	5.696	84.416	3.591	0.237	8.169	3.672	96.104	0.003	0.0	0.007	0.012	11.688	2.825	0.028	8.04	3.856	94.805	2.133	0.0	4.996	3.023	85.714	4.865	0.088	11.769	5.069	93.506	3.938	0.024	11.631	5.966	92.208	2.639	0.024	7.491	3.218	92.208
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_[F-2]	family			1.202	0.048	0.0	0.029	0.295	23.377	0.007	0.0	0.0	0.029	9.091	0.001	0.0	0.0	0.007	3.896	0.197	0.0	0.095	0.778	27.273	0.0	0.0	0.0	0.002	1.299	1.202	0.0	3.09	2.462	55.844	0.363	0.0	1.013	0.919	38.961	0.112	0.0	0.231	0.259	49.351	0.003	0.0	0.0	0.013	7.792	0.02	0.0	0.039	0.067	19.481
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.202	0.039	0.0	0.087	0.115	37.662	0.02	0.0	0.077	0.045	25.974	0.003	0.0	0.002	0.012	10.39	0.202	0.0	0.588	0.469	45.455	0.0	0.0	0.0	0.0	0.0	0.126	0.0	0.364	0.336	44.156	0.113	0.0	0.371	0.244	40.26	0.044	0.0	0.102	0.189	29.87	0.095	0.0	0.424	0.213	32.468	0.156	0.0	0.526	0.391	40.26
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	family			10.658	2.177	0.212	4.619	2.694	100.0	6.825	1.488	14.598	4.812	100.0	4.641	0.008	14.473	7.101	89.61	10.416	1.918	21.72	7.575	100.0	0.007	0.0	0.034	0.017	16.883	4.181	0.252	11.352	4.704	100.0	1.443	0.032	4.153	2.103	92.208	10.539	4.47	18.927	5.463	98.701	9.414	3.224	16.637	5.236	100.0	10.658	3.318	18.702	6.652	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			9.829	1.385	0.023	2.58	2.968	90.909	0.3	0.0	0.81	0.491	88.312	0.534	0.0	1.48	1.294	67.532	1.723	0.019	4.597	3.023	90.909	0.002	0.0	0.0	0.008	6.494	9.253	1.124	18.48	7.248	98.701	9.829	1.354	17.705	6.686	97.403	1.472	0.14	3.016	1.582	92.208	0.575	0.0	1.375	1.229	81.818	1.15	0.0	3.267	2.509	87.013
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1]	family			12.104	0.384	0.0	0.793	0.72	83.117	0.772	0.045	1.788	0.791	94.805	0.284	0.0	1.118	0.708	51.948	1.895	0.068	5.067	2.701	97.403	0.007	0.0	0.027	0.025	14.286	2.761	0.025	6.317	4.33	92.208	2.22	0.018	6.197	3.213	89.61	12.104	1.314	30.678	12.856	98.701	2.152	0.052	5.768	2.581	92.208	2.366	0.136	6.002	2.508	94.805
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-2]	family			0.135	0.005	0.0	0.0	0.024	6.494	0.006	0.0	0.0	0.041	3.896	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.053	3.896	0.0	0.0	0.0	0.0	0.0	0.135	0.0	0.0	1.063	9.091	0.047	0.0	0.021	0.202	11.688	0.017	0.0	0.025	0.055	10.39	0.002	0.0	0.0	0.013	3.896	0.001	0.0	0.0	0.006	5.195
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	family			0.489	0.274	0.0	0.745	0.596	61.039	0.13	0.0	0.247	0.446	53.247	0.163	0.0	0.188	0.589	32.468	0.026	0.0	0.079	0.06	31.169	0.0	0.0	0.0	0.001	1.299	0.489	0.0	1.218	1.08	63.636	0.484	0.0	1.411	0.76	75.325	0.174	0.0	0.449	0.604	42.857	0.013	0.0	0.035	0.041	20.779	0.038	0.0	0.098	0.118	24.675
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1]	family			0.409	0.016	0.0	0.006	0.063	10.39	0.002	0.0	0.0	0.009	5.195	0.0	0.0	0.0	0.003	1.299	0.026	0.0	0.056	0.103	12.987	0.0	0.0	0.0	0.0	0.0	0.409	0.0	0.253	2.164	14.286	0.088	0.0	0.0	0.492	9.091	0.021	0.0	0.019	0.083	11.688	0.001	0.0	0.0	0.008	3.896	0.002	0.0	0.0	0.009	6.494
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	family			3.371	1.718	0.166	4.198	1.842	100.0	2.688	0.844	5.511	1.78	100.0	3.371	0.017	9.982	4.204	94.805	1.578	0.278	2.988	1.209	100.0	0.003	0.0	0.0	0.013	6.494	0.646	0.103	1.301	0.809	92.208	0.624	0.05	1.517	0.614	98.701	1.539	0.269	3.248	1.252	93.506	2.808	0.765	5.358	1.886	100.0	1.772	0.413	3.64	1.345	98.701
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae	family			8.529	0.243	0.0	0.921	0.422	81.818	0.163	0.0	0.466	0.243	81.818	0.315	0.0	0.184	2.048	46.753	0.031	0.0	0.1	0.065	41.558	0.002	0.0	0.0	0.01	3.896	6.067	0.43	13.251	5.697	96.104	8.529	1.164	17.617	6.172	96.104	0.178	0.0	0.444	0.302	70.13	0.018	0.0	0.065	0.039	32.468	0.191	0.0	0.219	1.165	46.753
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family			0.166	0.006	0.0	0.02	0.018	16.883	0.005	0.0	0.013	0.023	15.584	0.01	0.0	0.0	0.075	6.494	0.002	0.0	0.0	0.012	3.896	0.0	0.0	0.0	0.0	0.0	0.132	0.0	0.393	0.221	70.13	0.166	0.0	0.481	0.247	75.325	0.006	0.0	0.018	0.02	14.286	0.0	0.0	0.0	0.004	1.299	0.002	0.0	0.0	0.015	3.896
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.36	0.025	0.0	0.069	0.056	45.455	0.204	0.0	0.426	0.407	80.519	0.003	0.0	0.0	0.013	7.792	0.357	0.0	0.986	0.447	85.714	0.017	0.0	0.0	0.144	2.597	0.033	0.0	0.12	0.065	33.766	0.013	0.0	0.043	0.029	24.675	0.271	0.0	0.732	0.396	76.623	0.29	0.0	0.796	0.349	88.312	0.36	0.01	0.721	0.508	89.61
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.983	0.094	0.0	0.224	0.182	62.338	0.46	0.036	1.175	0.634	90.909	0.013	0.0	0.021	0.053	16.883	0.561	0.01	1.239	0.894	89.61	0.0	0.0	0.0	0.0	1.299	0.115	0.0	0.257	0.275	55.844	0.027	0.0	0.095	0.054	33.766	0.712	0.0	1.802	0.86	83.117	0.983	0.033	2.758	1.13	90.909	0.84	0.0	2.043	0.965	88.312
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1]	family			0.169	0.007	0.0	0.017	0.024	15.584	0.008	0.0	0.018	0.033	15.584	0.001	0.0	0.0	0.004	2.597	0.002	0.0	0.0	0.007	6.494	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.555	0.389	37.662	0.169	0.0	0.469	0.384	41.558	0.054	0.0	0.148	0.126	40.26	0.001	0.0	0.0	0.006	3.896	0.006	0.0	0.008	0.021	10.39
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.099	0.014	0.0	0.0	0.069	7.792	0.001	0.0	0.0	0.006	2.597	0.0	0.0	0.0	0.002	1.299	0.001	0.0	0.0	0.011	1.299	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.11	0.422	18.182	0.048	0.0	0.042	0.25	15.584	0.004	0.0	0.0	0.025	3.896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium	genus			0.277	0.034	0.0	0.107	0.053	48.052	0.205	0.0	0.503	0.273	84.416	0.005	0.0	0.005	0.017	10.39	0.246	0.0	0.61	0.351	81.818	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.109	0.106	32.468	0.013	0.0	0.029	0.037	19.481	0.177	0.0	0.554	0.236	74.026	0.272	0.0	0.771	0.31	84.416	0.277	0.0	0.588	0.292	84.416
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			1.471	0.252	0.0	0.535	0.769	67.532	0.091	0.0	0.175	0.33	61.039	0.193	0.0	0.322	0.596	53.247	0.21	0.0	0.051	1.702	36.364	0.0	0.0	0.0	0.0	0.0	1.247	0.086	3.17	1.967	97.403	1.471	0.147	2.726	1.953	96.104	0.154	0.0	0.413	0.247	66.234	0.013	0.0	0.04	0.025	29.87	0.024	0.0	0.057	0.046	46.753
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			9.894	3.072	0.163	6.901	3.917	97.403	4.088	0.354	8.862	4.036	98.701	2.145	0.0	7.296	4.674	83.117	6.318	0.116	15.794	8.203	96.104	0.005	0.0	0.0	0.028	9.091	5.699	0.184	14.997	7.719	96.104	6.845	0.334	16.792	7.598	98.701	4.726	0.521	11.534	4.92	98.701	9.894	0.074	28.296	11.373	98.701	6.118	0.143	16.1	8.527	94.805
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			60.54	60.54	37.439	82.77	16.947	100.0	52.254	32.658	76.284	16.791	100.0	60.186	31.231	84.052	20.512	100.0	31.353	8.899	59.628	20.607	100.0	0.071	0.0	0.193	0.103	63.636	15.855	5.316	30.197	11.8	100.0	18.508	8.038	33.761	10.032	100.0	17.656	4.234	31.688	10.892	98.701	25.704	10.171	46.148	13.438	100.0	29.843	9.725	53.691	17.929	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			4.871	0.845	0.0	1.875	2.034	85.714	0.327	0.0	0.878	0.651	76.623	0.07	0.0	0.216	0.107	59.74	0.152	0.0	0.563	0.348	53.247	0.001	0.0	0.0	0.004	2.597	4.075	0.03	12.861	5.88	92.208	4.871	0.029	13.481	6.034	90.909	1.809	0.0	5.145	3.564	83.117	0.038	0.0	0.127	0.087	42.857	0.328	0.0	0.502	1.323	59.74
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			1.906	0.055	0.0	0.127	0.142	37.662	0.039	0.0	0.13	0.08	38.961	0.001	0.0	0.0	0.005	6.494	0.708	0.0	1.196	2.095	80.519	0.0	0.0	0.0	0.003	2.597	1.906	0.0	6.051	3.639	72.727	0.557	0.0	1.797	1.415	49.351	0.243	0.0	0.443	0.754	64.935	0.051	0.0	0.17	0.108	40.26	0.181	0.0	0.409	0.504	50.649
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			6.436	3.396	0.362	8.126	4.437	97.403	2.126	0.248	4.631	3.07	100.0	6.436	0.905	16.64	6.54	100.0	1.928	0.048	4.145	3.136	94.805	0.011	0.0	0.05	0.032	18.182	1.121	0.0	2.739	2.195	81.818	2.161	0.01	3.993	5.76	89.61	2.759	0.163	8.649	4.037	96.104	2.606	0.022	7.745	4.56	93.506	2.641	0.027	4.919	9.301	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			6.841	0.499	0.02	1.378	0.574	90.909	1.126	0.213	2.271	1.021	100.0	1.631	0.0	3.362	4.103	81.818	3.372	0.488	7.604	3.239	100.0	0.001	0.0	0.0	0.008	5.195	2.299	0.274	4.831	1.85	100.0	1.703	0.033	4.47	1.935	94.805	6.841	1.69	12.966	5.173	98.701	3.093	0.403	6.294	2.831	100.0	3.564	0.35	8.06	3.215	98.701
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella	genus			8.117	8.117	1.603	16.411	6.372	100.0	4.522	1.1	10.045	4.487	100.0	5.859	0.608	11.608	4.963	100.0	2.742	0.214	6.141	3.239	100.0	0.003	0.0	0.0	0.012	9.091	0.835	0.072	1.414	1.763	92.208	0.616	0.033	1.209	1.054	94.805	1.03	0.071	1.989	0.951	92.208	1.232	0.148	3.647	1.27	96.104	2.478	0.298	6.696	2.797	98.701
Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae_[G-1]	genus			2.217	0.018	0.0	0.044	0.044	28.571	0.05	0.0	0.107	0.11	46.753	0.003	0.0	0.0	0.012	9.091	0.22	0.0	0.417	0.818	54.545	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.204	0.217	36.364	0.099	0.0	0.289	0.247	36.364	2.217	0.0	6.795	3.884	81.818	0.116	0.0	0.226	0.4	41.558	0.288	0.0	0.569	0.94	51.948
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			1.137	0.175	0.0	0.48	0.213	84.416	0.334	0.032	0.709	0.31	92.208	0.043	0.0	0.107	0.109	46.753	0.813	0.123	1.629	0.748	97.403	0.003	0.0	0.0	0.012	9.091	0.295	0.0	0.872	0.428	77.922	0.303	0.0	0.957	0.524	68.831	0.284	0.0	0.663	0.274	84.416	0.792	0.14	1.468	0.888	98.701	1.137	0.088	2.416	1.331	93.506
Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae_[G-2]	genus			0.163	0.004	0.0	0.013	0.015	12.987	0.012	0.0	0.034	0.022	33.766	0.002	0.0	0.0	0.016	2.597	0.054	0.0	0.167	0.104	45.455	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.007	6.494	0.002	0.0	0.0	0.011	7.792	0.163	0.0	0.583	0.318	57.143	0.041	0.0	0.087	0.105	38.961	0.041	0.0	0.102	0.116	32.468
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-2]	genus			0.78	0.024	0.0	0.069	0.048	36.364	0.133	0.0	0.397	0.303	48.052	0.002	0.0	0.0	0.006	6.494	0.592	0.0	1.47	1.325	57.143	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.006	5.195	0.006	0.0	0.0	0.043	3.896	0.044	0.0	0.16	0.097	28.571	0.503	0.0	1.933	1.284	50.649	0.78	0.0	2.634	1.573	59.74
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.629	0.102	0.0	0.261	0.134	74.026	0.27	0.0	0.628	0.348	87.013	0.008	0.0	0.025	0.028	16.883	0.565	0.067	1.15	0.591	94.805	0.003	0.0	0.0	0.009	9.091	0.02	0.0	0.063	0.054	31.169	0.018	0.0	0.042	0.056	27.273	0.231	0.0	0.47	0.286	87.013	0.566	0.05	1.231	0.519	94.805	0.629	0.036	1.572	0.635	92.208
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.216	1.299	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	1.557	6.494
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-3]	genus			0.129	0.022	0.0	0.073	0.043	38.961	0.032	0.0	0.091	0.094	36.364	0.004	0.0	0.0	0.018	7.792	0.069	0.0	0.168	0.216	40.26	0.0	0.0	0.0	0.0	0.0	0.115	0.0	0.322	0.164	61.039	0.129	0.0	0.432	0.216	50.649	0.053	0.0	0.128	0.166	29.87	0.038	0.0	0.109	0.106	22.078	0.059	0.0	0.082	0.216	23.377
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			2.249	0.149	0.0	0.397	0.232	71.429	0.571	0.091	1.088	0.543	100.0	0.017	0.0	0.058	0.038	35.065	0.973	0.193	1.962	0.733	100.0	0.002	0.0	0.0	0.01	5.195	0.06	0.0	0.172	0.117	50.649	0.054	0.0	0.101	0.14	46.753	2.249	0.313	4.583	2.552	94.805	1.216	0.285	2.443	0.862	97.403	1.222	0.216	3.001	1.067	96.104
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Parvimonas	genus			0.158	0.013	0.0	0.045	0.029	29.87	0.099	0.0	0.337	0.162	59.74	0.004	0.0	0.008	0.02	11.688	0.158	0.0	0.514	0.376	59.74	0.0	0.0	0.0	0.0	0.0	0.104	0.0	0.327	0.187	54.545	0.016	0.0	0.058	0.033	28.571	0.065	0.0	0.224	0.13	45.455	0.119	0.0	0.434	0.241	49.351	0.1	0.0	0.238	0.269	49.351
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.3	0.037	0.0	0.106	0.081	40.26	0.214	0.0	0.514	0.291	76.623	0.005	0.0	0.015	0.017	11.688	0.209	0.0	0.543	0.303	76.623	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.093	0.121	27.273	0.011	0.0	0.028	0.035	16.883	0.3	0.0	0.83	0.541	63.636	0.147	0.0	0.343	0.154	74.026	0.224	0.0	0.578	0.258	76.623
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			1.684	0.025	0.0	0.078	0.054	35.065	0.014	0.0	0.045	0.032	28.571	0.002	0.0	0.0	0.009	5.195	0.228	0.0	0.494	0.671	55.844	1.684	0.0	4.085	5.513	35.065	0.255	0.0	0.657	0.484	61.039	0.068	0.0	0.186	0.187	31.169	0.136	0.0	0.348	0.189	61.039	0.007	0.0	0.019	0.023	15.584	0.072	0.0	0.145	0.221	38.961
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.678	0.045	0.0	0.111	0.097	44.156	0.21	0.0	0.614	0.316	75.325	0.004	0.0	0.003	0.015	10.39	0.366	0.0	1.033	0.508	74.026	0.0	0.0	0.0	0.002	1.299	0.024	0.0	0.029	0.106	14.286	0.006	0.0	0.0	0.03	7.792	0.678	0.0	1.549	0.915	85.714	0.416	0.0	1.118	0.566	80.519	0.627	0.0	1.573	0.783	83.117
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			2.952	0.075	0.0	0.221	0.099	57.143	0.236	0.0	0.523	0.384	79.221	0.044	0.0	0.089	0.133	32.468	0.77	0.011	2.171	1.382	89.61	0.0	0.0	0.0	0.004	1.299	1.221	0.0	3.274	1.893	83.117	0.91	0.0	2.368	1.662	79.221	2.952	0.227	7.698	3.389	97.403	0.351	0.0	0.761	0.854	75.325	1.096	0.0	2.337	1.6	88.312
