Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev	NS-mean	NS-sd	NS-prev
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			9.427	1.63	2.04	100	1.84	4.058	100	1.497	2.679	97.222	3.935	5.424	100	4.783	8.055	100	9.427	9.649	100	1.545	2.219	97.222	4.725	8.5	100	4.321	5.216	100	0.009	0.028	15
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.898	0.168	0.512	88.235	0.285	0.672	82.143	0.124	0.418	58.333	0.218	0.445	77.419	0.317	0.95	94.286	0.165	0.196	85.294	0.156	0.34	63.889	0.406	0.825	73.529	0.898	2.204	84.848	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix	genus			0	0	0.001	2.941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.778	0	0	0	0	0.001	3.03	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	2.941	0	0	2.778	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	genus			0	0	0	0	0	0	0	0	0	0	0	0.001	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola	genus			0.004	0.002	0.005	14.706	0	0.001	14.286	0	0.001	5.556	0.001	0.003	16.129	0.004	0.016	17.143	0.002	0.012	8.824	0	0.001	11.111	0	0.001	5.882	0.002	0.013	9.091	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			6.215	1.59	2.21	100	3.445	6.796	96.429	1.302	2.2	100	3.211	5.161	100	2.618	4.931	100	2.089	2.946	97.059	6.215	8.293	97.222	1.951	2.833	100	1.902	3.04	100	0.014	0.033	25
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_[F-2];Bacteroidales_[G-2]	genus			1.338	0.052	0.118	61.765	0.008	0.012	50	0.032	0.138	36.111	0.01	0.026	45.161	1.338	3.962	74.286	0.28	0.544	70.588	0.011	0.018	58.333	0.001	0.002	26.471	0.015	0.048	51.515	0	0	0
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3]	genus			0.088	0.004	0.014	17.647	0.001	0.003	17.857	0.001	0.005	2.778	0.088	0.359	29.032	0.007	0.028	25.714	0.003	0.015	17.647	0.002	0.006	16.667	0	0.001	5.882	0.011	0.033	24.242	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.029	0	0	0	0	0	3.571	0	0	2.778	0.029	0.16	6.452	0	0.001	8.571	0	0	0	0	0	0	0	0	0	0	0.001	3.03	0.001	0.004	5
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.557	0.127	0.277	76.471	0.061	0.138	57.143	0.208	0.953	66.667	0.129	0.414	70.968	0.42	1.13	91.429	0.557	0.832	88.235	0.081	0.139	69.444	0.101	0.326	70.588	0.113	0.248	75.758	0	0.002	5
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			17.071	3.791	4.58	100	8.669	8.392	100	3.015	5.461	100	16.055	11.911	100	7.388	8.656	100	2.758	3.828	100	12.126	12.098	100	13.714	10.874	100	17.071	10.143	100	0.039	0.083	30
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			1.757	0.264	0.437	94.118	0.516	1.082	96.429	0.878	1.828	91.667	1.757	2.881	100	0.306	0.992	97.143	0.107	0.285	70.588	0.684	1.137	91.667	0.381	0.555	100	1.066	1.001	100	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	genus			0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.003	5
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.15	0.053	0.077	94.118	0.044	0.047	89.286	0.04	0.08	88.889	0.016	0.019	83.871	0.134	0.453	100	0.15	0.166	97.059	0.033	0.039	91.667	0.022	0.025	73.529	0.025	0.076	75.758	0	0	0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			8.11	0.377	0.551	94.118	0.897	2.784	96.429	0.478	0.975	100	0.224	0.401	93.548	4.417	5.764	100	8.11	6.214	100	0.401	0.629	94.444	0.462	1.33	91.176	0.486	1.029	90.909	0.003	0.013	5
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter	genus			0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.857	0	0	0	0	0	0	0	0	0	0	0.001	3.03	0.001	0.002	15
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	5
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	genus			0.06	0	0.001	2.941	0	0.002	3.571	0	0	0	0.06	0.335	3.226	0.001	0.009	2.857	0	0	0	0	0	2.778	0	0	0	0	0.001	12.121	0	0	0
Bacteria;Absconditabacteria_(SR1);Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1];Absconditabacteria_(SR1)_[G-1]	genus			0.604	0.029	0.051	52.941	0.046	0.109	53.571	0.073	0.159	50	0.604	1.4	64.516	0.209	1.407	57.143	0.059	0.16	55.882	0.329	1.051	63.889	0.106	0.379	55.882	0.364	0.839	63.636	0	0	0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1]	genus			3.519	0.336	0.757	100	0.197	0.334	89.286	0.398	0.836	86.111	0.619	1.267	100	3.519	5.407	100	2.265	3.619	97.059	0.672	2.202	97.222	0.412	0.591	100	0.673	1.082	100	0.003	0.009	10
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-2]	genus			0.135	0.004	0.015	17.647	0	0.002	7.143	0.005	0.02	11.111	0.001	0.002	12.903	0.135	0.475	40	0.057	0.184	29.412	0.002	0.008	13.889	0	0	2.941	0.001	0.002	9.091	0	0	0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-3]	genus			0.059	0.023	0.038	73.529	0.014	0.023	75	0.033	0.081	27.778	0.04	0.048	93.548	0.028	0.082	65.714	0.044	0.09	58.824	0.059	0.077	88.889	0.026	0.04	82.353	0.058	0.065	90.909	0	0	0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Dermabacter	genus			0.008	0	0	2.941	0	0	3.571	0	0	0	0	0	0	0	0.001	2.857	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.024	20
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-4]	genus			0.055	0.001	0.005	11.765	0	0.002	7.143	0.001	0.007	16.667	0.055	0.227	9.677	0.009	0.033	31.429	0.006	0.017	32.353	0.001	0.002	8.333	0	0	0	0.007	0.038	6.061	0	0	0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-2];Saccharibacteria_(TM7)_[G-5]	genus			0.849	0.037	0.127	50	0.01	0.024	32.143	0.006	0.015	38.889	0.048	0.255	25.806	0.849	2.626	51.429	0.505	2.319	50	0.005	0.008	47.222	0.001	0.003	14.706	0.002	0.004	30.303	0	0	0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Pyramidobacter	genus			0.004	0.001	0.004	14.706	0	0.002	3.571	0	0	0	0	0	3.226	0	0.001	5.714	0.004	0.022	2.941	0	0.001	8.333	0	0.001	2.941	0.001	0.003	6.061	0	0	0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Fretibacterium	genus			0.392	0.031	0.078	35.294	0.008	0.021	25	0.004	0.013	25	0.07	0.277	41.935	0.392	1.2	57.143	0.02	0.044	47.059	0.006	0.012	36.111	0.001	0.003	14.706	0.008	0.019	36.364	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae_[G-3]	genus			0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.003	3.03	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.22	0.217	0.356	76.471	0.151	0.282	78.571	0.066	0.128	63.889	0.076	0.334	61.29	0.097	0.221	71.429	0.22	0.396	70.588	0.082	0.167	75	0.031	0.109	55.882	0.019	0.038	63.636	0.007	0.02	15
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.118	0	0	2.941	0	0	0	0	0	0	0.118	0.654	6.452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineae_[G-1]	genus			0.013	0.001	0.003	11.765	0	0.002	7.143	0	0.002	2.778	0	0.001	16.129	0.013	0.065	20	0.001	0.002	14.706	0	0.002	8.333	0	0.001	2.941	0	0.001	3.03	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.96	0.772	2.5	91.176	0.586	1.697	100	0.279	0.751	91.667	0.123	0.282	80.645	0.928	1.655	91.429	0.96	1.912	94.118	0.227	0.506	83.333	0.052	0.129	61.765	0.146	0.595	78.788	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.013	0.003	0.011	20.588	0.005	0.017	14.286	0	0.001	5.556	0	0.001	3.226	0.007	0.036	17.143	0.001	0.003	8.824	0.003	0.022	11.111	0	0	0	0.013	0.073	6.061	0	0.001	10
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	5.714	0	0	0	0	0	2.778	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-5]	genus			0.079	0.042	0.14	17.647	0.015	0.05	17.857	0.003	0.015	8.333	0.015	0.043	19.355	0.079	0.34	17.143	0.001	0.002	11.765	0.006	0.023	16.667	0.001	0.002	8.824	0.005	0.017	21.212	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-3]	genus			0.001	0	0.001	5.882	0	0	0	0	0.001	2.778	0	0.001	6.452	0.001	0.007	5.714	0	0	0	0	0.001	5.556	0	0	0	0	0	3.03	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae_[G-8]	genus			0.029	0.016	0.066	20.588	0.003	0.009	25	0.002	0.008	8.333	0.005	0.016	19.355	0.029	0.088	40	0.002	0.012	14.706	0.004	0.008	22.222	0	0.001	5.882	0.006	0.016	30.303	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes_[O-1];Mollicutes_[F-1];Mollicutes_[G-1]	genus			0.002	0.002	0.01	2.941	0	0	0	0	0.002	2.778	0	0.003	3.226	0	0.001	2.857	0	0	0	0	0	2.778	0	0	0	0	0.002	3.03	0	0	0
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-5]	genus			0.093	0.007	0.028	26.471	0.002	0.009	10.714	0.002	0.006	16.667	0.019	0.065	29.032	0.093	0.424	37.143	0.006	0.024	20.588	0.001	0.004	19.444	0	0.001	2.941	0.004	0.009	21.212	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter	genus			0.002	0	0	0	0	0	0	0	0	0	0.002	0.009	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	3.03	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			2.553	1.064	0.726	100	1.74	0.843	100	2.552	3.738	100	2.145	3.721	100	0.835	0.924	100	1.078	1.458	100	2.553	2.015	100	1.92	1.602	100	1.408	1.399	100	0.018	0.047	20
Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter	genus			0.004	0	0.001	5.882	0	0.001	7.143	0	0.001	2.778	0	0.001	6.452	0.004	0.024	11.429	0	0	0	0	0.001	8.333	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor	genus			0.206	0.032	0.105	29.412	0.011	0.036	32.143	0.003	0.013	13.889	0.206	0.691	38.71	0.103	0.397	37.143	0.002	0.007	20.588	0.004	0.011	25	0.001	0.002	11.765	0.016	0.042	30.303	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus			0.103	0.003	0.005	50	0.017	0.047	46.429	0.002	0.006	38.889	0.003	0.016	12.903	0.076	0.199	85.714	0.103	0.139	88.235	0.003	0.005	33.333	0	0.001	5.882	0.004	0.024	15.152	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	genus			0	0	0	2.941	0	0	0	0	0	2.778	0	0	3.226	0	0	5.714	0	0	0	0	0	0	0	0	2.941	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-9]	genus			0.517	0.055	0.127	61.765	0.028	0.064	50	0.012	0.03	50	0.229	0.614	67.742	0.517	1.13	85.714	0.088	0.203	64.706	0.022	0.053	50	0.002	0.004	29.412	0.049	0.139	60.606	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Afipia	genus			0.026	0	0	0	0	0	0	0	0.001	2.778	0.026	0.144	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.003	0	0	2.941	0	0.002	3.571	0	0.001	2.778	0	0	0	0	0.001	2.857	0.001	0.003	8.824	0	0	2.778	0	0	0	0	0	0	0.003	0.012	5
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Eggerthia	genus			0.005	0.003	0.011	14.706	0.001	0.003	17.857	0.001	0.003	8.333	0.005	0.014	16.129	0	0	2.857	0.002	0.009	5.882	0.002	0.007	11.111	0	0	2.941	0.001	0.004	12.121	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0	0	0	0	0	0	0	0	0	0	0	0.001	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	5
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	genus			0.035	0	0.002	8.824	0	0.001	7.143	0	0.001	5.556	0.035	0.192	6.452	0.001	0.004	14.286	0	0.002	2.941	0	0	0	0	0	2.941	0	0.001	3.03	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium	genus			0.009	0.001	0.003	20.588	0	0.001	7.143	0	0	0	0	0	3.226	0.009	0.026	40	0.003	0.01	20.588	0.001	0.003	22.222	0	0	2.941	0	0.001	12.121	0	0	0
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			0	0	0	0	0	0.001	3.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.001	0	0.001	14.706	0	0.001	14.286	0.001	0.002	8.333	0	0	3.226	0.001	0.003	11.429	0	0.001	2.941	0	0	0	0	0	0	0.001	0.002	12.121	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia	genus			0.009	0.001	0.003	11.765	0	0.001	7.143	0.001	0.004	16.667	0.001	0.003	25.806	0.009	0.035	40	0.001	0.003	8.824	0.002	0.004	22.222	0.001	0.002	17.647	0.001	0.002	24.242	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	genus			0.038	0.004	0.01	23.529	0.001	0.002	21.429	0.001	0.004	11.111	0.038	0.082	25.806	0.005	0.018	31.429	0.002	0.007	26.471	0.003	0.01	25	0.001	0.002	11.765	0.002	0.007	18.182	0	0	0
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	genus			0.119	0.012	0.03	41.176	0.008	0.019	35.714	0.003	0.007	25	0.119	0.399	58.065	0.018	0.047	45.714	0.008	0.015	41.176	0.007	0.017	44.444	0.002	0.006	17.647	0.013	0.028	39.394	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea	genus			0	0	0	2.941	0	0	0	0	0	0	0	0	0	0	0	2.857	0	0	0	0	0	0	0	0.001	2.941	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Rhodopseudomonas	genus			0	0	0	0	0	0.001	3.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.778	0	0	0	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasmopsis	genus			0.002	0	0	0	0	0	0	0	0	0	0.002	0.009	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aquamicrobium	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia	genus			0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.231	50
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae_[G-6]	genus			0.117	0.025	0.111	20.588	0.005	0.017	21.429	0.001	0.002	16.667	0.117	0.411	29.032	0.033	0.201	28.571	0.005	0.031	2.941	0.002	0.006	19.444	0.001	0.002	8.824	0.008	0.026	24.242	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium	genus			0.002	0	0	0	0	0	0	0	0	0	0.002	0.007	6.452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.584	0.04	0.047	79.412	0.128	0.167	89.286	0.317	0.904	55.556	0.26	0.399	96.774	0.12	0.297	80	0.082	0.273	70.588	0.584	0.782	97.222	0.524	0.808	97.059	0.355	0.607	100	0.002	0.007	5
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella	genus			1.564	0.001	0.004	17.647	1.564	4.615	25	0.006	0.025	19.444	0.001	0.003	22.581	0	0.002	2.857	0	0.002	2.941	0.001	0.002	13.889	0.001	0.007	8.824	0.003	0.006	21.212	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium	genus			0	0	0.003	2.941	0	0	3.571	0	0	0	0	0	0	0	0.001	2.857	0	0	0	0	0.001	2.778	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	genus			0.001	0	0.001	2.941	0	0	3.571	0	0	2.778	0	0.002	3.226	0	0.002	5.714	0	0.001	2.941	0	0	0	0	0.001	2.941	0.001	0.002	9.091	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	genus			0	0	0	2.941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda	genus			0.006	0.002	0.007	14.706	0	0.001	3.571	0	0.001	8.333	0.001	0.002	12.903	0.006	0.016	42.857	0.006	0.022	20.588	0	0.001	5.556	0	0	0	0.003	0.009	24.242	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus	genus			0.005	0	0	0	0.005	0.026	3.571	0	0	0	0	0.001	3.226	0	0.001	11.429	0	0	0	0	0	2.778	0	0	2.941	0	0	0	0	0	0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Jonquetella	genus			0.002	0	0	0	0	0	0	0	0	0	0.002	0.011	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.006	3.03	0	0	0
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilaceae_[G-2]	genus			0	0	0	2.941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.941	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.005	0	0.003	2.941	0	0	3.571	0	0.002	5.556	0	0.001	3.226	0	0.001	8.571	0	0	2.941	0.001	0.004	11.111	0	0	2.941	0	0.002	6.061	0.005	0.017	15
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella	genus			0	0	0	0	0	0	0	0	0	0	0	0.001	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.941	0	0	0	0	0	2.941	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			0.326	0	0	0	0	0	0	0	0	0	0.043	0.239	6.452	0	0	5.714	0	0	0	0	0	0	0	0	0	0	0	0	0.326	0.728	55
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Fannyhessea	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	5.556	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	genus			0	0	0	0	0	0.001	3.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	genus			0	0	0	0	0	0	0	0	0	2.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.778	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Mobiluncus	genus			0.002	0	0.001	2.941	0.001	0.003	10.714	0	0	0	0.001	0.003	16.129	0	0	0	0	0	0	0.001	0.004	13.889	0	0	0	0.002	0.007	9.091	0	0	0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.004	0	0	0	0	0	0	0	0	0	0.004	0.014	12.903	0	0.001	2.857	0	0.001	2.941	0	0	2.778	0	0	0	0.002	0.007	9.091	0.001	0.004	10
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Kytococcaceae;Kytococcus	genus			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.857	0	0	0	0	0	2.778	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.023	0	0	5.882	0	0.001	7.143	0	0.001	5.556	0.023	0.128	6.452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.061	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera	genus			0	0	0	0	0	0	0	0	0	2.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-6]	genus			0.064	0.016	0.051	44.118	0.037	0.164	53.571	0.007	0.012	36.111	0.044	0.093	61.29	0.007	0.027	34.286	0.037	0.083	41.176	0.024	0.049	63.889	0.022	0.044	58.824	0.064	0.149	72.727	0	0	0
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1];Gracilibacteria_(GN02)_[F-1];Gracilibacteria_(GN02)_[G-1]	genus			0.105	0.004	0.007	29.412	0.007	0.021	25	0.001	0.005	22.222	0	0.002	9.677	0.105	0.62	57.143	0.084	0.174	58.824	0.003	0.011	25	0	0	5.882	0.001	0.002	24.242	0	0	0
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-2];Gracilibacteria_(GN02)_[O-2];Gracilibacteria_(GN02)_[F-2];Gracilibacteria_(GN02)_[G-2]	genus			0.002	0	0	0	0	0.001	3.571	0	0.003	2.778	0	0	3.226	0	0	0	0.002	0.011	8.824	0	0.001	8.333	0	0	0	0	0.001	3.03	0	0	0
