Assembly,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Sequence_Type,Genotype,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
GCF_002625565.1,,"Farren,J.M., Feneis,A.M., Firkus,N.C., Flanders,A.H., Ford,M.A., Greenwaldt,M.E., Htoo,L.P., Johnson,E.S., Kubacki,D.C., Lee,D.S., Revie,H.B., Rossin,C., Schommer,E.M., Schroeder,K.A., Struss,M.J., Tarras,A.R., Troje,M.P., Urick,M.N., Williams,B.R., Witt,A.Y., Bonilla,J.A., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2019-05-02T17:04:46.333Z,Arthrobacter virus Beans,Marthavirus,Myoviridae,dsDNA,RefSeq,,,"USA: River Falls, WI",WI,Arthrobacter sp. ATCC 21022,,2016-10-01,,ASM262556v1
GCF_002625365.1,,"Yang,Z., Yin,S., Jiang,B., Huang,G., Peng,Y.",2019-05-02T17:04:42.137Z,Acinetobacter virus AbP2,Obolenskvirus,Myoviridae,dsDNA,RefSeq,,,,,Acinetobacter baumannii,,,,ASM262536v1
GCF_002625205.1,,"Midani,A.R., Park,S.-H., Choi,T.-J.",2019-05-02T17:04:37.430Z,Acidovorax virus ACP17,Busanvirus,Myoviridae,dsDNA,RefSeq,,,,,Acidovorax citrulli,,,,ASM262520v1
GCF_002625165.1,,"Chen,B., Salmond,G.P.C., Akusobi,C., Fang,X.",2019-05-02T17:04:31.877Z,Serratia virus CHI14,Winklervirus,Myoviridae,dsDNA,RefSeq,,,United Kingdom,,Serratia sp. ATCC 39006,,2013-03-01,,ASM262516v1
GCF_002625025.1,,"Shahin,K., Bouzari,M., Wang,R.",2019-05-02T17:04:27.857Z,Shigella virus ISF002,Tunavirus,Drexlerviridae,dsDNA,RefSeq,,1,Iran,,Shigella sonnei,,2015-04-01,,ASM262502v1
GCF_002625005.1,,"Wojtus,J.K., Fitch,J.L., Christian,E., Dalefield,T., Lawes,J.K., Kumar,K., Peebles,C.L., Altermann,E., Hendrickson,H.L.",2019-05-02T17:04:22.430Z,Pseudomonas virus Noxifer,Noxifervirus,Myoviridae,dsDNA,RefSeq,,,New Zealand,,Pseudomonas fluorescens SBW25,,2013-06-01,,ASM262500v1
GCF_002624925.1,,"Hatfull,G.F., Makume,M., Bowman,C.A., Mitchell,K.F., Tse,E.S., Atkison,C.S., Baier,J.S., Bott,B.K., Buck,B.D., Corlew,M., Foley,A.M., Gleicher,R., Glennon,S.A., Gordinier,J.K., Harrington,C.A., Hauser,D.L., Howard,C.R., Jensen,C.D., Kessler,E.M., Kurtz,C.J., Offner,S., Perkins,S.L., Peterson,T.A., Radzik,K.J., Robinson,P.M., Ruehr,M.L., Seemueller,C.M., Shepley,B.A., Shipley,G.C., Van Hoeck,K., VanderKruik,E.F., Wells,N.E., Ko,C., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2019-05-02T17:04:18.167Z,Mycobacterium virus Sebata,Bixzunavirus,Myoviridae,dsDNA,RefSeq,,1,"South Africa: Zimbali Game Reserve, Kwazulu-Natal",,Mycolicibacterium smegmatis MC2 155,,2008-07-01,,ASM262492v1
GCF_002624885.1,,"Kang,H.W., Kim,J.W., Jung,T.S., Woo,G.J.",2019-05-02T17:04:12.557Z,Salmonella virus wksl3,Jerseyvirus,Siphoviridae,dsDNA,RefSeq,,1,,,Salmonella,,,,ASM262488v1
GCF_002624865.1,,"Anany,H., Kropinski,A.M., Griffiths,M.W.",2019-05-02T17:04:08.493Z,Salmonella virus AG11,Jerseyvirus,Siphoviridae,dsDNA,RefSeq,,,Canada,,Salmonella enterica subsp. enterica serovar Enteritidis,,2007,,ASM262486v1
GCF_002624805.1,,"Liu,X., Liu,H., Li,J.",2019-05-02T17:04:02.957Z,Escherichia virus ST0,Mosigvirus,Myoviridae,dsDNA,RefSeq,,,,,Escherichia coli H8,,,,ASM262480v1
GCF_002624785.1,,"Hatfull,G.F., Sheide,M.G., Fisher,J.N., Lunt,B.L., Smith,K.C., Taylor,M.A., Baker,B., Barrus,E.Z., Brighton,A.K., Chapman,K.M., Drake,E.A., Jackson,K.R., Kartchner,B.J., Kiser,C.D., Kiser,J.T., Kitchen,J.C., McDaniel,S.W., Ormsby,W.R., Parker,M., Steck,R.P., Vance,K.S., Breakwell,D.P., Burnett,S.H., Grose,J.H., Wang,X., Crowell,R., Burke,M., Wright,G.M., Gregory,S.G., Colman,S.D., Bradley,K.W., Khaja,R., Lewis,M.F., Barker,L.P., Jordan,T.C., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2019-05-02T17:03:58.620Z,Mycobacterium virus Shauna1,Cheoctovirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Orem, UT",UT,Mycolicibacterium smegmatis MC2 155,,2010-10-01,,ASM262478v2
GCF_002624765.1,,"Hatfull,G.F., Cardella,F., Kantor,K., Kerley,A.A., Meeks,L.G., Morris,A.D., Richardson,K., Ridlon,E.P., Scholtes,P.A., Travis,D., Westfall,S.B., Zackowski,J.L., Wang,H.-Y., Williams,D., Anderson,J.J., Padolina,J., Johnson,A.A., Serrano,M.G., Lee,V., Hendricks,S.L., Sheth,N.U., Buck,G.A., Bradley,K.W., Khaja,R., Lewis,M.F., Barker,L.P., Jordan,T.C., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2019-05-02T17:03:53.600Z,Mycobacterium virus Shilan,Cheoctovirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Richmond, VA",VA,Mycolicibacterium smegmatis MC2 155,,2009-10-01,,ASM262476v1
GCF_002624745.1,,"Pope,W.H., Ferreira,C.M., Jacobs-Sera,D., Benjamin,R.C., Davis,A.J., Dejong,R.J., Elgin,S.C., Guilfoile,F.R., Forsyth,M.H., Harris,A.D., Harvey,S.E., Hughes,L.E., Hynes,P.M., Jackson,A.S., Jalal,M.D., Macmurray,E.A., Manley,C.M., McDonough,M.J., Mosier,J.L., Osterbann,L.J., Rabinowitz,H.S., Rhyan,C.N., Russell,D.A., Saha,M.S., Shaffer,C.D., Simon,S.E., Sims,E.F., Tovar,I.G., Weisser,E.G., Wertz,J.T., Weston-Hafer,K.A., Williamson,K.E., Zhang,B., Cresawn,S.G., Jain,P., Piuri,M., Jacobs,W.R. Jr., Hendrix,R.W., Hatfull,G.F., Nikolai,P., Williams,P.E., Ko,C.",2019-05-02T17:03:47.673Z,Mycobacterium virus Sirduracell,Kostyavirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Troy, IL",IL,Mycolicibacterium smegmatis MC2 155,,2007-09-17,,ASM262474v1
GCF_002624725.1,,"Hatfull,G.F., Korber,J., Adams,S.D., Austriaco,N., Awdziejczyk,L.A., Balish,M.F., Ball,S.L., Barbazuk,W.B., Barrera,A.L., Blumer,L.S., Bollivar,D.W., Borges,K.M., Braun,E.L., Breitenberger,C.A., Caldararo,M.D., Carter,P.A., Cornely,K.A., Cote,P.A., Cox,K.E., Damiani,T.L., Daniels,C.J., Delesalle,V.A., Dong,L., Dorit,R.L., Dovalina,S.A., Edgington,N.P., Fisher,E.J., Fleming,R.J., Guardiola-Diaz,H.M., Hammonds-Odie,L.P., Hatherill,J.R., Hayden,K.J., Hutchison,K.W., Janssen,G.R., Klobucher,T.V., Korey,C.A., Krukonis,G.P., Laferriere,H.J., Matocha,J.L., Micheletti,S.J., Molloy,S.D., Monsen-Collar,K.J., Page,S.T., Peister,A., Pfaffle,P.K., Ream,D.C., Reyna,N.S., Ross,J.F., Sabo,J.L., Sanders,L.E., Saunders,L.J., Scherer,A.E., Schildbach,J.F., Selva,S.B., Spencer,J.M., Stanton,J.D., Straszewski,A.J., Sullivanii,L.T., Tarbox,B.P., Taylor,S.E., Thompson,J.L., Tobiason,D.M., Walker,L.M., Warren,D.E., Westholm,D.E., Wilson,J., Wolyniak,M.J., Zegers,G.P., Zhang,D., Asai,D.J., Barker,L.P., Bradley,K.W., Khaja,R., Lewis,M.F., Cresawn,S.G., Bowman,C.A., Pope,W.H., Russell,D.A., Jacobs-Sera,D., Hendrix,R.W.",2019-05-02T17:03:43.337Z,Mycobacterium virus Spartacus,Cheoctovirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Hampton Township, PA",PA,Mycolicibacterium smegmatis MC2 155,,2009-09-15,,ASM262472v1
GCF_002624705.1,,"Hatfull,G.F., Zupancic,J.L., Bowman,C.A., Fritz,M.J., Ko,C., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2019-05-02T17:03:37.357Z,Mycobacterium virus Switzer,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Pittsburgh, PA",PA,Mycolicibacterium smegmatis MC2 155,,2005-09-01,,ASM262470v1
GCF_002624665.1,,"Hersh,A.R., Dasenko,M.A., Denver,D.R., Garcia-Ruiz,H., Hoyer,J.S., Jogdeo,S., Sullivan,C.M., Peterson,M.R., Rowley,E.R., Schnitzler,C.E., Taylor,B.J., Vining,K.J., Almabruk,K.H., Banawas,S., Beatty,C., Bullock,C.J., Cappellazzi,J.E., Chagani,S.E., Chatterjee,P., Cram,E.D., Elorriaga,M.E., Esser,M., Fellows,E.J., Garcia,G.R., Gullaba,J.M., Kinsley,M.A., Luo,F., Mcginnis,M., Paquette,C.E., Reddekopp,R.L., Rosen,K.L., Sahlfeld,L.M., Vondras,A.M., Wang,J.X., Weiss,E.S., Wernick,R., Abuelizz,H.A., Amaro,Y., Archer,C.L., Basu,A., Bellinger,M.R., Johnson,S.F., Kitchen,S.A., Li,M., Morey-Castro,K.E., Lavalleur,H.J., Rangel,L.J., Ree,J.F., Shay,S.D., Sheng,Y., Smyth,J.C., Stamm,E.A., Taylor,C.R., Vining,O.B., Wanzeck,K.M., Watson,G., Bruck,A.J., Bradley,K.W., Khaja,R., Lewis,M.F., Barker,L.P., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2019-05-02T17:03:32.553Z,Mycobacterium virus Tiger,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Corvallis, OR",OR,Mycolicibacterium smegmatis MC2 155,,2010-10-01,,ASM262466v1
GCF_002624645.1,,"Hatfull,G.F., Berwick,W.L., Chempanal,B.J., Church,J.E., Current,K.M., Diaz,C.V., Harris,D.J., Harvey,E.L., Konda,M.K., Nguyen,C.Q., Ramos,M.L.L., Reyes,K.A., Sabzghabaei,D.R., Schade,A.E., Seger,E.J., Smith,T.A., Stoker,S.A., Wamsley,A.G., Watkins,C.S., Simon,S.E., Hughes,L.E., Benjamin,R.C., Wang,X., Crowell,R., Burke,M., Wright,G.M., Gregory,S.G., Colman,S.D., Bradley,K.W., Khaja,R., Lewis,M.F., Barker,L.P., Jordan,T.C., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2019-05-02T17:03:27.940Z,Mycobacterium virus Timshel,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Denton, TX",TX,Mycolicibacterium smegmatis MC2 155,,2010-10-01,,ASM262464v1
GCF_002624625.1,,"Kapyur,S.N., Walstead,R.N., Rubia,G.C., Anderson,J., Campbell,R.A., Williamson,S.M., Padolina,J., Johnson,A., Serrano,M.G., Lee,V., Hendricks,S.L., Voegtly,L.J., Glascock,A.L., Carvalho,M.Ruth., Buck,G.A., Bradley,K.W., Khaja,R., Lewis,M.F., Barker,L.P., Jordan,T.C., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2019-05-02T17:03:22.993Z,Mycobacterium virus Twister,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Santa Fe Springs, CA",CA,Mycolicibacterium smegmatis MC2 155,,2011-10-01,,ASM262462v1
GCF_002624545.1,,"Retamales,J., Vasquez,I., Santos,L., Segovia,C., Ayala,M., Alvarado,R., Nunez,P., Santander,J., Vasquez,J.I., Olave,I., Santander,J.A.",2019-05-02T17:03:18.120Z,Xanthomonas virus f30,Pradovirus,Autographiviridae,dsDNA,RefSeq,,1,"Chile: VIII region, Bio-Bio",,Xanthomonas arboricola,plant leaf,2014,SAMN04420467,ASM262454v1
GCF_002624525.1,,"Retamales,J., Vasquez,I., Santos,L., Segovia,C., Ayala,M., Alvarado,R., Nunez,P., Santander,J., Vasquez,J.I., Olave,I., Santander,J.A.",2019-05-02T17:03:12.897Z,Xanthomonas virus f20,Pradovirus,Autographiviridae,dsDNA,RefSeq,,1,"Chile: VIII region, Bio-Bio",,Xanthomonas arboricola,plant leaf,2014,SAMN04420465,ASM262452v1
GCF_002624505.1,,"Mijalis,E.M., Lessor,L.E., Cahill,J.L., Rasche,E.S., Kuty Everett,G.F., Everett,G.F.K.",2019-05-02T17:03:07.117Z,Klebsiella virus Miro,Slopekvirus,Myoviridae,dsDNA,RefSeq,,1,,,Klebsiella pneumoniae,,,,ASM262450v1
GCF_002624485.1,,"Zhao,X.",2019-05-02T17:03:02.530Z,Enterobacter virus Eap3,Slopekvirus,Myoviridae,dsDNA,RefSeq,,,,,Klebsiella aerogenes,,,,ASM262448v1
GCF_002624465.1,,"Cowley,L.A., Beckett,S.J., Chase-Topping,M., Perry,N., Dallman,T.J., Gally,D.L., Jenkins,C.",2019-05-02T17:02:58.307Z,Escherichia virus TP1,Felixounavirus,Myoviridae,dsDNA,RefSeq,,1,,,Escherichia coli O157:H7,,,,ASM262446v1
GCF_002624445.1,,"Born,Y., Fieseler,L., Marazzi,J., Lurz,R., Duffy,B., Loessner,M.J.",2019-05-02T17:02:53.760Z,Erwinia virus M7,Kolesnikvirus,Myoviridae,dsDNA,RefSeq,,1,,,Erwinia amylovora,,,,ASM262444v1
GCF_002624425.1,,"Guan,J., Snowden,J.D., Cahill,J.L., Rasche,E.S., Kuty Everett,G.F., Everett,G.F.K.",2019-05-02T17:02:49.223Z,Citrobacter virus Mordin,Mooglevirus,Myoviridae,dsDNA,RefSeq,,1,,,Citrobacter freundii,,,,ASM262442v1
GCF_002624405.1,,"Sheflo,M.A., Gardner,A.V., Merrill,B.D., Fisher,J.N., Lunt,B.L., Breakwell,D.P., Grose,J.H., Burnett,S.H., Kennedy,A.K., Beckstead,A.P., Russell,R.C., Merrill,C.M., Zimmerman,L.J.",2019-05-02T17:02:44.687Z,Brevibacillus virus Jimmer,Jimmervirus,Myoviridae,dsDNA,RefSeq,,1,USA,,Brevibacillus laterosporus,,2011-04-22,,ASM262440v1
GCF_002624385.1,,"Sharma,R., Grossarth,S.E., Foy,B., Harbaugh,K., Ingersoll,K., Berg,J.A., Jarvis,T.M., Esplin,I.N.D., Merrill,B.D., Schoenhals,J., Breakwell,D.P., Hope,S., Grose,J.H.",2019-05-02T17:02:40.113Z,Erwinia virus SpecialG,Agricanvirus,Myoviridae,dsDNA,RefSeq,,,USA,,Erwinia amylovora,plant stem,,,ASM262438v1
GCF_002624365.1,,"Sharma,R., Simister,A.R., Berg,J.A., Jensen,G.L., Keele,B.R., Ward,M.E.H., Breakwell,D.P., Hope,S., Grose,J.H.",2019-05-02T17:02:34.947Z,Erwinia virus Simmy50,Agricanvirus,Myoviridae,dsDNA,RefSeq,,,USA,,Erwinia amylovora,plant stem,2014-09-21,,ASM262436v1
GCF_002624345.1,,"Sharma,R., Esplin,I.N.D., Berg,J.A., Jensen,G.L., Keele,B.R., Ward,M.E.H., Breakwell,D.P., Hope,S., Grose,J.H.",2019-05-02T17:02:30.597Z,Erwinia virus RAY,Agricanvirus,Myoviridae,dsDNA,RefSeq,,,USA,,Erwinia amylovora,plant stem,2014-09-09,,ASM262434v1
GCF_002624325.1,,"Sharma,R., Jensen,G.L., Kruger,J.L., Esplin,I.N.D., Jarvis,T.M., Merrill,B.D., Schoenhals,J., Breakwell,D.P., Hope,S., Grose,J.H.",2019-05-02T17:02:26.083Z,Erwinia virus Deimos,Agricanvirus,Myoviridae,dsDNA,RefSeq,,,USA,,Erwinia amylovora,plant stem,,,ASM262432v1
GCF_002624045.1,,"Pope,W.H., Ferreira,C.M., Jacobs-Sera,D., Benjamin,R.C., Davis,A.J., Dejong,R.J., Elgin,S.C., Guilfoile,F.R., Forsyth,M.H., Harris,A.D., Harvey,S.E., Hughes,L.E., Hynes,P.M., Jackson,A.S., Jalal,M.D., Macmurray,E.A., Manley,C.M., McDonough,M.J., Mosier,J.L., Osterbann,L.J., Rabinowitz,H.S., Rhyan,C.N., Russell,D.A., Saha,M.S., Shaffer,C.D., Simon,S.E., Sims,E.F., Tovar,I.G., Weisser,E.G., Wertz,J.T., Weston-Hafer,K.A., Williamson,K.E., Zhang,B., Cresawn,S.G., Jain,P., Piuri,M., Jacobs,W.R. Jr., Hendrix,R.W., Hatfull,G.F., Ko,C.",2019-05-02T17:02:21.040Z,Mycobacterium virus Rey,Reyvirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Houston, TX",TX,Mycolicibacterium smegmatis MC2 155,,2009-02-26,,ASM262404v1
GCF_002624025.1,,"Hatfull,G.F., Baird,M.A., Deng,L., Schoer,M.B., Hafer-Weston,K.A., Shaffer,C.D., Elgin,S.C.R., Bradley,K.W., Khaja,R., Lewis,M.F., Barker,L.P., Jordan,T.C., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2019-05-02T17:02:16.673Z,Mycobacterium virus Bongo,Bongovirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: St. Louis, MO",MO,Mycolicibacterium smegmatis MC2 155,,2009-10-01,,ASM262402v3
GCF_002624005.1,,"Earley,B.J., Engle,J.M., Smith,K.C., Lunt,B.L., Fisher,J.N.B., Payne,D.E. II, Hatfull,G.F., Breakwell,D.P., Burnett,S.H., Grose,J.H.",2019-05-02T17:02:11.653Z,Mycobacterium virus Jebeks,Fishburnevirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Provo, UT",UT,Mycolicibacterium smegmatis MC2 155,,2009-09-12,,ASM262400v1
GCF_002623605.1,,"Qu,K., Xu,Y., Wang,L., Li,X.",2019-05-02T17:02:06.247Z,Pseudomonas virus G1,Nankokuvirus,Myoviridae,dsDNA,RefSeq,,,China,,Pseudomonas aeruginosa,,,,ASM262360v1
GCF_002623585.1,SRR7156630,"Zhou,W., Feng,Y., Zong,Z.",2019-05-02T17:02:00.953Z,Acinetobacter virus WCHABP5,Friunavirus,Autographiviridae,dsDNA,RefSeq,,,,,Acinetobacter baumannii,,,SAMN06690237,ASM262358v1
GCF_002623465.1,SRR7156629,"Zhou,W., Feng,Y., Zong,Z.",2019-05-02T17:01:56.280Z,Acinetobacter virus WCHABP1,Obolenskvirus,Myoviridae,dsDNA,RefSeq,,,,,Acinetobacter baumannii,,,SAMN06644841,ASM262346v1
GCF_002623425.1,,"Hatfull,G.F., Marinelli,L.A., Tse,E., Ko,C., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2019-05-02T17:01:50.830Z,Mycobacterium virus Athena,Pipefishvirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Washintgon, DC",DC,Mycolicibacterium smegmatis MC2 155,,2003-05-25,,ASM262342v1
GCF_002623365.1,,"Furusawa,T., Iwano,H., Higuchi,H., Usui,M., Maruyama,F., Nakagawa,I., Yokota,H., Tamura,Y.",2019-05-02T17:01:46.707Z,Pseudomonas virus R18,Kochitakasuvirus,Podoviridae,dsDNA,RefSeq,,1,,,Pseudomonas,,,SAMD00042783,ASM262336v1
GCF_002623345.1,,"Bollivar,D.W., Bernardoni,B., Bockman,M.R., Miller,B.M., Russell,D.A., Delesalle,V.A., Krukonis,G.P., Hatfull,G.F., Cross,M.R., Szewczyk,M.M., Eppurath,A., Szewczyk,M.P.",2019-05-02T17:01:42.280Z,Rhodobacter virus RcSpartan,Titanvirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Bloomington, IL",IL,Rhodobacter capsulatus YW1,,2012-02-28,,ASM262334v1
GCF_002623325.1,,"Dyson,Z.A., Tucci,J., Seviour,R.J., Petrovski,S.",2019-05-02T17:01:38.447Z,Tsukamurella virus TIN4,Tinduovirus,Siphoviridae,dsDNA,RefSeq,,1,"Australia: Carrum, Victoria",,Tsukamurella inchonensis,,2010-08-02,,ASM262332v1
GCF_002623305.1,,"Menninger,J.E., Lamey,M.E., Lindemann,J.M., Martynyuk,T., Mele,F.E., Nabua,C.T., Napoli,C.K., Santiago,L.M., Sweetman,A.T., Weinstein,J.L., Barrett,N.A., Buerkert,T.R., Cautela,J.A., Egan,M.S., Erb,J.E., Garrigan,K.E., Hagan,D.J., Hartwell,M.C., Hyduchak,K.M., Jacob,A.E., DeNigris,D.M., London,S.C., King-Smith,C., Lee-Soety,J.Y., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2019-05-02T17:01:33.790Z,Arthrobacter virus Tank,Tankvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Philadelphia, PA",PA,Arthrobacter sp. ATCC 21022,,2014-10-01,,ASM262330v1
GCF_002623285.1,,"Lee,Y.D., Park,J.H., Lee,Y.-D., Park,J.-H.",2019-05-02T17:01:28.443Z,Enterococcus virus SAP6,Saphexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Enterococcus faecalis,,,,ASM262328v1
GCF_002623265.1,,"Zhang,W., Mi,Z., Yin,X., Fan,H., An,X., Zhang,Z., Chen,J., Tong,Y.",2019-05-02T17:01:23.360Z,Enterococcus virus IMEEF1,Saphexavirus,Siphoviridae,dsDNA,RefSeq,,1,China,,Enterococcus faecalis,,2012-08-15,,ASM262326v1
GCF_002623245.1,,"Liang,Y., Zhang,Y., Zhou,C., Chen,Z., Yang,S.",2019-05-02T17:01:19.190Z,Roseobacter virus RDJL2,Xiamenvirus,Siphoviridae,dsDNA,RefSeq,,,China: Xiamen,,Roseobacter denitrificans,,2011-05,,ASM262324v1
GCF_002623225.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:01:14.797Z,Propionibacterium virus PHL308M00,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262322v1
GCF_002623205.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:01:10.477Z,Propionibacterium virus PHL194M00,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262320v1
GCF_002623185.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:01:06.217Z,Propionibacterium virus PHL163M00,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262318v1
GCF_002623165.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:01:02.033Z,Propionibacterium virus PHL151N00,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262316v1
GCF_002623145.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:00:56.907Z,Propionibacterium virus PHL151M00,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262314v1
GCF_002623125.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:00:52.180Z,Propionibacterium virus PHL117M01,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262312v1
GCF_002623105.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:00:47.390Z,Propionibacterium virus PHL117M00,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262310v1
GCF_002623085.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:00:40.410Z,Propionibacterium virus PHL082M03,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262308v1
GCF_002623065.1,,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.",2019-05-02T17:00:35.263Z,Propionibacterium virus PHL067M01,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,1,,,Cutibacterium acnes,,,,ASM262306v1
GCF_002623045.1,,"Li,H., Liu,J., Tomida,S.",2019-05-02T17:00:30Z,Propionibacterium virus PHL037M02,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,,,,Cutibacterium acnes,,,,ASM262304v1
GCF_002623025.1,,"Aganon,J., Ashokkumar,S., Chiou,J., Rosario,K.D., Capati,S., Reddi,K., Villella,W., Bowman,C., Mould,D., Moberg-Parker,J., Hatfull,G.F., Sanders,E.R.",2019-05-02T17:00:25.277Z,Propionibacterium virus Keiki,Pahexavirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Los Angeles, CA",CA,Cutibacterium acnes,skin,2013-10-11,,ASM262302v1
GCF_002623005.1,,"Sepulveda-Robles,O., Kameyama,L., Guarneros,G., Flores,V., Sepulveda-Robles,O.A., Cazares,A.",2019-05-02T17:00:20.933Z,Pseudomonas virus PaMx25,Nipunavirus,Siphoviridae,dsDNA,RefSeq,,1,Mexico: Queretaro,,Pseudomonas aeruginosa,,2006,,ASM262300v1
GCF_002622985.1,,"Schneider,V.M., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2019-05-02T17:00:16.810Z,Arthrobacter virus Gordon,Gordonvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Pittsburgh, PA",PA,Arthrobacter sp. ATCC 21022,,2012-05-01,,ASM262298v1
GCF_002622965.1,,"Amegashie,A.K., Borst,K.R., Casazza,W.J., Chen,K.H., Evans,D.R., Huang,J., Kaku,B.M., Khetarpal,S.K., Keifer,M.E., Kolev,H.M., McDonald,H.N., Nkangabwa,M.S., Rickstrew,G.A., Schlossman,J.R., Tender,C.M., Thomas,C.G., Vanderveen,L.N., Varma,R.N., Wong,N., Zhang,C.W., Cutting,C.L., Davison,P.A., Braun,M.A., Lopez,A.J., Jarvik,J.W., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2019-05-02T17:00:11.403Z,Arthrobacter virus Captnmurica,Gordonvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Pittsburgh, PA",PA,Arthrobacter sp. ATCC 21022,,2013-10-01,,ASM262296v1
