phage_id	Assembly.NCBI	SRA_Accession.NCBI	Submitters.NCBI	Release_Date.NCBI	Species.NCBI	Genus.NCBI	Family.NCBI	Molecule_type.NCBI	Sequence_Type.NCBI	Geo_Location.NCBI	USA.NCBI	Host.NCBI	Isolation_Source.NCBI	Collection_Date.NCBI	BioSample.NCBI	GenBank_Title.NCBI
PHAGE-0202	GCF_000882115.1		Son,J.S., Jun,S.Y., Kim,E.B., Park,J.E., Paik,H.R., Yoon,S.J., Kang,S.H., Choi,Y.J.	2015-02-22T18:03:48.633Z	Enterococcus phage EFAP-1		Siphoviridae	dsDNA	RefSeq	South Korea		Enterococcus faecalis				ViralProj36375
PHAGE-0203	GCF_000882275.1		Zhang,Y., Laing,C.R., Kropinski,A., Gannon,V.J.P.	2015-02-22T18:03:55.153Z	Enterobacteria phage YYZ-2008		Siphoviridae	dsDNA	RefSeq			Escherichia coli O157:H7				ViralProj32231
PHAGE-0204	GCF_000882475.1		Garcia,P., Monjardin,C., Martin,R., Madera,C., Soberon,N., Garcia,E., Meana,A., Suarez,J.E., Suarez,E.	2015-02-22T18:04:04.757Z	Stenotrophomonas phage S1		Siphoviridae	dsDNA	RefSeq			Stenotrophomonas maltophilia				ViralProj32787
PHAGE-0205	GCF_000882495.1		Lee,Y.-R., Chung,I.-Y., Heo,Y.-J., Cho,Y.-H.	2015-02-22T18:04:11.227Z	Pseudomonas virus MP38	Casadabanvirus	Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa PA14				ViralProj32995
PHAGE-0206	GCF_000882635.1		Martin,R., Soberon,N.E., Suarez,J.E.	2015-02-22T18:04:17.180Z	Lactobacillus phage Lv-1		Siphoviridae	dsDNA	RefSeq			Lactobacillus jensenii				ViralProj33535
PHAGE-0207	GCF_000882755.1		Kulakov,L.A., Ksenzenko,V.N., Kochetkov,V.V., Mazepa,V.N., Boronin,A.M., Shlyapnikov,M.G., Del Casale,A., Allen,C.C.R., Larkin,M.J., Ceyssens,P.J., Lavigne,R.	2015-02-22T18:04:26.830Z	Pseudomonas virus kF77	Phikmvvirus	Autographiviridae	dsDNA	RefSeq	Russia		Pseudomonas aeruginosa				ViralProj36373
PHAGE-0208	GCF_000882895.1		Villion,M., Chopin,M.C., Deveau,H., Ehrlich,S.D., Moineau,S., Chopin,A., Chopin,M.-C.	2015-02-22T18:04:30.050Z	Lactococcus phage P087		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj37887
PHAGE-0209	GCF_000882975.1		Denou,E., Bruttin,A., Barretto,C., Ngom-Bru,C., Brussow,H., Zuber,S., Bruessow,H.	2015-02-22T18:04:33.400Z	Escherichia virus JS10	Dhakavirus	Myoviridae	dsDNA	RefSeq			Escherichia coli K-12				ViralProj38265
PHAGE-0210	GCF_000883415.1		Chung,I.Y., Cho,Y.H., Lee,Y.-R., Chung,I.-Y., Heo,Y.-J., Cho,Y.-H.	2015-02-22T18:04:57.923Z	Pseudomonas virus MP29	Casadabanvirus	Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa PA14				ViralProj32999
PHAGE-0211	GCF_000883495.1		Ceyssens,P.J., Miroshnikov,K., Mattheus,W., Krylov,V., Robben,J., Noben,J.P., Vanderschraeghe,S., Sykilinda,N., Kropinski,A.M., Volckaert,G., Mesyanzhinov,V., Lavigne,R.	2015-02-22T18:05:02.447Z	Pseudomonas virus SN	Pbunavirus	Myoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj33327
PHAGE-0212	GCF_000883535.1		Ceyssens,P.J., Miroshnikov,K., Mattheus,W., Krylov,V., Robben,J., Noben,J.P., Vanderschraeghe,S., Sykilinda,N., Kropinski,A.M., Volckaert,G., Mesyanzhinov,V., Lavigne,R., Lingohr,E., Villegas,A., Ceyssens,P.-J.	2015-02-22T18:05:03.817Z	Pseudomonas virus PB1	Pbunavirus	Myoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj33499
PHAGE-0213	GCF_000883895.1		Denou,E., Bruttin,A., Barretto,C., Ngom-Bru,C., Brussow,H., Zuber,S., Bruessow,H.	2015-02-22T18:05:23.757Z	Escherichia virus JSE	Krischvirus	Myoviridae	dsDNA	RefSeq			Escherichia coli K-12				ViralProj38263
PHAGE-0214	GCF_000884495.1		Kropinski,A.M., Villegas,A., Lingohr,E.J.	2015-02-22T18:05:49.660Z	Escherichia phage D108	Muvirus	Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj42515
PHAGE-0215	GCF_000884535.1		Drulis-Kawa,Z., Maciaszczyk-Dziubinska,E., Bocer,T.	2015-02-22T18:05:52.423Z	Klebsiella virus KP32	Przondovirus	Autographiviridae	dsDNA	RefSeq	Poland		Klebsiella pneumoniae		2008-08		ViralProj42779
PHAGE-0216	GCF_000884555.1		Yasmin,A., Kenny,J.G., Shankar,J., Darby,A.C., Hall,N., Edwards,C., Horsburgh,M.J.	2015-02-22T18:05:54.013Z	Enterococcus virus FL3	Phifelvirus	Siphoviridae	dsDNA	RefSeq			Enterococcus faecalis				ViralProj42787
PHAGE-0217	GCF_000884575.1		Yasmin,A., Kenny,J.G., Shankar,J., Darby,A.C., Hall,N., Edwards,C., Horsburgh,M.J.	2015-02-22T18:05:55.480Z	Enterococcus virus FL2	Phifelvirus	Siphoviridae	dsDNA	RefSeq			Enterococcus faecalis				ViralProj42795
PHAGE-0218	GCF_000884615.1		Ceyssens,P.J., Brabban,A., Rogge,L., Lewis,M.S., Pickard,D., Goulding,D., Dougan,G., Nob en,J.P., Kropinski,A., Kutter,E., Lavigne,R.	2015-02-22T18:05:56.943Z	Pseudomonas virus LIT1	Litunavirus	Podoviridae	dsDNA	RefSeq	Italy		Pseudomonas aeruginosa		38854		ViralProj42949
PHAGE-0219	GCF_000884895.1		Mills,S., Griffin,C., O'Sullivan,O., Coffey,A., McAuliffe,O.E., Meijer,W.C., Serrano,L.M., Ross,R.P.	2015-02-22T18:06:09.077Z	Streptococcus phage 5093		Siphoviridae	dsDNA	RefSeq	Netherlands		Streptococcus thermophilus		2005-09		ViralProj38299
PHAGE-0220	GCF_000884975.1		Chantranupong,L., Heineman,R.H.	2015-02-22T18:06:11.727Z	Escherichia virus St1	Alphatrevirus	Microviridae	ssDNA(+)	RefSeq			Escherichia coli K-12				ViralProj38669
PHAGE-0221	GCF_000885535.1		Guglielmotti,D.M., Deveau,H., Binetti,A.G., Reinheimer,J.A., Moineau,S., Quiberoni,A., Guglielmotti,D., Binetti,A., Reinheimer,J.	2015-02-22T18:06:59.323Z	Streptococcus virus phiAbc2	Moineauvirus	Siphoviridae	dsDNA	RefSeq			Streptococcus thermophilus				ViralProj42791
PHAGE-0222	GCF_000886115.1		Guglielmotti,D.M., Deveau,H., Binetti,A.G., Reinheimer,J.A., Moineau,S., Quiberoni,A., Guglielmotti,D., Binetti,A., Reinheimer,J.	2015-02-22T18:08:16.020Z	Streptococcus virus ALQ132	Brussowvirus	Siphoviridae	dsDNA	RefSeq			Streptococcus thermophilus				ViralProj42593
PHAGE-0223	GCF_000886135.1		Paterson,S., Vogwill,T., Buckling,A., Benmayor,R., Spiers,A.J., Thomson,N.R., Quail,M., Smith,F., Walker,D., Libberton,B., Fenton,A., Hall,N., Brockhurst,M.A.	2015-02-22T18:08:20.517Z	Pseudomonas virus f2	Tunggulviirus	Autographiviridae	dsDNA	RefSeq			Pseudomonas fluorescens SBW25				ViralProj42717
PHAGE-0224	GCF_000886155.1		Drulis-Kawa,Z., Mackiewicz,P., Kesik-Szeloch,A., Maciaszczyk-Dziubinska,E., Weber-Dabrowska,B., Dorotkiewicz-Jach,A., Augustyniak,D., Majkowska-Skrobek,G., Bocer,T., Empel,J., Kropinski,A.M., Kropinski,A.	2015-02-22T18:08:20.643Z	Klebsiella virus KP34	Drulisvirus	Autographiviridae	dsDNA	RefSeq	Poland		Klebsiella pneumoniae		2008-08		ViralProj42781
PHAGE-0225	GCF_000886175.1		Yasmin,A., Kenny,J.G., Shankar,J., Darby,A.C., Hall,N., Edwards,C., Horsburgh,M.J.	2015-02-22T18:08:17.497Z	Enterococcus virus FL1	Phifelvirus	Siphoviridae	dsDNA	RefSeq			Enterococcus faecalis				ViralProj42789
PHAGE-0226	GCF_000886215.1		Stevens,R.H., Ektefaie,M.R., Fouts,D.E., Ektefaie,M.	2015-02-22T18:08:22.130Z	Enterococcus phage phiEf11		Siphoviridae	dsDNA	RefSeq			Enterococcus faecalis				ViralProj42943
PHAGE-0227	GCF_000886235.1		Ceyssens,P.J., Brabban,A., Rogge,L., Lewis,M.S., Pickard,D., Goulding,D., Dougan,G., Nob en,J.P., Kropinski,A., Kutter,E., Lavigne,R.	2015-02-22T18:08:25.017Z	Pseudomonas virus LUZ7	Luzseptimavirus	Podoviridae	dsDNA	RefSeq	Belgium:Leuven		Pseudomonas aeruginosa		38962		ViralProj42951
PHAGE-0228	GCF_000886395.1		Villegas,A., She,Y.M., Kropinski,A.M., Lingohr,E.J., Mazzocco,A., Ojha,S., Waddell,T.E., Ackermann,H.W., Moyles,D.M., Ahmed,R., Johnson,R.P., Villegas,A.P., Waddell,T.	2015-02-22T18:08:36.800Z	Escherichia virus wV8	Felixounavirus	Myoviridae	dsDNA	RefSeq	Canada		Escherichia coli O157:H7		1986		ViralProj38281
PHAGE-0229	GCF_000886435.1		Ma,X.X., Luo,E.J., Ito,t., Hiramatsu,K.	2015-02-22T18:08:39.630Z	Staphylococcus phage phiPVL-CN125	Biseptimavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj38431
PHAGE-0230	GCF_000886755.1		Young,R.F., Summers,E.J.	2015-02-22T18:09:08.030Z	Staphylococcus phage P954	Biseptimavirus	Siphoviridae	dsDNA	RefSeq	India		Staphylococcus aureus		37306		ViralProj40231
PHAGE-0231	GCF_000887035.1		Yasmin,A., Kenny,J.G., Shankar,J., Darby,A.C., Hall,N., Edwards,C., Horsburgh,M.J.	2015-02-22T18:09:25.233Z	Enterococcus phage phiFL4A		Siphoviridae	dsDNA	RefSeq			Enterococcus faecalis				ViralProj42793
PHAGE-0232	GCF_000887175.1		Drulis-Kawa,Z., Maciaszczyk-Dziubinska,E., Bocer,T.	2015-02-22T18:09:37.510Z	Klebsiella virus KP15	Slopekvirus	Myoviridae	dsDNA	RefSeq	Poland		Klebsiella pneumoniae		2008-08		ViralProj47333
PHAGE-0233	GCF_000887755.1		Petrov,V.M., Ratnayaka,S., Nolan,J.M., Miller,E.S., Karam,J.D.	2015-02-22T18:10:42.037Z	Acinetobacter phage Acj61		Myoviridae	dsDNA	RefSeq			Acinetobacter johnsonii				ViralProj60117
PHAGE-0234	GCF_000888055.1		Kropinski,A.M., Turner,D., Nash,J.H.E., Ackermann,H.W., Lingohr,E.J., Warren,R.A., Ehrlich,K.C., Ehrlich,M., Villegas,A.	2015-02-22T18:11:05.360Z	Delftia virus PhiW14	Ionavirus	Myoviridae	dsDNA	RefSeq			Delftia acidovorans				ViralProj42945
PHAGE-0235	GCF_000888535.1		Rahman,M., Kim,S., Kim,S.-M., Kim,J.	2015-02-22T18:11:40.257Z	Staphylococcus virus SAP26	Phietavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj51671
PHAGE-0236	GCF_000888755.1		Petrov,V.M., Ratnayaka,S., Nolan,J.M., Miller,E.S., Karam,J.D.	2015-02-22T18:11:52.563Z	Acinetobacter phage Acj9		Myoviridae	dsDNA	RefSeq			Acinetobacter johnsonii				ViralProj60121
PHAGE-0237	GCF_000889095.1		Jiang,H., Jiang,X., Wang,S., Li,C., Chen,B., An,X., Mi,Z., Chen,J., Tong,Y., Tong,Y.G., Jiang,X.F., Jiang,H.H., Sheng,W., Chen,J.K., An,X.P., Mi,Z.Q.	2015-02-22T18:12:11.463Z	Escherichia virus IME08	Dhakavirus	Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj50177
PHAGE-0238	GCF_000889235.1		Petrov,V.M., Ratnayaka,S., Nolan,J.M., Miller,E.S., Karam,J.D.	2015-02-22T18:12:22.557Z	Escherichia virus RB16		Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj51699
PHAGE-0239	GCF_000889435.1		Petrov,V.M., Ratnayaka,S., Nolan,J.M., Miller,E.S., Karam,J.D.	2015-02-22T18:12:32.303Z	Escherichia virus CC31	Karamvirus	Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj60119
PHAGE-0240	GCF_000890395.1		Kaliniene,L., Klausa,V., Zajanckauskaite,A., Nivinskas,R., Truncaite,L.	2015-02-22T18:13:33.860Z	Escherichia virus VR7	Gaprivervirus	Myoviridae	dsDNA	RefSeq	Lithuania		Escherichia coli				ViralProj61099
PHAGE-0241	GCF_000890735.1		Kilcher,S., Loessner,M.J., Klumpp,J.	2015-02-22T18:13:56.377Z	Brochothrix phage NF5		Siphoviridae	dsDNA	RefSeq			Brochothrix thermosphacta				ViralProj64545
PHAGE-0242	GCF_000890755.1		Samson,J.E., Moineau,S.	2015-02-22T18:13:59.303Z	Lactococcus phage 949		Siphoviridae	dsDNA	RefSeq	New Zealand		Lactococcus lactis		1975		ViralProj64559
PHAGE-0243	GCF_000891155.1		Liu,J., Huang,Y.	2015-02-22T18:14:20.733Z	Stenotrophomonas phage phiSHP2		Inoviridae	ssDNA(+)	RefSeq			Stenotrophomonas maltophilia				ViralProj67419
PHAGE-0244	GCF_000891695.1		Petrov,V.M., Ratnayaka,S., Nolan,J.M., Miller,E.S., Karam,J.D.	2015-02-22T18:14:57.957Z	Acinetobacter virus 133		Myoviridae	dsDNA	RefSeq			Acinetobacter johnsonii				ViralProj64541
PHAGE-0245	GCF_000891715.1		Kilcher,S., Loessner,M.J., Klumpp,J.	2015-02-22T18:14:57.927Z	Brochothrix phage BL3		Siphoviridae	dsDNA	RefSeq			Brochothrix thermosphacta				ViralProj64549
PHAGE-0246	GCF_000891855.1		Henry,M., Lavigne,R., Debarbieux,L., Leduc,D., Maura,D., Morello,E., Criscuolo,A., Grossi,O., Balloy,V., Touqui,L.	2015-02-22T18:15:10.497Z	Pseudomonas virus PAKP1	Pakpunavirus	Myoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa PAK				ViralProj64763
PHAGE-0247	GCF_000892275.1		Savalia,D., Severinov,K., Molineux,I.	2015-02-22T18:15:44.357Z	Yersinia virus Yepe2	Berlinvirus	Autographiviridae	dsDNA	RefSeq			Yersinia pestis				ViralProj62965
PHAGE-0248	GCF_000892355.1		Ma,X., Xiong,H., Li,Y., Lin,H., Zhu,C., Zhang,Y., Zhang,L., Rao,Z., Huang,G., Xu,R., Xu,B.	2015-02-22T18:15:52.473Z	Escherichia virus 285P	Berlinvirus	Autographiviridae	dsDNA	RefSeq			Escherichia coli				ViralProj64539
PHAGE-0249	GCF_000892375.1		Kilcher,S., Loessner,M.J., Klumpp,J.	2015-02-22T18:15:55.133Z	Brochothrix virus A9		Herelleviridae	dsDNA	RefSeq			Brochothrix thermosphacta				ViralProj64547
PHAGE-0250	GCF_000892395.1		Sillankorva,S., Kluskens,L.D., Lingohr,E.J., Kropinski,A.M., Neubauer,P., Azeredo,J., Kluskens,L.H.	2015-02-22T18:15:59.233Z	Pseudomonas virus IBBPF7A	Pifdecavirus	Autographiviridae	dsDNA	RefSeq			Pseudomonas fluorescens				ViralProj64561
PHAGE-0251	GCF_000893315.1		Fard,R.M., Barton,M.D., Arthur,J.L., Heuzenroeder,M.W., Mazaheri Nezhad Fard,R.	2015-02-22T18:17:00.030Z	Enterococcus phage EFRM31		Siphoviridae	dsDNA	RefSeq			Enterococcus faecalis				ViralProj64607
PHAGE-0252	GCF_000893335.1		Sabri,M., Hauser,R., Ouellette,M., Liu,J., Dehbi,M., Moeck,G., Garcia,E., Titz,B., Uetz,P., Moineau,S., Haeuser,R.	2015-02-22T18:16:59.997Z	Streptococcus phage Dp-1		Siphoviridae	dsDNA	RefSeq			Streptococcus pneumoniae				ViralProj64617
PHAGE-0253	GCF_000893995.1		King,R.A., Wright,A.A., Miles,C.N.	2015-02-22T18:17:50.073Z	Escherichia phage HK639		Siphoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj76729
PHAGE-0254	GCF_000894175.1		Lehours,P., Vale,F.F., Bjursell,M.K., Melefors,O., Advani,R., Glavas,S., Guegueniat,J., Gontier,E., Lacomme,S., Alves Matos,A., Menard,A., Megraud,F., Engstrand,L., Andersson,A.F., Vale F,F., Andersson,A.	2018-06-18T14:15:18.300Z	Helicobacter phage phiHP33	Schmidvirus	Podoviridae	dsDNA	RefSeq			Helicobacter pylori B45				ViralProj80923
PHAGE-0255	GCF_000894655.1		Niu,Y.D., Stanford,K., Kropinski,A.M., Ackermann,H.W., Johnson,R.P., She,Y.M., Ahmed,R., Villegas,A., McAllister,T.A.	2015-02-22T18:19:04.797Z	Escherichia virus AKFV33	Tequintavirus	Demerecviridae	dsDNA	RefSeq			Escherichia coli				ViralProj167572
PHAGE-0256	GCF_000894675.1		Volozhantsev,N.V., Popova,A.V., Bogun,A.G., Volozhantsev,N.	2015-02-22T18:19:03.290Z	Acinetobacter virus AP22	Obolenskvirus	Myoviridae	dsDNA	RefSeq			Acinetobacter baumannii				ViralProj167576
PHAGE-0257	GCF_000894715.1		Shin,H., Lee,J.H., Kim,Y., Ryu,S., Lee,J.-H.	2015-02-22T18:19:15.093Z	Cronobacter virus CR3	Certrevirus	Myoviridae	dsDNA	RefSeq			Cronobacter sakazakii				ViralProj167658
PHAGE-0258	GCF_000894975.1		King,R.A., Wright,A.A., Miles,C.N., Wheet,N.W.	2015-02-22T18:19:50.230Z	Escherichia virus HK75	Hendrixvirus	Siphoviridae	dsDNA	RefSeq			Escherichia coli K-12				ViralProj76733
PHAGE-0259	GCF_000895155.1		Kutter,E.M., Blasdel,B.G., Kropinski,A., Brabban,A.D.	2015-02-22T18:20:09.120Z	Escherichia virus CBA120	Kuttervirus	Ackermannviridae	dsDNA	RefSeq			Escherichia coli O157:H7				ViralProj81001
PHAGE-0260	GCF_000895295.1		Kropinski,A.M., Krylov,V., Pleteneva,E., Shaburova,O., Bourkaltseva,M., Krylov,S.V., Miroshnikov,K.	2015-02-22T18:20:33.890Z	Pseudomonas virus PMG1	Detrevirus	Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj82649
PHAGE-0261	GCF_000895755.1		Uchiyama,J., Takemura,I., Matsuzaki,S., Daibata,M.	2015-02-22T18:20:56.420Z	Staphylococcus virus S24-1	Rosenblumvirus	Podoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj80917
PHAGE-0262	GCF_000896255.1		Lee,Y.-D., Park,J.-H.	2015-02-22T18:21:35.950Z	Staphylococcus phage TEM123	Phietavirus	Siphoviridae	dsDNA	RefSeq	South Korea		Staphylococcus aureus		40553		ViralProj167573
PHAGE-0263	GCF_000896475.1		Fogg,P.C., Hynes,A.P., Digby,E., Lang,A.S., Beatty,J.T., Fogg,P.C.M.	2015-02-22T18:22:00.360Z	Rhodobacter phage RcapMu		Siphoviridae	dsDNA	RefSeq			Rhodobacter capsulatus SB 1003				ViralProj76743
PHAGE-0264	GCF_000896635.1		Cornelissen,A., Hardies,S.C., Shaburova,O.V., Krylov,V.N., Mattheus,W., Kropinski,A.M., Lavigne,R., Cornelissen,A.C.	2015-02-22T18:22:10.100Z	Pseudomonas phage OBP		Myoviridae	dsDNA	RefSeq	Russia: Tver District		Pseudomonas fluorescens		2001		ViralProj81003
PHAGE-0265	GCF_000896755.1		Kropinski,A.M., Krylov,V., Pleteneva,E., Shaburova,O., Bourkaltseva,M., Krylov,S.V., Miroshnikov,K.	2015-02-22T18:22:24.387Z	Pseudomonas phage phi297		Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj82641
PHAGE-0266	GCF_000897095.1		Karumidze,N., Thomas,J.A., Kvatadze,N., Goderdzishvili,M., Hakala,K.W., Weintraub,S.T., Alavidze,Z., Hardies,S.C.	2015-02-22T18:22:41.897Z	Pseudomonas virus Kakheti25	Septimatrevirus	Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj167052
PHAGE-0267	GCF_000897455.1		Gutierrez,D., Martinez,B., Rodriguez,A., Garcia,P.	2015-02-22T18:23:08.453Z	Staphylococcus virus IPLA7	Phietavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus epidermidis				ViralProj171982
PHAGE-0268	GCF_000897795.1		Nho,S.W., Ha,M.A., Kim,K.S., Kim,T.H., Jang,H.B., Cha,I.S., Park,S.B., Kim,Y.K., Jung,T.S., Nho,S., Jung,T., Kim,K., Lee,J., Jung,C., Cho,E., Kim,T.	2015-02-22T18:23:40.240Z	Escherichia virus ECB2	Kuravirus	Podoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj177528
PHAGE-0269	GCF_000897815.1		Marinelli,L.J., Fitz-Gibbon,S., Hayes,C., Bowman,C., Inkeles,M., Loncaric,A., Russell,D.A., Jacobs-Sera,D., Cokus,S., Pellegrini,M., Kim,J., Miller,J.F., Hatfull,G.F., Modlin,R.L.	2015-02-22T18:23:41.843Z	Propionibacterium virus P104A	Pahexavirus	Siphoviridae	dsDNA	RefSeq			Cutibacterium acnes				ViralProj177532
PHAGE-0270	GCF_000897835.1		Marinelli,L.J., Fitz-Gibbon,S., Hayes,C., Bowman,C., Inkeles,M., Loncaric,A., Russell,D.A., Jacobs-Sera,D., Cokus,S., Pellegrini,M., Kim,J., Miller,J.F., Hatfull,G.F., Modlin,R.L.	2015-02-22T18:23:41.873Z	Propionibacterium virus P1001	Pahexavirus	Siphoviridae	dsDNA	RefSeq			Cutibacterium acnes				ViralProj177536
PHAGE-0271	GCF_000898015.1		Abbasifar,R., Griffiths,M.W., Sabour,P.M., Ackermann,H.-W., Vandersteegen,K., Lavigne,R., Noben,J.-P., Villa,A.A., Abbasifar,A., Nash,J.H.E., Kropinski,A.M., Alanis Villa,A., Lingohr,E.J.	2015-02-22T18:23:59.067Z	Cronobacter virus GAP32	Mimasvirus	Myoviridae	dsDNA	RefSeq	Canada		Cronobacter sakazakii		39461		ViralProj179410
PHAGE-0272	GCF_000898095.1		Karumidze,N., Thomas,J.A., Kvatadze,N., Goderdzishvili,M., Hakala,K.W., Weintraub,S.T., Alavidze,Z., Hardies,S.C.	2015-02-22T18:24:07.940Z	Pseudomonas phage vB_Pae-TbilisiM32	Phikmvvirus	Autographiviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj167051
PHAGE-0273	GCF_000898295.2		Jin,J., Li,Z.J., Wang,S.W., Wang,S.M., Huang,D.H., Li,Y.H., Ma,Y.Y., Wang,J., Liu,F., Chen,X.D., Li,G.X., Wang,X.T., Wang,Z.Q., Zhao,G.Q., Cui,J., Sun,X.C., Ma,J., Zhao,L.	2015-10-21T01:04:19.380Z	Acinetobacter phage ZZ1		Myoviridae	dsDNA	RefSeq	China: Zhengzhou		Acinetobacter baumannii				ViralProj169230
PHAGE-0274	GCF_000898375.1		Swanson,M.M., Reavy,B., Makarova,K.S., Cock,P.J., Hopkins,D.W., Torrance,L., Koonin,E.V., Taliansky,M., Cock,P.	2015-02-22T18:24:39.830Z	Staphylococcus phage SpaA1		Siphoviridae	dsDNA	RefSeq	Antarctica:Garwood Valley, Southern Victoria Land		Staphylococcus pasteuri				ViralProj171956
PHAGE-0275	GCF_000898395.1		Chung,I.Y., Cho,Y.H., Chung,I.-Y., Cho,Y.-H.	2015-02-22T18:24:44.407Z	Pseudomonas phage MP42	Casadabanvirus	Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa PA14				ViralProj171972
PHAGE-0276	GCF_000898795.1		Marinelli,L.J., Fitz-Gibbon,S., Hayes,C., Bowman,C., Inkeles,M., Loncaric,A., Russell,D.A., Jacobs-Sera,D., Cokus,S., Pellegrini,M., Kim,J., Miller,J.F., Hatfull,G.F., Modlin,R.L.	2015-02-22T18:25:20.560Z	Propionibacterium virus P144	Pahexavirus	Siphoviridae	dsDNA	RefSeq			Cutibacterium acnes				ViralProj177530
PHAGE-0277	GCF_000898815.1		Marinelli,L.J., Fitz-Gibbon,S., Hayes,C., Bowman,C., Inkeles,M., Loncaric,A., Russell,D.A., Jacobs-Sera,D., Cokus,S., Pellegrini,M., Kim,J., Miller,J.F., Hatfull,G.F., Modlin,R.L.	2015-02-22T18:25:25.030Z	Propionibacterium virus P100D	Pahexavirus	Siphoviridae	dsDNA	RefSeq			Cutibacterium acnes				ViralProj177534
PHAGE-0278	GCF_000898835.1		Marinelli,L.J., Fitz-Gibbon,S., Hayes,C., Bowman,C., Inkeles,M., Loncaric,A., Russell,D.A., Jacobs-Sera,D., Cokus,S., Pellegrini,M., Kim,J., Miller,J.F., Hatfull,G.F., Modlin,R.L.	2015-02-22T18:25:29.533Z	Propionibacterium virus ATCC29399BT	Pahexavirus	Siphoviridae	dsDNA	RefSeq			Cutibacterium acnes				ViralProj177538
PHAGE-0279	GCF_000898895.1		Horiuchi,T., Sakka,M., Hayashi,A., Shimada,T., Kimura,T., Sakka,K.	2015-02-22T18:25:32.120Z	Enterococcus virus BC611	Saphexavirus	Siphoviridae	dsDNA	RefSeq	Japan		Enterococcus faecalis				ViralProj169229
PHAGE-0280	GCF_000899055.1		Bae,H.W., Chung,I.Y., Sim,N., Cho,Y.H., Bae,H.-W., Chung,I.-Y., Cho,Y.-H.	2015-02-22T18:25:51.307Z	Pseudomonas virus MP1412	Yuavirus	Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa PAO1		40836		ViralProj171983
PHAGE-0281	GCF_000899375.1		Marinelli,L.J., Fitz-Gibbon,S., Hayes,C., Bowman,C., Inkeles,M., Loncaric,A., Russell,D.A., Jacobs-Sera,D., Cokus,S., Pellegrini,M., Kim,J., Miller,J.F., Hatfull,G.F., Modlin,R.L.	2015-02-22T18:26:25.087Z	Propionibacterium virus P91	Pahexavirus	Siphoviridae	dsDNA	RefSeq			Cutibacterium acnes				ViralProj177529
PHAGE-0282	GCF_000899395.1		Marinelli,L.J., Fitz-Gibbon,S., Hayes,C., Bowman,C., Inkeles,M., Loncaric,A., Russell,D.A., Jacobs-Sera,D., Cokus,S., Pellegrini,M., Kim,J., Miller,J.F., Hatfull,G.F., Modlin,R.L.	2015-02-22T18:26:28.330Z	Propionibacterium virus P105	Pahexavirus	Siphoviridae	dsDNA	RefSeq			Cutibacterium acnes				ViralProj177533
PHAGE-0283	GCF_000899415.1		Marinelli,L.J., Fitz-Gibbon,S., Hayes,C., Bowman,C., Inkeles,M., Loncaric,A., Russell,D.A., Jacobs-Sera,D., Cokus,S., Pellegrini,M., Kim,J., Miller,J.F., Hatfull,G.F., Modlin,R.L.	2015-02-22T18:26:38.367Z	Propionibacterium virus P1.1	Pahexavirus	Siphoviridae	dsDNA	RefSeq			Cutibacterium acnes				ViralProj177537
PHAGE-0284	GCF_000899435.1		Li,Y., Chen,M., Tang,F., Yao,H., Lu,C., Zhang,W.	2015-02-22T18:26:35.040Z	Escherichia virus NJ01	Kuravirus	Podoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj177541
PHAGE-0285	GCF_000899595.1		Abbasifar,R., Griffiths,M.W., Kropinski,H.-W., Sabour,P.M., Alanis Villa,A., Abbasifar,A., Lingohr,E.J., Kropinski,A.M.	2015-02-22T18:26:57.357Z	Cronobacter phage vB_CsaP_GAP52		Podoviridae	dsDNA	RefSeq	Canada		Cronobacter sakazakii		39722		ViralProj179411
PHAGE-0286	GCF_000899615.1		Chibeu,A., Kropinski,A.M.	2015-02-22T18:27:05.107Z	Escherichia virus C40	Tequatrovirus	Myoviridae	dsDNA	RefSeq	Canada		Escherichia coli		2010		ViralProj179415
