HOMD Genome Explorer Raw Hits+ Date/IP/Country/Region Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Date        | IP               | Country                       | Region                            |
| 05/Jun/2024 | 85.208.96.210    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.206    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.193    | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.230.7     | United States                 | Oregon                            |
| 05/Jun/2024 | 185.191.171.5    | United States                 | Virginia                          |
| 05/Jun/2024 | 114.119.131.180  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 85.208.96.196    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.202    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.7    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.204    | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.230.120   | United States                 | Oregon                            |
| 05/Jun/2024 | 185.191.171.1    | United States                 | Virginia                          |
| 05/Jun/2024 | 173.252.87.6     | United States                 | Texas                             |
| 05/Jun/2024 | 173.252.107.20   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.210    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.8    | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.249.27    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.194    | United States                 | Virginia                          |
| 05/Jun/2024 | 114.119.141.217  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 69.171.249.22    | United States                 | Virginia                          |
| 05/Jun/2024 | 3.134.99.32      | United States                 | Ohio                              |
| 05/Jun/2024 | 173.252.127.2    | United States                 | North Carolina                    |
| 05/Jun/2024 | 185.191.171.11   | United States                 | Virginia                          |
| 05/Jun/2024 | 114.119.160.248  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 185.191.171.15   | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.249.118   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.211    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.15   | United States                 | Virginia                          |
| 05/Jun/2024 | 114.119.151.179  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 85.208.96.194    | United States                 | Virginia                          |
| 05/Jun/2024 | 114.119.159.61   | Singapore                     | Singapore                         |
| 05/Jun/2024 | 85.208.96.209    | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.230.3     | United States                 | Oregon                            |
| 05/Jun/2024 | 185.191.171.10   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.201    | United States                 | Virginia                          |
| 05/Jun/2024 | 3.15.172.195     | United States                 | Ohio                              |
| 05/Jun/2024 | 85.208.96.210    | United States                 | Virginia                          |
| 05/Jun/2024 | 3.15.172.195     | United States                 | Ohio                              |
| 05/Jun/2024 | 3.15.172.195     | United States                 | Ohio                              |
| 05/Jun/2024 | 3.145.177.115    | United States                 | Ohio                              |
| 05/Jun/2024 | 114.119.152.245  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 3.145.177.115    | United States                 | Ohio                              |
| 05/Jun/2024 | 3.145.177.115    | United States                 | Ohio                              |
| 05/Jun/2024 | 85.208.96.209    | United States                 | Virginia                          |
| 05/Jun/2024 | 114.119.136.69   | Singapore                     | Singapore                         |
| 05/Jun/2024 | 18.220.34.198    | United States                 | Ohio                              |
| 05/Jun/2024 | 173.252.107.17   | United States                 | Virginia                          |
| 05/Jun/2024 | 18.220.34.198    | United States                 | Ohio                              |
| 05/Jun/2024 | 69.171.249.6     | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.249.119   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.198    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.14   | United States                 | Virginia                          |
| 05/Jun/2024 | 114.119.136.44   | Singapore                     | Singapore                         |
| 05/Jun/2024 | 73.218.26.242    | United States                 | Massachusetts                     |
| 05/Jun/2024 | 185.191.171.13   | United States                 | Virginia                          |
| 05/Jun/2024 | 18.118.163.207   | United States                 | Ohio                              |
| 05/Jun/2024 | 73.218.26.242    | United States                 | Massachusetts                     |
| 05/Jun/2024 | 85.208.96.198    | United States                 | Virginia                          |
| 05/Jun/2024 | 114.119.153.118  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 18.117.168.46    | United States                 | Ohio                              |
| 05/Jun/2024 | 114.119.136.103  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 3.16.69.106      | United States                 | Ohio                              |
| 05/Jun/2024 | 3.16.69.106      | United States                 | Ohio                              |
| 05/Jun/2024 | 3.138.134.188    | United States                 | Ohio                              |
| 05/Jun/2024 | 18.191.150.2     | United States                 | Ohio                              |
| 05/Jun/2024 | 18.191.150.2     | United States                 | Ohio                              |
| 05/Jun/2024 | 18.191.150.2     | United States                 | Ohio                              |
| 05/Jun/2024 | 85.208.96.209    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.204    | United States                 | Virginia                          |
| 05/Jun/2024 | 195.113.175.60   | Czechia                       | Moravskoslezský                   |
| 05/Jun/2024 | 69.171.230.4     | United States                 | Oregon                            |
| 05/Jun/2024 | 3.138.118.103    | United States                 | Ohio                              |
| 05/Jun/2024 | 173.252.107.16   | United States                 | Virginia                          |
| 05/Jun/2024 | 17.241.75.48     | United States                 | California                        |
| 05/Jun/2024 | 85.208.96.194    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.14   | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.7    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.193    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.200    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.6    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.15   | United States                 | Virginia                          |
| 05/Jun/2024 | 173.252.107.117  | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.14   | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.13   | United States                 | Virginia                          |
| 05/Jun/2024 | 51.222.253.9     | Canada                        | Quebec                            |
| 05/Jun/2024 | 114.119.152.77   | Singapore                     | Singapore                         |
| 05/Jun/2024 | 69.171.230.119   | United States                 | Oregon                            |
| 05/Jun/2024 | 185.191.171.14   | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.6    | United States                 | Virginia                          |
| 05/Jun/2024 | 3.143.9.223      | United States                 | Ohio                              |
| 05/Jun/2024 | 114.119.159.70   | Singapore                     | Singapore                         |
| 05/Jun/2024 | 85.208.96.194    | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.249.3     | United States                 | Virginia                          |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 185.191.171.14   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.195    | United States                 | Virginia                          |
| 05/Jun/2024 | 18.116.14.118    | United States                 | Ohio                              |
| 05/Jun/2024 | 185.191.171.18   | United States                 | Virginia                          |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 173.252.87.4     | United States                 | Texas                             |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 173.252.87.16    | United States                 | Texas                             |
| 05/Jun/2024 | 173.252.87.28    | United States                 | Texas                             |
| 05/Jun/2024 | 85.208.96.193    | United States                 | Virginia                          |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 85.208.96.203    | United States                 | Virginia                          |
|____________________________________________________________________________________________________|
| Total Count:498
|____________________________________________________________________________________________________|


HOMD Genome Explorer Hits+ Country/Region/Counts Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Country                           | Region                           |Count                        |
|____________________________________________________________________________________________________|
| Canada                            | Quebec                           | 17                          |
| Czechia                           | Moravskoslezský                  | 1                           |
| France                            | Hauts-de-France                  | 2                           |
| Germany                           | Saxony                           | 12                          |
| Netherlands                       | Groningen                        | 1                           |
| Singapore                         | Singapore                        | 23                          |
| United States                     | California                       | 4                           |
| United States                     | Illinois                         | 1                           |
| United States                     | Massachusetts                    | 2                           |
| United States                     | Nebraska                         | 8                           |
| United States                     | New York                         | 1                           |
| United States                     | North Carolina                   | 3                           |
| United States                     | Ohio                             | 75                          |
| United States                     | Oregon                           | 18                          |
| United States                     | South Carolina                   | 3                           |
| United States                     | Tennessee                        | 1                           |
| United States                     | Texas                            | 14                          |
| United States                     | Virginia                         | 295                         |
| United States                     | Washington                       | 17                          |
|____________________________________________________________________________________________________|

Total Explorer Hits 498

HOMD Ecology Raw Hits+ Date/IP/Country/Region Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Date        | IP               | Country                       | Region                            |
|____________________________________________________________________________________________________|
| 05/Jun/2024 | 216.244.66.200   | United States                 | Washington                        |
| 05/Jun/2024 | 51.222.253.7     | Canada                        | Quebec                            |
| 05/Jun/2024 | 114.119.139.102  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 51.222.253.1     | Canada                        | Quebec                            |
| 05/Jun/2024 | 85.208.96.194    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.212    | United States                 | Virginia                          |
| 05/Jun/2024 | 51.222.253.10    | Canada                        | Quebec                            |
| 05/Jun/2024 | 85.208.96.204    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.212    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.2    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.15   | United States                 | Virginia                          |
| 05/Jun/2024 | 173.252.70.117   | United States                 | Tennessee                         |
| 05/Jun/2024 | 17.241.227.193   | United States                 | California                        |
| 05/Jun/2024 | 185.191.171.14   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.211    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.198    | United States                 | Virginia                          |
| 05/Jun/2024 | 40.77.167.60     | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.202    | United States                 | Virginia                          |
| 05/Jun/2024 | 20.190.57.60     | United States                 | Washington                        |
| 05/Jun/2024 | 185.191.171.6    | United States                 | Virginia                          |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 185.191.171.5    | United States                 | Virginia                          |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 18.222.25.112    | United States                 | Ohio                              |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 17.241.219.182   | United States                 | California                        |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 51.222.253.1     | Canada                        | Quebec                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 136.243.228.193  | Germany                       | Saxony                            |
| 05/Jun/2024 | 185.191.171.16   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.203    | United States                 | Virginia                          |
| 05/Jun/2024 | 51.222.253.19    | Canada                        | Quebec                            |
| 05/Jun/2024 | 185.191.171.6    | United States                 | Virginia                          |
| 05/Jun/2024 | 17.241.219.68    | United States                 | California                        |
| 05/Jun/2024 | 51.222.253.3     | Canada                        | Quebec                            |
| 05/Jun/2024 | 85.208.96.208    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.3    | United States                 | Virginia                          |
| 05/Jun/2024 | 17.241.75.208    | United States                 | California                        |
| 05/Jun/2024 | 85.208.96.209    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.206    | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.230.12    | United States                 | Oregon                            |
| 05/Jun/2024 | 185.191.171.14   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.208    | United States                 | Virginia                          |
|____________________________________________________________________________________________________|
| Total Count:65
|____________________________________________________________________________________________________|


HOMD Ecology Hits+ Country/Region/Counts Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Country                           | Region                           |Count                        |
|____________________________________________________________________________________________________|
| Canada                            | Quebec                           | 6                           |
| Germany                           | Saxony                           | 27                          |
| Singapore                         | Singapore                        | 1                           |
| United States                     | California                       | 4                           |
| United States                     | Ohio                             | 1                           |
| United States                     | Oregon                           | 1                           |
| United States                     | Tennessee                        | 1                           |
| United States                     | Virginia                         | 22                          |
| United States                     | Washington                       | 2                           |
|____________________________________________________________________________________________________|

Total Ecology Hits 65

HOMD Raw Pangenome Hits+ Date/IP/Country/Region Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Date        | IP               | Country                       | Region                            |
|____________________________________________________________________________________________________|
|____________________________________________________________________________________________________|
| Total Count:0
|____________________________________________________________________________________________________|


HOMD Pangenome Hits+ Country/Region/Counts Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Country                           | Region                           |Count                        |
|____________________________________________________________________________________________________|
|____________________________________________________________________________________________________|

Total Pangenome Hits 0

HOMD Raw JBrowse Hits+ Date/IP/Country/Region Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Date        | IP               | Country                       | Region                            |
|____________________________________________________________________________________________________|
| 12/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 128.205.81.202   | United States                 | New York                          |
| 13/Mar/2024 | 128.205.81.202   | United States                 | New York                          |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Feb/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Feb/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 13/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
| 14/Mar/2024 | 75.67.63.113     | United States                 | Massachusetts                     |
|____________________________________________________________________________________________________|
| Total Count:23
|____________________________________________________________________________________________________|


HOMD JBrowse Hits+ Country/Region/Counts Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Country                           | Region                           |Count                        |
|____________________________________________________________________________________________________|
| United States                     | Massachusetts                    | 21                          |
| United States                     | New York                         | 2                           |
|____________________________________________________________________________________________________|

Total JBrowse Hits 23

