Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014982-AKE	S700016069-AKE	S700016160-AKE	S700016325-AKE	S700016366-AKE	S700016582-AKE	S700016637-AKE	S700016939-AKE	S700021866-AKE	S700021904-AKE	S700023003-AKE	S700023086-AKE	S700023220-AKE	S700023253-AKE	S700023410-AKE	S700023467-AKE	S700023521-AKE	S700023568-AKE	S700023778-AKE	S700023835-AKE	S700023892-AKE	S700023958-AKE	S700024015-AKE	S700024056-AKE	S700024119-AKE	S700024177-AKE	S700024223-AKE	S700024282-AKE	S700024330-AKE	S700024369-AKE	S700024423-AKE	S700024482-AKE	S700024531-AKE	S700024578-AKE	S700024627-AKE	S700024663-AKE	S700024723-AKE	S700024780-AKE	S700024817-AKE	S700024894-AKE	S700024938-AKE	S700024988-AKE	S700033008-AKE	S700033171-AKE	S700033465-AKE	S700033767-AKE	S700037064-AKE	S700037212-AKE	S700037460-AKE	S700037572-AKE	S700037724-AKE	S700038043-AKE	S700038239-AKE	S700038376-AKE	S700038462-AKE	S700038510-AKE	S700038558-AKE	S700038606-AKE	S700038714-AKE	S700038773-AKE	S700038990-AKE	S700095390-AKE	S700095447-AKE	S700097271-AKE	S700097331-AKE	S700097668-AKE	S700098307-AKE	S700098399-AKE	S700098972-AKE	S700099039-AKE	S700099099-AKE	S700099627-AKE	S700099783-AKE	S700100267-AKE	S700101675-AKE	S700102279-AKE	S700102625-AKE	S700102942-AKE	S700103317-AKE	S700103458-AKE	S700103597-AKE	S700103633-AKE	S700103684-AKE	S700105077-AKE	S700105136-AKE	S700105193-AKE	S700105250-AKE	S700105384-AKE	S700105429-AKE	S700105504-AKE	S700105602-AKE	S700105658-AKE	S700105697-AKE	S700105818-AKE	S700105868-AKE	S700105916-AKE	S700105948-AKE	S700106372-AKE	S700106424-AKE	S700106532-AKE	S700106591-AKE	S700106627-AKE	S700106675-AKE	S700106849-AKE	S700106888-AKE	S700106958-AKE	S700113083-AKE	S700113130-AKE	S700113515-AKE	S700113590-AKE	S700113628-AKE	S700113686-AKE	S700113830-AKE	S700113944-AKE	S700114029-AKE	S700114137-AKE	S700114201-AKE	S700114258-AKE	S700114399-AKE	S700114470-AKE	S700114529-AKE	S700114570-AKE	S700114627-AKE	S700114691-AKE	S700114739-AKE	S700114789-AKE	S700114846-AKE	S700114894-AKE	S700114951-AKE	S700114999-AKE	S700116229-AKE	S700116316-AKE	S700116370-AKE	S700116580-AKE	S700116631-AKE	S700116790-AKE	S700116850-AKE	S700117012-AKE	S700117672-AKE	S700117729-AKE	S700117840-AKE	S700117966-AKE	S700118450-AKE
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-278	species	278	2559		0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.007	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.026	0.0	0.81	0.0	0.0	0.0	0.2	0.022	0.027	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.022	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-284	species	284	2565		0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.339	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.008	0.0	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.858	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.156	0.0	0.0	0.0	0.0	0.0	0.08	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930	3073		0.0	0.0	13.513	0.0	8.86	2.828	1.523	1.313	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	16.44	2.384	0.0	0.0	0.013	0.0	1.221	0.0	3.786	0.74	0.0	0.022	0.0	0.0	3.012	0.574	4.68	0.0	1.141	0.073	0.0	0.0	2.57	1.385	12.052	0.324	0.006	0.982	4.939	0.008	0.0	0.0	0.0	7.835	0.0	0.0	0.026	0.857	0.0	4.226	6.104	2.507	0.0	0.0	0.0	0.0	0.0	0.0	12.767	0.0	0.068	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	4.05	8.271	0.412	5.884	0.0	1.396	19.457	3.804	0.313	0.0	0.0	0.084	0.0	0.0	0.0	0.863	0.0	0.384	0.0	1.122	0.0	5.462	8.716	0.0	0.541	0.0	3.061	0.0	3.897	1.163	0.0	0.0	0.0	1.08	0.06	0.0	0.041	0.0	0.0	0.0	1.842	0.82	18.114	8.096	0.0	0.229	2.247	0.0	0.39	0.0	0.047	0.756	0.008	0.09	2.894	0.0	0.0	12.804	0.0	0.0	0.0	2.243	0.032	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	308	2588		0.605	0.022	0.0	0.0	0.068	0.0	0.008	0.0	0.168	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.048	1.056	0.0	1.07	0.0	0.008	0.0	0.0	0.0	0.059	0.015	0.0	0.007	0.0	0.005	0.0	0.029	0.0	0.0	0.0	0.033	0.012	0.0	0.006	0.0	0.0	0.047	0.024	0.0	0.026	0.008	0.047	0.0	0.026	0.0	0.13	0.0	0.0	0.024	0.0	0.0	0.0	0.815	0.0	0.0	0.0	0.009	0.0	0.054	0.18	0.079	0.0	0.064	0.0	0.0	0.0	0.049	0.0	0.066	0.0	0.0	0.086	0.0	0.016	0.201	0.014	1.144	0.0	0.025	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.108	0.393	0.0	0.033	0.0	0.0	0.038	0.272	0.0	0.0	0.14	0.0	0.041	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.229	0.0	0.017	0.0	0.043	0.442	0.199	0.756	0.07	0.0	0.009	0.041	0.016	0.0	0.1	0.0	0.01	0.048	0.046	0.007	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473	2711		0.052	0.0	21.178	0.0	2.369	20.738	0.0	4.681	0.008	0.0	0.0	0.0	0.0	0.012	0.0	20.147	4.057	18.651	26.981	0.0	0.477	0.0	1.002	0.0	0.392	6.729	0.036	0.09	0.0	5.339	26.941	0.231	0.71	0.0	2.029	16.509	0.241	17.727	19.489	12.264	17.646	3.867	0.0	27.695	9.447	1.804	0.0	0.0	0.0	1.798	0.0	0.0	0.026	0.248	0.13	16.249	24.626	2.365	1.866	0.0	0.053	0.0	0.593	0.072	5.469	0.0	8.065	0.0	0.0	6.454	0.015	1.09	2.323	1.933	0.183	0.0	21.191	0.498	5.474	28.788	0.009	3.688	5.87	0.448	0.0	0.0	0.0	0.008	0.0	0.0	0.414	16.077	0.0	11.1	0.0	1.236	0.0	20.206	0.0	0.794	10.657	0.0	23.114	11.08	31.462	0.072	0.0	3.097	0.0	0.206	0.0	8.768	23.844	0.0	0.945	0.027	22.466	3.932	0.0	0.0	0.0	0.0	21.684	15.449	7.273	18.343	0.0	22.41	1.685	0.04	22.381	0.027	0.0	4.713	0.0	0.0	0.317	22.421	21.481	1.189	0.007	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-914	species	914	3060		0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.034	0.0	0.0	0.011	0.145	2.322	0.0	0.0	0.117	0.015	0.0	0.0	0.117	0.0	0.0	0.0	0.0	0.081	0.008	0.0	0.0	0.0	0.041	0.0	0.05	0.0	0.0	0.0	0.0	0.01	0.071	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.393	0.0	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.013	0.0	0.016	0.0	0.009	0.014	0.02	0.405	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.065	0.0	0.284	0.0	0.0	0.03	0.0	0.0	0.0	0.958	0.0	0.0	0.0	0.01	0.032	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;aurantiaca	species	943	3084		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.243	0.0	0.0	0.0	0.0	0.008	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola	species	298	2578		0.01	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.072	0.052	0.0	0.0	0.0	0.015	0.0	0.131	0.022	0.0	0.088	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.063	0.0	0.0	0.743	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.615	0.0	0.0	0.12	0.06	0.015	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.137	0.0	0.129	0.0	0.311	0.0	0.028	0.035	0.0	0.008	0.0	0.0	0.0	0.013	0.0	0.0	0.089	0.01	0.0	0.0	0.0	0.0	0.309	1.06	0.0	0.008	0.0	0.0	0.0	0.259	0.0	0.016	0.04	0.0	0.11	0.0	1.26	0.0	0.012	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.962	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.037	0.015	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	313	2593		0.021	0.015	0.0	0.007	0.0	0.0	0.008	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.04	0.0	0.011	0.0	0.0	0.0	0.027	0.146	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.204	0.0	0.039	0.991	0.123	0.0	0.0	0.047	0.064	0.0	0.04	0.0	0.0	0.0	0.0	0.088	0.0	0.0	0.01	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.023	0.0	0.0	0.016	0.02	0.028	0.046	0.0	0.075	0.0	0.141	0.0	0.0	0.179	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.34	0.1	0.031	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.371	0.0	0.0	0.0	0.013	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.221	0.418	0.0	0.05	0.008	0.071	0.0	0.0	0.0	0.091	0.0	0.0	0.016	0.0	0.022	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica	species	469	2709		0.376	0.045	0.007	0.0	0.068	0.013	0.053	0.013	0.328	0.0	0.0	0.006	0.038	0.0	0.036	0.0	0.0	0.0	0.034	0.0	1.018	0.0	0.0	0.0	0.385	0.0	0.926	0.011	0.772	0.088	0.0	0.04	0.024	0.574	0.013	0.452	0.06	0.0	0.0	0.284	0.023	0.0	0.133	0.0	0.216	0.016	0.098	0.048	2.153	0.073	0.25	0.066	0.168	0.095	0.294	0.0	0.01	0.071	0.149	0.0	0.027	0.0	0.324	0.084	0.02	0.281	0.0	0.0	0.05	0.159	0.0	0.0	0.0	0.02	0.0	0.296	0.0	0.033	1.441	0.011	0.112	0.017	1.439	0.622	0.028	0.231	0.0	0.543	0.0	0.437	1.307	0.102	0.608	0.12	0.071	0.031	0.275	0.0	0.013	0.025	0.665	3.462	0.187	0.016	0.012	0.0	0.721	0.428	0.031	0.016	0.0	0.026	0.055	0.4	1.203	0.014	0.0	0.09	0.09	0.051	0.066	0.16	0.0	0.009	0.026	0.0	2.949	0.557	0.066	0.189	0.016	0.312	0.0	1.288	0.0	0.309	0.062	0.377	0.016	0.148	0.015	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299	2579		1.941	0.969	0.0	0.0	0.015	0.301	0.023	0.013	0.088	0.0	0.0	0.019	0.019	0.0	0.0	0.0	0.27	1.931	1.298	0.0	0.0	0.0	0.165	0.0	0.49	0.013	0.012	0.0	0.0	0.487	4.897	0.132	0.361	0.13	0.0	1.049	0.0	0.014	0.367	0.284	0.0	0.955	0.0	1.367	0.222	0.133	0.0	0.048	1.307	0.065	0.047	0.044	0.052	0.0	0.096	0.0	0.057	0.497	0.0	0.0	0.0	0.955	0.144	0.012	0.264	0.0	0.0	0.0	0.0	0.06	0.0	0.011	2.504	0.02	0.0	0.148	2.704	0.0	0.247	1.502	0.0	0.017	0.033	0.267	0.014	0.254	0.0	0.217	0.0	0.0	0.414	1.713	0.107	0.0	0.0	0.0	0.041	2.408	0.0	0.151	0.325	0.274	4.326	0.033	0.021	0.0	0.0	0.389	0.0	0.032	0.0	0.534	0.152	0.08	0.191	0.014	2.695	0.0	0.013	0.068	0.007	0.137	1.156	0.026	0.091	1.744	0.268	1.213	0.049	0.219	0.008	0.143	0.0	0.786	0.0	0.0	0.031	0.273	1.252	0.415	0.0	0.057	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693	2882		0.031	0.0	0.0	0.0	0.008	0.0	0.015	0.0	0.008	0.0	0.0	0.019	0.0	0.025	0.0	0.0	0.203	0.0	0.023	0.0	0.064	0.0	0.014	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.277	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.011	0.013	0.0	0.0	0.0	0.0	0.0	0.418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	2.598	0.013	1.001	0.0	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.056	4.211	0.0	0.0	0.0	0.0	0.0	0.389	0.0	0.0	0.0	0.0	0.032	0.04	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.301	0.009	0.096	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oris	species	311	2591		0.052	0.007	0.0	0.0	0.0	0.0	0.008	0.013	0.024	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.027	0.0	0.0	0.0	0.0	0.008	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.199	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.238	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.011	6.235	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.148	0.0	0.009	0.647	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.094	0.143	0.009	0.169	0.019	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oulorum	species	288	2568		0.01	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.454	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.016	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.159	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.04	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.237	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.173	0.0	0.0	0.0	0.0	0.015	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714	2895		0.0	0.0	0.013	0.0	0.0	0.0	0.015	0.0	0.168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.178	0.0	0.0	0.0	0.0	0.008	0.013	0.102	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.064	0.008	0.047	0.0	0.026	0.038	0.198	0.0	0.0	0.024	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.02	0.238	0.0	0.0	0.0	0.02	0.0	0.0	0.471	0.0	0.466	0.011	0.0	0.0	0.0	0.013	0.014	0.035	0.0	0.301	0.036	0.0	0.0	0.0	0.191	0.048	0.0	0.01	0.0	0.0	0.0	0.025	0.217	0.046	0.023	0.041	0.0	0.0	0.013	0.039	0.0	0.0	0.04	0.0	0.0	0.06	0.63	0.014	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.009	0.0	0.009	0.678	0.199	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.744	0.0	0.0	0.007	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;pleuritidis	species	303	2583		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.156	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.0	0.0	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;saccharolytica	species	781	2941		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.014	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.159	0.0	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.009	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-317	species	317	2597		0.376	0.007	0.0	0.0	0.015	0.039	0.015	0.013	0.0	0.0	0.0	0.038	0.0	0.062	0.0	0.0	0.058	0.0	0.011	0.0	0.013	0.089	0.014	0.0	0.008	0.0	0.724	0.101	0.0	0.015	0.0	0.0	0.361	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.307	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.008	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.095	0.915	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.0	0.302	0.138	0.0	1.327	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	2.63	0.0	0.393	0.0	0.0	0.01	0.0	0.135	0.0	0.013	0.031	0.018	0.008	0.63	0.0	0.036	0.0	0.026	0.0	0.0	0.0	0.0	0.041	0.56	0.067	0.054	0.012	0.0	0.013	0.0	0.0	3.476	0.0	0.009	0.0	0.0	0.063	0.0	0.296	0.0	0.0	0.0	0.0	0.047	0.0	0.764	0.201	0.01	0.269	0.0	0.096	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-942	species	942	3083		0.0	0.0	2.263	0.0	0.0	0.367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.464	0.0	0.0	0.814	0.0	0.0	0.0	0.0	0.0	0.0	0.755	0.077	0.878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.119	0.0	0.0	0.0	0.0	0.062	0.0	0.548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.366	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;forsythia	species	613	2822		0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
