Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015295-LAF	S700015908-LAF	S700016092-LAF	S700016174-LAF	S700016339-LAF	S700016658-LAF	S700016758-LAF	S700023273-LAF	S700023537-LAF	S700023584-LAF	S700023627-LAF	S700023794-LAF	S700023851-LAF	S700024260-LAF	S700024312-LAF	S700024515-LAF	S700024609-LAF	S700024705-LAF	S700024758-LAF	S700024872-LAF	S700024924-LAF	S700024972-LAF	S700032276-LAF	S700032370-LAF	S700032462-LAF	S700032976-LAF	S700033185-LAF	S700033250-LAF	S700033609-LAF	S700033781-LAF	S700034075-LAF	S700034132-LAF	S700034220-LAF	S700035208-LAF	S700035629-LAF	S700037022-LAF	S700037048-LAF	S700037278-LAF	S700037383-LAF	S700037431-LAF	S700037474-LAF	S700037840-LAF	S700037922-LAF	S700038027-LAF	S700038098-LAF	S700038152-LAF	S700038360-LAF	S700038572-LAF	S700038620-LAF	S700038728-LAF	S700038972-LAF	S700095404-LAF	S700095461-LAF	S700095518-LAF	S700095575-LAF	S700095701-LAF	S700095768-LAF	S700095882-LAF	S700097228-LAF	S700097742-LAF	S700099053-LAF	S700099339-LAF	S700099940-LAF	S700100591-LAF	S700100651-LAF	S700101127-LAF	S700101185-LAF	S700101566-LAF	S700101948-LAF	S700102293-LAF	S700102464-LAF	S700102639-LAF	S700102899-LAF	S700103581-LAF	S700103647-LAF	S700105802-LAF	S700105898-LAF	S700106689-LAF	S700106924-LAF	S700107429-LAF	S700107540-LAF	S700107597-LAF	S700107810-LAF	S700108149-LAF	S700108272-LAF	S700108947-LAF	S700109224-LAF	S700109557-LAF	S700109675-LAF	S700109975-LAF	S700110800-LAF	S700111210-LAF	S700111799-LAF	S700112806-LAF	S700113099-LAF	S700113150-LAF	S700113529-LAF	S700113568-LAF	S700113642-LAF	S700113670-LAF	S700113795-LAF	S700113846-LAF	S700114043-LAF	S700114185-LAF	S700114240-LAF	S700114293-LAF	S700114413-LAF	S700114641-LAF	S700114675-LAF	S700114723-LAF	S700114773-LAF	S700114878-LAF	S700114927-LAF	S700114983-LAF	S700116102-LAF	S700116384-LAF	S700116953-LAF	S700117631-LAF	S700117854-LAF	S700118464-LAF	S700119216-LAF	S700119616-LAF	S700119790-LAF	S700120091-LAF	S700122398-LAF	S700163705-LAF	S700163760-LAF	S700163914-LAF	S700164185-LAF	S700164275-LAF	S700164345-LAF	S700164493-LAF	S700164761-LAF	S700164818-LAF	S700164858-LAF	S700165040-LAF	S700165138-LAF	S700165402-LAF	S700171060-LAF	S700171519-LAF	S700171567-LAF	S700171828-LAF	S700172056-LAF	S700173066-LAF	S700173476-LAF
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus				0.0	0.0	0.0	0.0	0.0	0.006	0.346	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.613	0.035	0.0	0.0	0.0	0.589	0.0	0.0	0.259	0.0	0.0	0.0	0.109	0.715	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.264	0.0	0.0	0.0	0.289	0.016	0.23	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.292	0.0	1.684	0.085	0.043	0.06	0.661	0.0	0.166	0.953	0.719	0.028	0.196	0.025	0.16	0.0	1.196	2.785	0.048	0.989	0.053	0.427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.543	0.0	6.399	0.121	0.0	0.077	0.15	0.312	0.246	0.875	0.695	8.661	19.668	0.217	1.629	0.053	0.409	0.053	0.0	0.055	3.055	0.0	0.0	0.0	0.018	7.438	17.149	7.238	1.675	0.08	4.493	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	3.084	0.774	0.0	0.0	0.0	0.265	0.074	0.0	0.0	0.038	0.704	0.077	0.0	1.182	0.248	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus				0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.993	0.0	0.0	1.681	0.643	0.0	0.0	0.0	0.0	0.394	1.281	0.0	0.506	0.0	0.0	0.0	0.0	1.875	0.0	0.0	0.0	0.0	0.155	0.0	0.0	0.0	0.0	0.0	10.831	0.0	0.892	0.0	0.0	0.626	0.0	0.0	0.0	0.0	0.0	0.285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.688	0.0	0.099	0.54	0.0	5.211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.118	0.0	0.364	2.69	0.0	0.022	0.0	0.0	1.721	0.649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.529	0.0	0.192	0.0	53.635	0.0	0.0	0.0	0.272	0.0	0.0	0.062	0.0	0.0	0.167	0.0	0.11	0.039	0.0	0.0	0.491	1.935	0.0	0.07	0.0	0.0	0.0	0.066	0.0	0.0	0.291	0.0	4.785	3.37	0.0	0.253	0.0	0.0	0.015	0.24	0.272	0.0	0.499	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	11.773	6.135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter	genus				0.0	0.0	0.0	1.762	14.311	0.006	0.019	2.149	0.0	0.0	0.0	1.786	0.773	3.172	0.259	0.0	0.0	0.441	1.242	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.521	0.0	0.855	0.468	0.104	0.528	0.0	0.0	0.355	0.389	1.386	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.572	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.489	0.247	0.0	0.0	0.132	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.245	0.111	0.0	0.0	0.039	0.029	0.0	0.0	0.0	0.165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.024	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus				0.0	0.0	4.348	0.0	0.0	0.018	2.558	0.0	0.0	0.829	0.298	0.0	0.178	0.971	0.389	0.974	0.404	0.0	0.414	0.0	0.319	0.018	0.0	0.0	0.0	0.214	0.371	0.0	0.694	0.0	0.0	0.0	0.357	0.0	0.0	0.844	0.0	3.059	0.468	0.312	0.453	0.142	0.0	0.397	0.611	0.612	0.0	0.033	0.0	0.566	0.0	0.0	0.065	0.209	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.0	0.249	0.0	0.0	0.057	0.065	0.0	0.0	0.033	0.0	0.0	0.0	0.043	0.0	1.708	0.0	1.773	0.0	0.151	0.184	0.0	0.091	0.0	0.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.146	0.073	0.0	0.0	0.0	0.0	0.373	0.011	0.159	0.496	0.082	0.029	0.0	0.264	0.0	0.0	0.039	0.0	0.0	0.0	0.013	1.471	0.056	0.0	0.11	0.0	0.044	2.072	0.0	0.0	1.652	0.0	0.0	0.0	0.273	0.0	0.0	0.061	0.182	0.923	0.352	34.139	3.015	0.338	0.177	0.11	0.0	0.264	0.023	0.0	0.0	0.3	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus				0.0	0.0	0.0	0.0	0.134	1.231	20.927	0.0	0.0	0.324	0.0	0.0	0.0	0.0	0.162	0.0	0.651	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.586	0.549	0.0	0.014	0.0	0.0	0.0	0.099	0.035	0.0	0.0	0.0	0.151	0.0	0.0	0.0	0.133	0.016	0.0	0.008	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.046	0.121	0.182	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.132	0.0	0.22	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.308	0.0	0.0	0.219	0.0	0.048	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia	genus				0.0	0.0	0.351	0.0	0.0	0.024	0.616	0.0	0.0	0.775	0.0	0.0	0.506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.656	1.831	0.0	0.0	0.0	0.0	2.538	0.0	0.0	0.0	0.0	0.312	0.0	0.0	0.0	0.021	1.1	0.0	0.179	0.0	0.0	0.0	0.0	0.0	0.194	0.0	0.0	0.0	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.293	0.0	0.0	0.036	0.0	0.0	0.0	0.582	0.496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.223	0.0	3.067	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.273	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.233	0.35	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus				0.59	1.054	0.0	0.0	0.045	0.077	1.173	0.0	0.058	0.018	0.0	0.0	0.238	2.395	0.0	0.0	0.0	0.073	0.0	2.846	0.851	0.035	0.876	0.0	1.501	1.71	0.0	0.306	0.039	0.0	0.0	1.291	0.298	0.081	0.521	0.223	0.035	1.316	2.903	0.208	1.471	0.283	0.022	0.585	0.389	1.112	0.588	0.829	0.049	0.0	0.0	0.358	0.0	0.487	1.676	1.678	0.0	0.761	2.232	2.674	0.646	7.978	2.988	3.763	2.913	0.0	2.42	0.136	0.419	0.05	1.351	0.373	22.71	4.0	0.07	1.793	3.711	0.4	0.576	0.504	0.276	0.0	0.273	0.265	1.86	2.09	0.907	0.308	1.002	0.249	0.0	0.493	1.385	2.56	0.591	4.413	81.479	10.506	4.533	44.805	6.589	0.248	0.275	16.015	0.336	2.948	0.0	17.981	8.953	21.868	3.659	12.407	8.882	0.49	0.223	0.0	1.095	0.0	0.087	0.888	0.0	0.0	1.597	0.633	0.0	0.312	1.296	0.332	0.369	0.0	0.036	1.038	1.196	0.219	0.246	0.169	0.248	1.207	0.008	0.288	0.023	1.653	0.0	1.199	0.155
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus				0.049	1.054	0.0	0.0	0.0	0.0	0.135	0.0	0.0	0.054	0.614	1.086	1.353	1.359	0.032	0.0	0.0	0.367	0.518	1.313	1.773	0.018	0.168	0.175	3.966	0.534	0.0	1.529	0.27	0.595	0.085	0.082	0.387	0.0	0.0	0.472	0.0	0.0	0.0	4.479	0.189	0.0	0.0	0.084	1.056	0.0	1.303	0.065	0.049	0.0	2.831	0.337	1.163	0.0	0.437	0.659	0.0	0.254	0.215	0.06	0.632	0.63	27.054	0.853	0.18	0.185	0.785	0.185	0.0	0.0	0.463	0.603	0.048	2.968	0.0	0.0	0.095	0.0	0.0	0.101	0.138	1.456	0.818	4.762	1.581	1.401	0.423	0.026	3.212	0.274	1.974	0.049	0.401	0.329	0.0	0.0	0.036	0.0	0.0	0.0	0.132	0.0	6.186	0.057	0.112	1.584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.899	0.502	0.445	13.143	0.039	0.029	0.444	0.0	0.0	2.808	0.176	0.0	0.312	1.364	0.0	1.254	0.693	1.164	0.961	0.0	4.644	11.815	0.929	0.283	1.481	0.023	2.596	0.181	0.0	0.0	1.349	0.774
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus				0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	4.692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	1.011	0.243	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.193	4.738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.046	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.35	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113	0.094	0.0	0.0	0.011	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.215	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.093	0.022	0.0	0.0	0.026	0.025	0.0	0.0	0.109	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.431	0.0	0.0	0.055	0.0	0.385	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.438	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.238	0.651	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.111	0.021	0.0	0.0	0.026	0.008	0.049	0.0	0.0	0.0	0.0	0.0	1.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.986	0.0	0.044	0.0	0.0	0.0	1.707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.141	0.0	0.492	0.0	0.0	0.0	0.0	0.433	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.088	1.773	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128	0.102	0.0	0.163	1.839	0.161	0.0	0.296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	8.395	0.0	0.0	0.174	0.0	0.869	0.0	0.0	0.0	0.0	0.14	0.0	0.747	0.0	0.593	0.448	0.0	0.012	0.01	0.637	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.077	1.26	0.0	0.182	0.227	0.705	0.14	0.016	0.0	0.0	0.039	0.025	0.0	0.0	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.368	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.165	0.0	0.0	0.0	0.068	0.365	0.0	0.0	0.036	0.058	0.0	0.135	0.215	0.0	0.124	0.0	0.0	0.024	0.0	0.0	0.299	0.3	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.088	1.773	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.128	0.102	0.0	0.163	1.839	0.161	0.0	0.296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	8.395	0.0	0.0	0.174	0.0	0.869	0.0	0.0	0.0	0.0	0.14	0.0	0.747	0.0	0.593	0.448	0.0	0.012	0.01	0.637	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.077	1.26	0.0	0.182	0.227	0.705	0.14	0.016	0.0	0.0	0.039	0.025	0.0	0.0	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.368	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.165	0.0	0.0	0.0	0.068	0.365	0.0	0.0	0.036	0.058	0.0	0.135	0.215	0.0	0.124	0.0	0.0	0.024	0.0	0.0	0.299	0.3	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.02	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.0	0.0	0.505	0.288	8.616	4.963	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis	species	852	3000		0.0	0.421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.372	0.129	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	1.506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.195	0.029	0.14	0.0	0.0	0.0	0.043	0.327	0.0	0.0	0.0	0.039	0.086	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.0	0.0	0.0	0.0	0.077	0.025	0.0	0.0	0.146	0.0	0.448	0.0	0.0	0.0	0.0	0.602	0.0	0.0	0.0	0.0	0.056	0.484	0.0	0.27	0.039	0.0	0.027	0.0	1.582	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.219	0.0	0.422	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.774
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169	2452		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.337	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.057	0.0	0.119	0.0	0.0	0.074	0.0	0.921	0.0	0.312	0.0	0.0	0.0	0.042	0.022	0.0	0.179	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.172	0.09	0.029	0.07	0.0	0.075	0.0	0.0	0.0	0.012	0.02	0.0	0.0	0.0	0.097	0.0	0.018	0.0	0.0	0.0	0.038	0.151	0.046	0.0	0.091	0.044	0.326	0.0	0.0	0.0	0.077	0.15	0.0	0.123	0.0	0.037	0.245	0.022	0.072	0.056	0.0	0.829	0.185	0.0	0.0	0.0	0.0	0.044	0.0	8.963	0.0	0.0	0.0	0.0	1.556	0.408	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.22	0.0	0.086	0.0	0.0	0.863	0.0	0.01	0.0	0.154	0.141	0.039	0.738	0.929	0.0	0.055	0.039	0.0	0.0	0.0	0.033	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170	2453		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.569	0.035	0.071	0.0	0.0	0.0	0.0	0.0	0.635	0.0	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.501	0.044	0.0	0.307	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	1.184	0.0	0.06	0.088	0.0	0.0	0.075	0.0	0.0	0.0	0.062	0.0	0.0	0.039	0.029	0.024	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.176	0.0	0.022	0.06	0.0	0.103	0.15	0.156	0.049	0.073	0.183	10.19	0.0	0.0	0.0	0.0	1.567	0.0	0.0	0.0	0.0	0.671	0.132	0.0	1.296	0.0	0.019	0.0	0.248	4.082	0.163	0.892	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.141	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.281	0.064	0.0	0.0	0.0	0.165	0.015	0.0	0.0	0.0	0.0	0.1	0.774
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701	2886	Some of the reads equidistant from these taxa (172-180-701) are included in HMT-701 because they are too close to differentiate at this site (LAF).	0.0	0.0	0.0	0.0	4.07	0.065	0.0	0.506	0.0	0.0	0.386	0.946	0.387	1.294	1.979	0.467	0.022	0.0	0.0	0.963	0.319	0.053	0.0	0.245	0.0	0.285	6.157	0.753	0.077	0.0	0.0	0.0	0.0	0.081	0.0	1.068	0.035	1.217	0.562	1.458	1.396	0.0	0.022	0.397	0.067	0.0	0.0	0.268	0.0	0.189	0.0	0.0	0.0	0.0	0.0	0.0	1.022	0.0	0.386	0.316	0.059	0.56	0.083	0.0	0.108	0.0	0.523	0.0	0.0	0.0	0.0	0.0	0.218	0.731	0.176	1.025	0.476	2.288	0.192	0.302	0.046	0.0	0.364	0.353	0.372	0.528	0.363	0.103	0.462	0.449	0.0	0.0	0.474	0.073	0.041	4.099	0.0	7.022	0.0	0.045	0.132	0.0	0.275	7.308	0.391	0.0	0.021	0.666	2.564	5.64	14.661	2.233	0.16	0.0	0.0	0.074	0.11	0.039	0.015	0.148	0.0	0.0	1.817	0.246	0.0	1.562	0.0	0.133	0.0	0.041	0.255	0.192	0.563	0.141	0.246	0.0	0.035	0.219	0.008	0.336	0.0	0.057	0.0	0.85	7.121
