Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014994-SUBP	S700015286-SUBP	S700015662-SUBP	S700016077-SUBP	S700016168-SUBP	S700016333-SUBP	S700016374-SUBP	S700016590-SUBP	S700016948-SUBP	S700021912-SUBP	S700023021-SUBP	S700023078-SUBP	S700023208-SUBP	S700023259-SUBP	S700023331-SUBP	S700023418-SUBP	S700023475-SUBP	S700023529-SUBP	S700023576-SUBP	S700023690-SUBP	S700023786-SUBP	S700023843-SUBP	S700023900-SUBP	S700023966-SUBP	S700024023-SUBP	S700024064-SUBP	S700024127-SUBP	S700024185-SUBP	S700024231-SUBP	S700024290-SUBP	S700024338-SUBP	S700024377-SUBP	S700024443-SUBP	S700024490-SUBP	S700024539-SUBP	S700024586-SUBP	S700024635-SUBP	S700024671-SUBP	S700024731-SUBP	S700024788-SUBP	S700024825-SUBP	S700024902-SUBP	S700024946-SUBP	S700024996-SUBP	S700033020-SUBP	S700033179-SUBP	S700033477-SUBP	S700033775-SUBP	S700037220-SUBP	S700037468-SUBP	S700037580-SUBP	S700037732-SUBP	S700038051-SUBP	S700038247-SUBP	S700038384-SUBP	S700038470-SUBP	S700038518-SUBP	S700038566-SUBP	S700038614-SUBP	S700038722-SUBP	S700038781-SUBP	S700038938-SUBP	S700038998-SUBP	S700095398-SUBP	S700095455-SUBP	S700097279-SUBP	S700097339-SUBP	S700097676-SUBP	S700098315-SUBP	S700098407-SUBP	S700099047-SUBP	S700099107-SUBP	S700099635-SUBP	S700099791-SUBP	S700100275-SUBP	S700101683-SUBP	S700102287-SUBP	S700102633-SUBP	S700102950-SUBP	S700103261-SUBP	S700103325-SUBP	S700103466-SUBP	S700103535-SUBP	S700103605-SUBP	S700103692-SUBP	S700105085-SUBP	S700105201-SUBP	S700105304-SUBP	S700105354-SUBP	S700105392-SUBP	S700105437-SUBP	S700105512-SUBP	S700105610-SUBP	S700105666-SUBP	S700105705-SUBP	S700105759-SUBP	S700105828-SUBP	S700105876-SUBP	S700105924-SUBP	S700106038-SUBP	S700106113-SUBP	S700106380-SUBP	S700106540-SUBP	S700106599-SUBP	S700106635-SUBP	S700106683-SUBP	S700106743-SUBP	S700106857-SUBP	S700106896-SUBP	S700106916-SUBP	S700106966-SUBP	S700107234-SUBP	S700113007-SUBP	S700113055-SUBP	S700113091-SUBP	S700113138-SUBP	S700113523-SUBP	S700113598-SUBP	S700113636-SUBP	S700113694-SUBP	S700113838-SUBP	S700113952-SUBP	S700114037-SUBP	S700114088-SUBP	S700114145-SUBP	S700114209-SUBP	S700114266-SUBP	S700114323-SUBP	S700114407-SUBP	S700114478-SUBP	S700114537-SUBP	S700114578-SUBP	S700114635-SUBP	S700114699-SUBP	S700114747-SUBP	S700114797-SUBP	S700114854-SUBP	S700114902-SUBP	S700114959-SUBP	S700116237-SUBP	S700116324-SUBP	S700116378-SUBP	S700116588-SUBP	S700116639-SUBP	S700116798-SUBP	S700116858-SUBP	S700117020-SUBP	S700117680-SUBP	S700117737-SUBP	S700117848-SUBP	S700117974-SUBP
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2];bacterium HMT-274	species	274	2555		2.003	1.222	0.479	4.279	0.0	0.528	0.089	1.477	0.0	0.0	0.0	0.15	0.663	0.098	0.05	0.0	0.0	2.657	0.0	0.0	1.235	1.956	1.415	0.0	0.082	0.0	0.0	0.0	0.0	0.026	4.851	0.0	0.225	0.541	1.407	0.0	0.011	0.204	0.918	0.119	0.0	0.0	0.284	1.954	0.0	3.751	2.864	0.0	0.218	0.333	0.226	0.0	0.07	1.56	0.122	0.0	0.0	0.043	8.558	0.925	0.0	0.435	0.014	0.234	3.009	0.711	6.565	0.0	5.163	0.0	0.198	0.043	0.0	1.859	0.0	0.416	0.128	0.203	0.0	0.009	0.0	1.734	0.0	0.058	2.365	0.0	1.133	0.0	0.0	1.396	0.0	0.0	0.437	0.0	1.924	0.0	0.0	0.0	0.0	0.366	0.0	0.302	0.0	0.0	0.181	0.723	0.013	0.09	0.0	0.0	0.0	3.484	0.0	0.0	0.0	0.073	0.0	0.892	0.108	0.466	0.592	0.0	5.72	6.783	6.388	0.011	0.0	3.173	0.148	0.0	0.0	0.0	3.118	0.651	0.244	0.009	0.102	0.0	0.008	1.531	0.145	0.024	0.0	8.654	0.01	2.652	1.165	0.0	0.55	0.015	0.175
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	283	2564		0.359	1.862	0.112	0.0	0.0	0.317	0.7	1.995	0.0	0.0	0.0	0.239	0.097	0.125	1.712	0.0	0.101	0.073	0.494	0.0	1.353	1.44	0.019	0.0	4.29	0.0	0.024	0.0	1.466	0.679	0.111	4.228	1.285	0.879	0.072	3.111	0.113	0.662	0.85	0.382	0.064	0.0	0.044	2.298	0.0	0.513	0.017	1.551	3.724	0.429	0.368	0.17	6.549	1.434	1.853	0.0	1.889	0.694	0.922	0.075	0.0	0.145	0.0	0.033	0.099	0.429	0.887	0.0	0.844	0.0	0.47	0.0	4.406	0.05	0.263	0.104	0.643	1.166	0.288	0.562	0.133	1.753	0.043	0.008	0.885	0.0	0.345	3.204	0.117	0.0	0.199	0.0	1.26	0.022	0.204	0.0	0.0	2.482	0.0	5.016	0.0	7.355	0.011	0.0	0.181	1.06	0.69	0.918	0.198	0.0	0.0	0.031	0.033	0.154	0.0	0.363	0.0	2.635	0.0	0.012	0.145	1.982	4.391	0.275	1.112	2.795	0.326	0.225	1.305	0.576	0.0	0.409	1.688	0.0	1.017	0.026	0.0	0.985	0.931	0.0	0.267	0.389	0.562	0.0	0.148	1.705	3.324	0.156	1.555	2.473	0.364
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis	species	273	2554		0.0	0.057	0.367	3.335	0.0	0.032	4.554	2.244	0.102	0.0	0.0	0.598	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.338	0.623	0.057	0.0	0.232	0.0	0.012	0.0	0.0	0.0	0.16	0.026	0.013	0.978	0.0	0.0	0.0	0.0	0.151	0.0	0.0	0.0	0.0	0.138	0.349	0.0	1.325	0.0	0.059	0.048	3.321	0.0	0.0	1.136	0.081	0.0	0.017	0.014	0.0	3.223	0.0	0.124	0.0	0.033	1.924	1.825	5.551	0.0	3.524	0.0	0.0	0.043	0.0	1.131	0.0	4.329	0.006	2.281	0.0	0.0	0.0	0.0	0.0	0.008	5.37	0.0	0.0	0.173	0.0	0.036	0.0	0.0	0.116	0.0	0.0	0.0	0.015	0.0	0.0	0.366	0.0	0.02	0.0	0.0	0.0	0.627	0.498	0.03	0.0	0.0	0.015	3.026	0.0	0.042	0.0	0.018	0.0	0.0	0.093	0.074	1.972	0.0	0.516	22.685	0.037	0.0	0.0	0.0	3.193	0.0	0.0	0.014	1.913	0.025	0.0	0.0	0.0	0.0	0.146	0.0	0.069	0.012	0.03	0.644	0.0	1.741	0.029	0.221	0.398	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279	2560		0.16	0.0	4.247	0.0	0.017	0.021	0.148	0.115	0.051	0.0	0.352	0.289	0.0	0.028	1.282	0.02	1.439	0.184	1.653	0.233	0.735	0.344	0.0	0.0	3.146	0.0	1.396	0.287	1.92	0.013	0.0	0.639	2.662	1.432	2.599	0.023	0.0	0.204	0.041	1.106	0.048	0.13	0.022	0.115	0.0	1.776	0.298	4.074	7.33	2.025	6.509	0.048	1.369	0.011	0.367	0.022	0.184	1.026	0.148	0.553	0.0	0.021	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.366	0.89	0.0	1.989	0.025	0.039	0.273	0.006	1.09	1.139	0.0	0.012	6.486	0.043	0.0	0.244	0.007	0.249	0.0	0.291	0.133	1.27	0.293	0.026	2.027	0.187	0.0	0.073	0.064	0.0	2.508	1.521	2.41	0.011	0.0	1.253	0.301	0.192	0.444	1.64	0.013	0.0	0.092	0.1	0.028	0.013	2.123	0.123	0.122	0.123	0.159	0.079	0.0	0.714	0.0	0.184	0.173	0.007	0.575	0.999	4.932	0.0	0.23	1.575	0.478	0.315	1.268	0.029	3.156	0.016	0.009	2.475	0.012	1.079	0.0	0.01	0.383	0.0	3.308	0.076	0.015	3.036
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-275	species	275	2556	Reads equidistant to HMT-275 and HMT-278 were assigned to each taxon in proportion to the abundance of HMT-275 and HMT-278 individually at this body site (SUBP).	0.007	0.0	1.141	0.0	0.0	0.591	0.024	0.173	0.0	0.0	0.0	0.0	0.291	0.0	0.01	0.0	0.018	0.0	0.136	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.679	0.0	0.091	0.013	0.239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.207	0.164	0.033	0.773	0.0	0.0	0.0	0.041	0.0	0.061	0.058	0.0	0.0	0.184	0.0	0.0	0.0	0.0	0.301	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.853	0.0	0.025	0.0	0.0	0.0	0.0	0.526	0.011	0.0	0.0	0.0	0.276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.038	0.0	0.0	0.0	0.005	0.0	0.0	0.049	0.0	0.166	0.0	0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	1.976	0.015	0.0	0.0	0.015	0.312	0.0	2.325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.113	0.0	0.444	0.0	0.0	0.0	0.011	0.0	0.366	0.0	0.076	0.0	0.571	0.0	0.0	0.013	0.009	0.109	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-277	species	277	2558	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SUBP).	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.03	0.0	0.009	0.0	0.0	0.0	0.046	0.0	0.0	0.192	0.0	0.0	0.0	0.0	0.147	0.0	0.074	0.046	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.211	0.0	0.0	0.0	0.023	0.0	0.008	0.0	0.0	0.619	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.442	0.0	0.0	0.0	0.0	0.0	0.0	0.536	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.074	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.034	0.0	0.401	0.0	0.0	0.0	0.0	0.0	0.059	0.097	0.167	0.0	0.069	0.0	0.0	0.13	0.009	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-278	species	278	2559	Reads equidistant to HMT-275 and HMT-278 were assigned to each taxon in proportion to the abundance of HMT-275 and HMT-278 individually at this body site (SUBP).	0.16	0.0	1.538	0.0	0.0	0.0	0.735	0.019	0.0	0.0	0.0	0.508	0.647	0.028	0.065	0.0	0.0	0.0	0.0	0.0	0.338	0.0	0.0	0.03	0.0	0.0	0.006	0.0	0.067	0.0	0.184	0.692	0.768	0.326	0.0	0.006	0.0	0.0	0.206	0.0	0.0	0.0	0.0	0.069	0.044	0.161	0.779	0.0	0.02	0.0	0.0	0.0	0.104	0.275	0.061	0.0	0.067	0.043	0.148	0.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.05	0.0	0.0	0.0	0.0	1.344	0.0	0.232	0.092	0.0	0.014	0.191	0.0	0.071	0.0	0.827	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.148	0.831	0.294	0.0	0.292	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.082	0.172	0.0	0.0	0.0	0.961	0.127	0.0	0.68	0.0	0.0	0.2	0.208	0.0	0.0	0.345	0.418	0.0	0.459	0.0	0.0	0.008	0.037	0.0	3.161	0.024	0.319	0.0	0.049	0.0	0.0	0.0	0.057	1.561	0.027
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-284	species	284	2565	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SUBP).	0.0	0.171	0.0	0.0	0.0	0.0	0.0	0.115	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.034	0.0	0.174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	1.05	0.0	0.087	0.0	0.493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.022	0.114	0.191	0.0	0.048	0.029	0.034	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.104	0.0	0.535	0.025	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.614	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.0	0.039	0.0	0.153	0.0	0.0	3.465	0.011	0.017	0.0	0.038	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.16	0.0	0.0	0.0	0.0	0.015	0.455	0.0	0.0	0.0	0.0	0.0	0.434	0.0	0.0	0.0	0.143	0.355	0.1	0.0	0.029	0.008	0.0	0.0	0.131	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.247	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930	3073		0.0	0.0	0.0	0.0	0.034	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.078	0.0	0.0	0.0	0.0	0.0	0.159	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.938	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.003	0.0	0.107	0.0	0.0	0.0	0.0	0.019	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.012	0.013	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	308	2588		0.0	0.0	0.0	0.0	0.152	0.011	0.039	0.0	0.0	0.054	0.186	0.0	0.065	0.014	0.005	0.0	0.018	0.0	0.017	0.0	0.0	0.0	0.339	0.0	0.0	0.0	0.006	0.0	0.013	0.013	0.0	0.0	0.146	0.023	0.0	0.0	0.011	0.024	0.0	0.171	0.032	0.0	0.0	0.0	0.08	0.023	0.0	0.011	0.0	0.0	0.028	0.0	0.006	0.023	0.0	0.014	0.0	0.014	0.0	0.013	0.0	0.083	0.0	0.0	0.0	0.012	0.0	0.024	0.0	0.026	0.0	0.043	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.046	0.015	0.028	0.0	0.0	0.027	0.0	0.031	0.026	0.0	0.034	0.0	0.058	0.0	0.011	0.0	0.0	0.0	0.042	6.562	0.0	0.0	0.0	0.218	0.019	0.0	0.0	0.0	0.008	0.0	0.0	1.143	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.028	0.0	0.0	0.0	0.01	0.0	0.032	0.0	0.0	0.008	0.0	0.087	0.0	0.008	0.016	0.019	0.008	0.0	0.03	0.038	0.177	0.022	0.0	0.0	0.0	0.095	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473	2711		0.938	0.023	0.0	0.141	0.034	0.0	0.118	0.249	0.0	0.0	0.0	0.0	0.388	0.014	1.877	0.0	0.0	0.0	0.222	0.0	0.5	0.064	0.0	0.0	0.0	0.0	0.11	0.128	0.013	0.0	0.479	0.483	2.0	0.64	0.0	0.07	0.011	0.024	0.151	0.04	0.016	0.0	0.284	0.0	0.0	0.505	0.099	0.055	0.139	0.0	0.255	0.46	0.11	0.172	0.143	0.0	0.0	0.52	0.0	0.018	0.0	0.041	0.0	0.0	2.441	0.012	3.676	0.0	0.025	0.0	0.0	0.0	0.0	0.101	0.0	0.0	0.006	4.968	0.0	0.009	0.085	0.506	0.0	0.0	0.0	0.007	0.028	0.052	0.0	0.196	0.0	0.021	0.103	1.347	0.0	0.0	0.0	0.0	0.054	0.07	0.0	0.048	0.0	0.0	0.0	0.301	0.013	0.135	0.443	0.0	0.0	0.0	0.042	0.0	0.0	0.236	0.014	0.091	0.0	0.245	0.026	0.0	0.055	0.018	0.055	0.011	0.042	8.196	0.069	0.0	0.0	0.0	0.498	0.693	0.072	0.035	0.015	1.453	0.032	0.0	5.027	0.0	0.076	0.0	0.039	3.028	0.103	0.091	0.104	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-913	species	913	3059		0.0	0.0	0.244	0.1	0.0	0.042	0.217	0.019	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.0	0.323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.651	0.0	0.013	0.186	0.024	0.0	0.0	0.0	0.233	0.026	0.0	0.0	0.0	0.046	0.0	0.0	0.745	0.0	0.119	0.0	0.019	0.0	0.006	0.023	0.163	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.049	0.177	0.0	0.025	0.0	0.0	0.014	0.0	0.0	0.026	0.0	0.022	0.0	0.0	0.0	0.012	0.224	0.0	0.0	0.023	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.203	0.0	0.0	0.0	0.0	0.011	0.029	0.138	0.011	0.0	0.0	0.0	0.0	0.0	0.014	0.08	0.016	0.014	0.0	0.0	0.0	0.0	0.056	0.0	0.012	0.0	0.0	0.0	0.079	0.007	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466	2706		0.0	0.0	0.581	0.181	0.0	0.686	0.207	0.269	0.639	0.0	0.0	0.095	0.356	0.0	0.0	0.0	0.183	0.073	0.0	0.0	0.0	0.0	0.057	0.0	0.204	0.0	0.0	0.0	0.0	0.0	0.074	0.013	0.013	0.0	0.191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	5.979	1.556	0.0	0.0	0.0	0.755	0.073	0.0	0.057	0.0	0.0	0.0	0.058	0.0	0.022	0.0	0.041	0.043	0.0	0.937	3.994	0.0	0.0	0.0	0.0	0.0	1.404	0.0	0.0	0.0	1.04	0.448	0.0	0.0	0.0	0.0	0.545	0.0	0.041	0.046	0.0	0.0	0.0	0.0	0.009	0.0	0.031	0.476	0.0	0.102	0.0	0.0	0.0	0.0	0.348	0.0	0.0	0.0	0.499	0.0	0.205	0.077	0.015	0.0	0.0	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	1.683	0.0	0.274	0.012	0.0	0.0	0.0	2.899	0.583	2.088	0.0	0.007	0.0	0.0	0.0	0.49	0.088	0.0	0.138	0.0	2.018	0.0	0.167	0.0	1.19	0.0	0.0	0.636	0.095	0.27	0.027
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;buccae	species	560	2779		0.126	0.0	0.031	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.029	0.037	0.208	0.0	0.041	0.0	0.0	0.0	0.086	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.386	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291	2571		0.033	0.0	0.02	0.703	0.657	0.517	0.0	0.173	0.383	0.0	0.0	0.174	0.0	0.0	0.005	0.0	0.009	0.0	0.0	0.0	0.044	0.0	0.151	0.0	0.109	0.0	0.006	0.0	0.493	0.0	0.0	0.0	0.119	0.0	0.0	0.07	0.0	0.0	0.0	0.04	0.0	0.0	0.066	0.0	0.306	0.0	0.05	0.0	0.0	0.0	0.783	0.0	0.0	0.011	0.0	0.093	0.0	0.0	0.074	0.283	0.0	0.124	0.014	0.435	0.0	0.343	0.0	2.127	0.025	0.0	0.025	3.199	0.0	0.05	0.0	1.521	0.003	0.0	0.166	0.037	0.0	0.0	0.0	0.944	0.008	0.0	0.456	0.0	0.0	0.0	0.0	0.0	0.0	3.118	0.017	0.0	0.015	0.0	0.021	0.087	0.0	0.03	0.0	0.0	0.0	0.048	0.038	0.459	0.0	0.0	0.0	0.428	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.026	0.0	0.0	0.0	0.0	0.119	0.0	0.3	0.099	0.0	0.0	0.007	0.129	0.0	0.014	0.009	0.818	0.008	0.0	0.0	0.008	0.0	0.0	0.038	0.069	0.072	0.0	0.026	0.0	0.19	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;fusca	species	782	2942		0.0	0.0	0.0	0.0	0.0	0.0	1.567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.103	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia	species	643	2844		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	1.191	1.977	0.0	0.0	0.0	0.0	0.018	0.128	0.0	0.0	6.03	1.983	0.0	2.725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.131	0.0	0.0	0.0	0.0	0.0	1.129	0.0	9.0	0.0	0.0	3.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.137	0.074	3.099	1.47	0.072	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.031	0.025	0.0	0.663	0.109	0.0	0.0	0.0	5.965	0.127	0.0	0.0	0.175	0.418	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.054	0.0	0.233	0.0	0.0	2.827	0.0	0.0	0.0	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	1.077	0.511	0.0	0.0	0.0	0.0	0.0	0.0	0.107	0.0	0.0	0.0	0.0	1.416	0.007	0.013	1.119	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	313	2593		0.007	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	1.034	0.0	0.0	0.031	0.025	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
