Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014991-SUPP	S700015283-SUPP	S700015659-SUPP	S700016075-SUPP	S700016166-SUPP	S700016331-SUPP	S700016372-SUPP	S700016588-SUPP	S700016646-SUPP	S700016946-SUPP	S700021856-SUPP	S700021910-SUPP	S700023019-SUPP	S700023076-SUPP	S700023206-SUPP	S700023257-SUPP	S700023329-SUPP	S700023416-SUPP	S700023473-SUPP	S700023527-SUPP	S700023574-SUPP	S700023688-SUPP	S700023784-SUPP	S700023841-SUPP	S700023898-SUPP	S700023964-SUPP	S700024021-SUPP	S700024062-SUPP	S700024125-SUPP	S700024183-SUPP	S700024229-SUPP	S700024288-SUPP	S700024336-SUPP	S700024375-SUPP	S700024441-SUPP	S700024488-SUPP	S700024537-SUPP	S700024584-SUPP	S700024633-SUPP	S700024669-SUPP	S700024729-SUPP	S700024786-SUPP	S700024823-SUPP	S700024900-SUPP	S700024944-SUPP	S700024994-SUPP	S700033017-SUPP	S700033176-SUPP	S700033473-SUPP	S700033773-SUPP	S700037070-SUPP	S700037218-SUPP	S700037466-SUPP	S700037578-SUPP	S700038049-SUPP	S700038245-SUPP	S700038382-SUPP	S700038468-SUPP	S700038516-SUPP	S700038564-SUPP	S700038612-SUPP	S700038720-SUPP	S700038779-SUPP	S700095396-SUPP	S700097277-SUPP	S700097337-SUPP	S700097674-SUPP	S700098313-SUPP	S700098978-SUPP	S700099045-SUPP	S700099105-SUPP	S700099633-SUPP	S700099789-SUPP	S700100273-SUPP	S700101681-SUPP	S700102285-SUPP	S700102631-SUPP	S700102948-SUPP	S700103259-SUPP	S700103323-SUPP	S700103464-SUPP	S700103533-SUPP	S700103603-SUPP	S700103690-SUPP	S700105083-SUPP	S700105142-SUPP	S700105199-SUPP	S700105256-SUPP	S700105302-SUPP	S700105390-SUPP	S700105435-SUPP	S700105510-SUPP	S700105608-SUPP	S700105664-SUPP	S700105703-SUPP	S700105826-SUPP	S700105874-SUPP	S700105922-SUPP	S700105954-SUPP	S700106036-SUPP	S700106111-SUPP	S700106378-SUPP	S700106538-SUPP	S700106597-SUPP	S700106633-SUPP	S700106681-SUPP	S700106741-SUPP	S700106855-SUPP	S700106894-SUPP	S700106918-SUPP	S700106964-SUPP	S700106997-SUPP	S700108328-SUPP	S700113005-SUPP	S700113053-SUPP	S700113089-SUPP	S700113136-SUPP	S700113521-SUPP	S700113596-SUPP	S700113634-SUPP	S700113692-SUPP	S700113836-SUPP	S700113950-SUPP	S700114035-SUPP	S700114086-SUPP	S700114143-SUPP	S700114207-SUPP	S700114264-SUPP	S700114405-SUPP	S700114476-SUPP	S700114535-SUPP	S700114576-SUPP	S700114633-SUPP	S700114697-SUPP	S700114745-SUPP	S700114795-SUPP	S700114852-SUPP	S700114900-SUPP	S700114957-SUPP	S700116235-SUPP	S700116322-SUPP	S700116376-SUPP	S700116586-SUPP	S700116637-SUPP	S700116796-SUPP	S700116856-SUPP	S700117018-SUPP	S700117678-SUPP	S700117735-SUPP	S700117846-SUPP	S700117972-SUPP
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-505	species	505	2737		0.0	0.0	0.0	0.0	0.0	0.0	0.582	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-511	species	511	2741		2.181	0.0	0.0	0.0	0.0	0.258	0.644	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.699	0.0	0.0	0.11	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.107	0.026	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2];bacterium HMT-274	species	274	2555		2.65	0.469	1.217	0.0	0.0	0.215	0.037	0.782	0.044	0.049	0.0	0.0	0.027	0.037	0.0	2.376	0.0	0.0	0.0	1.516	0.0	0.0	0.014	0.0	0.419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.996	0.0	0.0	0.013	1.703	0.0	0.0	0.0	1.134	0.0	0.0	0.0	0.119	2.913	0.0	0.325	0.07	0.0	0.0	0.151	0.022	0.0	0.005	0.0	0.0	0.0	0.059	0.0	0.0	0.006	0.0	0.0	0.074	0.0	0.0	0.633	0.799	0.809	0.0	0.128	0.472	0.0	0.0	0.819	0.093	0.0	0.0	0.0	1.412	0.0	0.019	0.286	0.0	0.0	0.0	0.939	0.0	0.475	0.0	0.0	0.124	0.052	0.925	0.0	0.0	0.0	0.0	0.133	0.0	0.015	0.022	0.588	0.017	0.201	0.0	0.317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.755	0.0	0.244	0.0	0.007	0.0	0.045	0.0	0.978	3.287	0.0	0.0	0.0	0.0	0.0	0.0	1.281	0.04	0.134	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.536	0.225	0.631	0.0	0.045	0.032	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	283	2564		0.697	0.593	0.288	0.007	0.007	0.011	1.386	1.304	0.022	0.137	0.028	0.0	0.091	0.444	0.014	0.675	0.249	0.0	0.186	0.212	0.088	0.0	0.335	0.252	0.32	0.044	4.687	0.027	0.172	0.0	1.023	0.286	0.0	6.423	0.836	0.385	0.468	0.812	0.074	0.606	0.173	0.038	0.143	0.0	0.026	0.527	0.0	0.784	2.398	1.896	0.144	4.018	0.549	1.438	0.8	0.074	2.624	0.0	0.089	1.089	0.833	0.08	0.0	0.009	3.538	0.049	0.0	0.607	0.0	0.809	0.348	4.183	0.266	0.249	1.458	1.059	2.04	0.847	0.181	0.556	1.238	0.101	0.004	2.66	0.01	0.016	0.868	4.319	6.033	0.867	0.0	0.0	0.259	0.103	0.425	0.0	2.503	0.0	0.37	5.946	0.106	0.399	0.011	0.125	0.051	0.723	0.22	1.453	0.123	0.0	0.0	0.0	0.0	0.048	1.009	0.0	3.126	0.0	2.313	0.0	0.0	0.044	0.316	0.012	2.995	1.195	1.763	0.059	4.253	1.175	0.0	0.199	0.978	0.0	1.045	0.022	0.0	0.456	0.374	0.0	0.316	0.0	0.87	0.179	0.107	1.307	1.254	0.256	2.721	2.33	0.102
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis	species	273	2554		0.0	0.0	0.14	0.0	0.0	0.0	1.3	0.147	0.0	0.02	0.057	0.0	0.036	0.0	0.0	0.027	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.024	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.006	0.0	0.0	0.0	0.318	0.0	0.0	0.0	0.019	0.0	0.074	0.0	0.0	0.068	0.0	0.0	0.0	0.016	0.0	1.293	0.0	0.0	0.045	0.0	0.302	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.008	1.175	0.0	0.0	0.0	0.0	0.016	0.075	0.0	0.0	0.0	0.0	0.021	0.028	0.0	0.0	0.0	0.059	0.0	0.007	0.0	0.053	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.015	0.0	0.0	1.339	0.0	0.012	0.0	0.025	0.0	0.0	0.009	1.118	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.03	0.0	0.0	0.0	0.0	0.147	0.0	0.12	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;gingivalis	species	619	2828		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279	2560		0.879	0.0	2.014	0.0	0.028	0.0	0.582	0.326	4.329	0.068	0.396	1.963	0.064	0.272	0.0	0.0	0.7	0.033	3.276	0.405	0.58	1.405	1.982	0.151	0.717	0.0	2.35	0.0	2.966	0.028	0.25	0.011	0.016	2.902	4.313	0.52	0.839	0.0	0.0	0.071	0.536	0.038	0.179	1.903	0.0	0.0	0.0	3.864	0.539	3.447	0.0	10.391	0.088	12.125	3.299	0.044	0.598	0.032	0.03	5.158	0.467	1.269	0.064	0.0	0.061	0.214	0.0	0.026	0.144	0.503	0.015	1.505	0.056	0.0	3.598	0.06	0.247	3.75	0.063	0.101	2.159	0.081	0.0	0.495	0.092	1.695	0.919	2.329	0.016	0.008	0.223	0.116	0.041	0.217	0.787	0.056	0.168	0.026	0.127	1.468	3.781	0.665	0.177	0.641	1.447	0.268	0.012	0.73	1.216	0.0	0.0	0.0	0.0	0.131	1.159	0.0	0.128	0.0	0.375	0.047	0.0	6.933	0.045	0.094	0.206	0.113	0.798	0.0	0.595	0.19	0.0	0.072	1.7	0.337	0.567	0.267	0.012	6.143	0.0	0.017	2.304	0.139	1.156	0.015	0.117	0.466	0.007	3.087	1.243	0.0	0.137
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-275	species	275	2556		0.176	0.0	0.296	0.0	0.0	0.848	0.829	1.565	0.022	0.0	0.198	0.0	0.0	0.005	0.014	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.419	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.387	0.715	0.0	0.185	0.215	0.128	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.05	0.0	0.854	0.707	0.029	0.0	0.864	0.0	0.0	0.042	0.0	0.019	0.026	0.0	0.209	0.203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.071	0.0	0.0	0.0	0.095	0.003	0.0	0.917	0.0	0.0	0.0	0.624	0.0	0.0	0.124	0.0	0.0	0.459	0.038	0.0	0.06	0.0	0.0	0.052	0.0	1.095	0.0	0.011	0.0	0.011	0.0	0.008	0.022	0.0	0.0	0.017	0.119	0.0	0.0	0.009	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.012	0.0	3.47	0.016	0.0	0.0	0.03	0.094	0.009	0.948	0.0	0.0	0.114	0.0	0.0	0.0	1.374	0.0	0.343	0.0	0.0	0.01	0.03	0.0	0.158	0.0	0.136	0.03	1.982	0.0	0.0	0.0	0.075	0.012	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-277	species	277	2558	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SUPP).	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.03	0.393	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.005	0.0	0.043	0.0	0.0	0.0	0.034	0.0	0.0	0.163	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.016	0.0	0.518	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.189	0.004	0.0	0.0	0.009	0.028	0.0	0.277	0.0	0.0	0.0	0.0	0.0	0.0	0.456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.077	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.003	0.0	0.014	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.388	0.0	0.231	0.119	0.012	0.0	0.0	0.181	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-278	species	278	2559		0.085	0.0	1.249	0.0	0.0	0.0	0.495	0.049	0.0	0.0	0.141	0.0	0.0	0.637	0.029	0.054	0.005	0.0	0.0	0.0	0.0	0.0	0.447	0.0	0.0	0.044	0.0	0.0	0.04	0.0	0.102	0.0	0.0	0.475	0.311	0.277	0.0	0.0	0.0	0.0	0.977	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.655	0.01	0.384	0.0	0.0	0.019	0.037	0.0	0.0	0.013	0.0	0.067	0.325	0.149	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.033	0.0	0.142	0.14	0.0	0.0	0.0	0.013	11.715	0.0	1.713	0.054	0.0	0.016	0.026	0.038	0.066	0.784	0.0	0.15	0.0	0.01	0.032	0.0	0.0	0.0	0.0	0.015	0.0	0.089	0.0	0.107	0.408	0.336	0.012	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.033	0.0	0.0	0.0	0.346	0.0	0.017	0.484	0.0	0.0	0.329	0.0	0.0	0.208	0.862	0.0	0.09	0.0	0.0	0.0	0.015	0.0	0.783	0.0	0.218	0.045	0.088	0.0	0.0	0.0	0.332	0.082	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-284	species	284	2565	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SUPP).	0.0	0.042	0.0	0.0	0.0	0.0	0.025	0.199	0.0	0.0	0.085	0.0	0.08	0.0	0.0	0.108	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.085	0.0	0.0	0.986	0.0	0.047	0.0	0.235	0.0	0.0	0.016	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.192	0.138	0.0	0.346	0.198	0.0	0.005	0.015	0.0	0.026	0.0	0.209	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.322	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.914	0.0	0.0	0.0	0.0	0.5	0.0	3.109	0.017	0.0	0.015	0.0	0.037	0.0	0.053	0.012	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.016	0.0	0.0	0.0	0.015	0.0	0.0	0.35	0.116	0.0	0.695	0.0	0.0	0.0	0.104	0.417	0.149	0.0	0.1	0.0	0.0	0.0	0.629	0.0	0.218	0.0	0.036	0.0	0.0	0.015	0.236	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930	3073		0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.0	0.167	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.071	0.0	0.053	0.0	0.0	0.038	0.012	0.0	0.0	0.0	0.0	0.552	0.0	0.0	0.0	0.0	0.015	0.059	0.061	0.0	0.0	0.0	0.0	0.493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.196	0.018	0.0	0.0	0.031	0.0	0.0	0.008	0.041	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.052	0.0	0.0	0.0	0.03	0.0	0.0	0.123	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.012	0.0	0.038	2.523	0.0	0.0	0.047	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	308	2588		0.039	0.0	0.008	0.014	0.262	0.011	0.074	0.033	0.055	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.32	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.031	0.0	0.072	0.013	0.0	0.0	0.0	0.0	0.0	0.019	0.012	0.0	0.0	0.0	0.016	0.0	0.0	0.01	0.024	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.033	0.044	0.03	0.0	0.003	0.034	0.0	0.0	0.021	0.072	0.0	0.0	0.02	0.01	0.023	0.008	0.031	0.031	0.034	0.0	0.008	0.0	0.0	0.0	0.0	0.072	0.043	0.084	0.0	0.0	0.0	0.03	0.0	0.0	0.121	0.071	0.0	0.015	0.012	0.211	0.028	0.0	0.0	0.0	0.0	0.024	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.058	0.0	0.01	0.0	0.033	0.0	0.0	0.014	0.0	0.039	0.0	0.0	0.0	0.011	0.023	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473	2711		0.618	0.0	0.0	0.234	0.007	0.0	0.446	0.456	0.0	0.029	0.028	0.016	0.0	0.0	0.129	0.0	0.066	0.0	0.0	0.0	0.0	0.017	0.167	0.0	0.0	0.0	0.064	0.0	0.073	0.0	0.0	0.0	0.0	0.171	2.485	1.053	0.0	0.01	0.0	0.024	0.158	0.0	0.036	0.016	0.291	0.0	0.0	0.121	1.072	0.0	0.0	0.13	0.0	1.162	0.005	0.059	0.077	0.0	0.0	0.042	0.061	0.031	0.0	0.0	0.012	0.674	0.0	0.0	0.0	0.0	0.333	0.026	0.203	0.0	0.057	0.04	1.205	0.018	0.027	0.025	0.655	0.0	0.015	0.008	0.0	0.016	0.051	0.197	0.016	0.015	0.0	0.0	0.0	0.155	0.085	0.042	0.0	0.0	0.0	0.148	0.0	0.155	0.022	0.053	0.0	0.224	0.012	0.073	1.453	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.744	0.0	0.994	0.0	0.0	0.015	0.045	0.071	0.318	0.0	0.131	0.0	0.038	0.0	0.0	0.018	5.193	1.329	0.388	0.007	0.0	1.186	0.0	0.017	2.108	0.0	0.136	0.03	0.049	2.315	0.052	0.09	0.021	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	291	2571		0.0	0.0	0.0	0.0	0.007	0.472	0.0	0.163	0.142	0.108	0.028	0.0	0.0	0.418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.112	0.0	0.0	1.19	0.185	0.622	0.087	0.273	0.0	0.149	0.0	0.007	0.02	0.0	0.018	0.045	0.0	0.0	0.0	0.012	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.356	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.01	0.006	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;fusca	species	782	2942		0.0	0.0	0.0	0.0	0.0	0.0	1.448	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.089	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;maculosa	species	289	2569		0.156	0.0	0.797	0.0	0.0	0.247	0.111	0.212	0.153	0.235	0.028	0.016	0.0	0.078	0.0	0.0	0.0	0.0	0.014	0.084	0.0	0.0	0.028	0.0	0.077	0.03	0.0	0.0	0.0	0.0	0.0	0.033	0.016	0.0	0.0	0.0	0.024	0.01	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.05	0.0	0.051	0.151	0.057	0.0	0.108	0.044	0.0	0.0	0.0	0.019	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.011	0.219	0.076	0.0	0.04	0.06	0.068	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.058	0.015	0.0	0.016	0.0	0.047	0.008	0.0	0.0	0.0	0.0	0.0	0.17	0.224	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.023	0.0	0.049	0.0	0.0	0.058	0.0	0.0	0.094	0.041	0.0	0.0	0.013	0.0	0.0	0.072	0.023	0.0	0.0	0.0	0.075	0.0	0.0	0.017	0.113	0.035	0.0	0.0	0.039	0.006	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica	species	469	2709	Because HMT-314 is not present individually, all equidistant reads were assigned to HMT-469 at this body site (SUPP).	0.007	0.053	0.0	0.014	0.219	0.172	0.21	0.652	0.251	0.245	0.113	0.0	0.0	0.016	0.043	0.0	0.025	0.0	0.0	0.071	0.141	0.033	0.056	0.05	0.177	0.0	0.0	0.0	0.086	0.014	0.625	0.022	0.031	0.0	0.024	0.0	0.057	0.003	0.0	0.047	0.189	0.038	0.071	0.033	0.0	0.0	0.13	0.038	0.151	0.029	0.192	0.367	0.033	0.01	0.032	0.015	0.039	0.013	0.0	0.151	0.0	0.05	0.021	0.121	0.0	0.049	0.154	0.053	0.022	0.197	0.091	0.0	0.083	0.009	0.014	0.14	0.082	0.559	0.226	0.291	0.665	0.0	0.012	0.116	0.214	0.062	0.009	0.094	0.0	0.045	0.012	0.0	0.859	0.341	0.574	0.154	0.042	0.332	0.042	0.03	0.273	0.0	0.0	0.249	0.017	0.0	0.0	0.122	0.18	0.0	0.0	0.029	0.0	0.018	0.927	0.0	0.0	0.0	0.0	0.0	0.183	0.0	0.03	0.035	0.206	0.021	0.071	0.045	0.101	0.207	0.0	0.0	0.0	0.01	0.0	0.0	0.012	0.02	0.0	1.428	0.068	0.035	0.082	0.015	0.049	0.0	2.013	0.03	0.043	0.006	0.0
